"","ds","dep_var","trend","season","holiday","print_launch","product_launch","solidcolor_launch","mb_status","sale_status","facebook_cost","google_ads_cost","bing_ads_cost","tiktok_cost","influencer_cost","tiktok_influencer_cost","tatari_cost","mntn_cost","dm_cost","email_campaign_delivery","organic_impressions","intercept","depVarHat","solID","cluster","top_sol"
"12",2022-03-20,1023846,0,-24782.9208386692,0,69003.9975039995,0,0,-32490.8737309977,17745.4251906701,216525.551911954,156970.108707507,20140.1689671645,80731.9536092312,74490.9086180715,3295.96426319781,101625.572453264,6.49039761470268e-234,2.03540915525004e-05,102181.860663855,110553.689496384,204965.337825854,1100956.74466184,"1_96_14",3,TRUE
"13",2022-03-27,984190,0,-35292.9133698798,0,44852.5983775997,0,0,0,0,179293.353839123,161317.153380431,18944.4870266299,81897.0539953832,110166.318521552,16601.7710390748,101366.159546988,2.53136571518795e-302,7.16739015325941e-25,142678.424577911,109242.689421428,204965.337825854,1136032.43418209,"1_96_14",3,TRUE
"14",2022-04-03,1024756,0,-46416.7424733479,0,20701.1992511999,0,0,-32490.8737309977,17745.4251906701,160301.553820339,143487.035490684,19861.9784240197,80410.0431987651,106001.444523264,17559.8265594061,99962.8549475877,0,7.17000490448099e-67,176076.708762401,103711.999148044,204965.337825854,1071877.79093789,"1_96_14",3,TRUE
"15",2022-04-10,1010760,0,-32401.5338577741,0,1478.65708937142,0,0,0,0,172852.710701259,130334.257545726,18935.9571019261,81035.7600308274,116466.486447577,8028.30223553659,97489.2829723,0,2.41441414293742e-146,138779.52310007,97749.7214830369,204965.337825854,1035714.46267571,"1_96_14",3,TRUE
"16",2022-04-17,1048608,0,-226.013833216347,0,0,0,-2559.48270322974,-32490.8737309977,0,180809.236498236,126397.24421537,18935.7781416319,83214.0863003414,115253.559459761,17060.2988666765,94653.4699125738,0,0,95872.4804120052,96266.95763987,204965.337825854,998152.079004876,"1_96_14",3,TRUE
"17",2022-04-24,962334,0,19977.3849516599,0,0,0,-4866.17699132568,0,0,167685.852734264,133340.249328707,19884.2667672459,83573.6276474831,96434.2192936263,34.3818488808023,91455.267949038,0,0,90020.4881893502,96207.1646495208,204965.337825854,998712.064194304,"1_96_14",3,TRUE
"18",2022-05-01,1008991,0,16650.1340257037,0,0,0,-3317.84794863114,0,35490.8503813402,157406.620688767,156420.44823444,21185.6171827803,82917.571029384,86097.0110244624,858.032983254719,87940.8769809754,0,0,84278.1500374162,101548.64557912,204965.337825854,1032441.44802487,"1_96_14",3,TRUE
"19",2022-05-08,1075978,0,17862.9449586994,0,0,0,-1769.51890593661,0,0,166515.482761327,176014.233512641,24441.9665336499,82061.0804453479,80334.3555902772,9650.6640458602,84170.7063046376,0,0,79870.3703626423,108744.774976366,204965.337825854,1032862.39841137,"1_96_14",3,TRUE
"20",2022-05-15,1285122,0,61337.7982597195,0,0,0,-315.985518917252,0,0,197794.676811516,188585.622949132,22961.8760396427,80425.5341001508,87496.2913938673,3.88725118515041,80210.7214428881,0,0,79507.3797391307,110517.129803042,204965.337825854,1113490.27009721,"1_96_14",3,TRUE
"21",2022-05-22,1475683,0,146443.504868363,0,0,0,0,0,53236.2755720103,236862.195752706,207288.726505736,20502.6702855708,78973.819463535,83006.9523090299,5602.93112688326,76127.5136304208,0,0,97766.554952748,110588.24229114,204965.337825854,1321364.724584,"1_96_14",3,TRUE
