"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","facebook_cost","google_ads_cost","bing_ads_cost","tiktok_cost","influencer_cost","tiktok_influencer_cost","tatari_cost","mntn_cost","dm_cost","cluster","top_sol"
"1","1_102_7",0,0.515822125352587,0.277799894732404,0.803382700333624,0.0976052663306548,0.267432832700064,0.732573233598395,0.350094975626909,0.458624017119675,0.326203726698323,0.87060521864896,0.803521768659984,0.699555785275569,0.358122249518612,2,FALSE
"2","1_103_18",0,0.59450214903337,0.260980353885153,0.753273137356246,0.0965965014589774,0.173967741259258,0.743082595253918,0.126099592315344,0.720056735995083,0.232290871123776,0.882036970212745,0.803334825696818,0.941137675154164,0.590851361595389,4,FALSE
"3","1_104_4",0,0.556898472604633,0.268693984798294,0.7592903047096,0.0972807945867247,0.191399331556484,0.634079275399954,0.283201317761721,0.566660532215746,0.340747892747962,0.885576511182359,0.164779670736667,0.646809497412686,0.510982903685946,2,FALSE
"4","1_104_8",0,0.537501982668121,0.27229723679401,0.78860145531393,0.0967289057392578,0.170892262181584,0.788821870185817,0.221062998499108,0.393699169399297,0.217322118552844,0.890584699279972,0.649991014836924,0.702977446008026,0.435871898691143,2,FALSE
"5","1_105_16",0,0.448591275523835,0.318831888469642,0.871498401470631,0.100985424948489,0.425145539153138,0.515027682295209,0.781639321606194,0.368410882936254,0.418956359030858,0.61058006800943,0.269622991319354,0.29015795582053,0.103431129869848,1,FALSE
"6","1_105_5",0,0.257425733945394,0.413725972522022,0.919987836853943,0.0932132773274125,0.721416020865832,0,0.303075923179479,0.0692442506122863,0.406273123281914,0.426983008890877,0.202738423979173,0.0699147648354071,0.25913763709848,3,FALSE
"7","1_73_4",0,0.33013839848038,0.387902868829024,0.889768057158805,0.0931582697092118,0.644868966777803,0.0264500898409553,0.220211647264692,0.22994289240113,0.530336013560301,0.383427971326262,0.297067861426581,0.293882161799782,0.300734571171602,3,FALSE
"8","1_77_1",0,0.328137560532833,0.387324064503881,0.891967800375662,0.0924980767824755,0.660954632899804,0.243646829702456,0.236378596415709,0.202453119540836,0.573954473406437,0.325464724352943,0.161181803994658,0.279912528525701,0.324189517222921,3,FALSE
"9","1_78_16",0,0.328847647886967,0.390726759091478,0.882900133419951,0.0948075819244164,0.619703598270111,0.00283159184969536,0.318427747595545,0.196114378476193,0.687697300431698,0.314610364474815,0.1235560840904,0.0339494728582537,0.254919703743901,3,FALSE
"10","1_79_10",0,0.299796477714649,0.391784536256597,0.891919791271528,0.0936884017926116,0.630306475843648,0.00170902846204466,0.219375290181105,0.127167646760921,0.507315719867064,0.376960016462196,0.248597855502664,0.107155375354362,0.277563097334885,3,FALSE
"11","1_81_11",0,0.311768963513563,0.392083801466781,0.886907832567906,0.0939696698023957,0.6390592080183,0.0395570002006863,0.32093187844657,0.154678901321464,0.641781651615511,0.289576805114859,0.0999032191072443,0.180453723734075,0.255213493988777,3,FALSE
"12","1_83_11",0,0.327915561814632,0.389197793082873,0.894457598865576,0.0950124402064966,0.632939645087217,0.135912089561593,0.315583960520056,0.175275232161326,0.728171206326143,0.329394375983328,0.125969011155941,0.0347760689112351,0.209682792523031,3,FALSE
"13","1_93_14",0,0.308836659914906,0.395182791044506,0.894483622997944,0.0928537205317214,0.602991078361315,0.0471543505043629,0.215719519881876,0.126449689690788,0.398421229478557,0.359329566831557,0.327828807338839,0.213816951808422,0.330852226825473,3,FALSE
"14","1_95_6",0,0.277807844427182,0.395860859129304,0.909772560589879,0.0945109439474924,0.656965560326084,0.0365281218114998,0.32628910183549,0.0630871778929184,0.445974025035321,0.319245626202988,0.205729032864755,0.0197054979861159,0.231223501258348,3,FALSE
"15","1_96_14",0,0.304926823617593,0.385539669737067,0.88669795354039,0.0940214471591396,0.65754327149036,0.0267441043670242,0.262162619601599,0.152850801738045,0.622194779015253,0.311846605805469,0.180939141179272,0.122404091925159,0.228106392398864,3,TRUE
