"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",198841.165607941,14515405.0893797,0.203155095181236,198841.165607941,0.168838642235409,14515405.0893797,0.203155095181236,198841.165607941,0.168838642235409,TRUE,0.6197696,0.699294915298865,0.778296543097474,-0.498835867897325,0.0931582697092118,0.387902868829024,0.889768057158805,0.387902868829024,0.33013839848038,0,44233.0827869419,0.00111299,36469502.4741323,1e-04,"1_73_4",1,73,4,1372,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"2","trend",0,0,0,0,0,0,0,0,0,TRUE,0.6197696,0.699294915298865,0.778296543097474,-0.498835867897325,0.0931582697092118,0.387902868829024,0.889768057158805,0.387902868829024,0.33013839848038,0,44233.0827869419,0.00111299,36469502.4741323,1e-04,"1_73_4",1,73,4,1372,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"3","season",0.462875313749205,-1417557.4988621,-0.0198398891958524,-19418.5958748233,-0.0164885845021035,-1417557.4988621,-0.0198398891958524,-19418.5958748233,-0.0164885845021035,FALSE,0.6197696,0.699294915298865,0.778296543097474,-0.498835867897325,0.0931582697092118,0.387902868829024,0.889768057158805,0.387902868829024,0.33013839848038,0,44233.0827869419,0.00111299,36469502.4741323,1e-04,"1_73_4",1,73,4,1372,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"4","holiday",0.493546792701313,1492677.55050092,0.0208912564258217,124389.795875077,0.105621007497498,1492677.55050092,0.0208912564258217,124389.795875077,0.105621007497498,TRUE,0.6197696,0.699294915298865,0.778296543097474,-0.498835867897325,0.0931582697092118,0.387902868829024,0.889768057158805,0.387902868829024,0.33013839848038,0,44233.0827869419,0.00111299,36469502.4741323,1e-04,"1_73_4",1,73,4,1372,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"5","print_launch",521.189773569371,1933614.05994237,0.02706252743017,42035.0882596166,0.0356925448827475,1933614.05994237,0.02706252743017,42035.0882596166,0.0356925448827475,TRUE,0.6197696,0.699294915298865,0.778296543097474,-0.498835867897325,0.0931582697092118,0.387902868829024,0.889768057158805,0.387902868829024,0.33013839848038,0,44233.0827869419,0.00111299,36469502.4741323,1e-04,"1_73_4",1,73,4,1372,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"6","product_launch",-73.3137257568496,-150366.451527298,-0.00210450280815404,0,0,-150366.451527298,-0.00210450280815404,0,0,FALSE,0.6197696,0.699294915298865,0.778296543097474,-0.498835867897325,0.0931582697092118,0.387902868829024,0.889768057158805,0.387902868829024,0.33013839848038,0,44233.0827869419,0.00111299,36469502.4741323,1e-04,"1_73_4",1,73,4,1372,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"7","solidcolor_launch",-17.9031948942165,-29074.7885082076,-0.000406925703443227,0,0,-29074.7885082076,-0.000406925703443227,0,0,FALSE,0.6197696,0.699294915298865,0.778296543097474,-0.498835867897325,0.0931582697092118,0.387902868829024,0.889768057158805,0.387902868829024,0.33013839848038,0,44233.0827869419,0.00111299,36469502.4741323,1e-04,"1_73_4",1,73,4,1372,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"8","mb_status",-31673.3487836482,-538446.92932202,-0.0075360099496289,0,0,-538446.92932202,-0.0075360099496289,0,0,FALSE,0.6197696,0.699294915298865,0.778296543097474,-0.498835867897325,0.0931582697092118,0.387902868829024,0.889768057158805,0.387902868829024,0.33013839848038,0,44233.0827869419,0.00111299,36469502.4741323,1e-04,"1_73_4",1,73,4,1372,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"9","sale_status",17697.7664423307,2123731.97307969,0.0297233848090199,78656.7397436921,0.0667884695826714,2123731.97307969,0.0297233848090199,78656.7397436921,0.0667884695826714,TRUE,0.6197696,0.699294915298865,0.778296543097474,-0.498835867897325,0.0931582697092118,0.387902868829024,0.889768057158805,0.387902868829024,0.33013839848038,0,44233.0827869419,0.00111299,36469502.4741323,1e-04,"1_73_4",1,73,4,1372,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"10","facebook_cost",567702.871764816,10909451.4600458,0.152686792831036,149444.540548573,0.126895319882936,10909451.4600458,0.152686792831036,149444.540548573,0.126895319882936,TRUE,0.6197696,0.699294915298865,0.778296543097474,-0.498835867897325,0.0931582697092118,0.387902868829024,0.889768057158805,0.387902868829024,0.33013839848038,0,44233.0827869419,0.00111299,36469502.4741323,1e-04,"1_73_4",1,73,4,1372,3,13396460,183513.150684932,362657.99693847,179144.846253538,118447.312896684,0.588018588931136,0.299918269618606,0.645443187338888,0.81435330378666,1.22796824836358,3,FALSE,0.897728836496703,0.0160854810637929,0.72895658142907,1.06680403459372,0.528476307726086
