"","bing_ads_cost_alphas","bing_ads_cost_gammas","bing_ads_cost_scales","bing_ads_cost_shapes","dm_cost_alphas","dm_cost_gammas","dm_cost_scales","dm_cost_shapes","email_campaign_delivery_alphas","email_campaign_delivery_gammas","email_campaign_delivery_scales","email_campaign_delivery_shapes","facebook_cost_alphas","facebook_cost_gammas","facebook_cost_scales","facebook_cost_shapes","google_ads_cost_alphas","google_ads_cost_gammas","google_ads_cost_scales","google_ads_cost_shapes","influencer_cost_alphas","influencer_cost_gammas","influencer_cost_scales","influencer_cost_shapes","mntn_cost_alphas","mntn_cost_gammas","mntn_cost_scales","mntn_cost_shapes","organic_impressions_alphas","organic_impressions_gammas","organic_impressions_scales","organic_impressions_shapes","tatari_cost_alphas","tatari_cost_gammas","tatari_cost_scales","tatari_cost_shapes","tiktok_cost_alphas","tiktok_cost_gammas","tiktok_cost_scales","tiktok_cost_shapes","tiktok_influencer_cost_alphas","tiktok_influencer_cost_gammas","tiktok_influencer_cost_scales","tiktok_influencer_cost_shapes","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"80",2.3501128,0.6598833392,0.0056435,1.8758691604,0.98556857696,0.87257984,0.004594114,6.6384192,2.0939192,0.98413016,0.005269444,1.6064114488,1.7030664,0.725644128,0.005256818,1.75352641116,2.3806104,0.283999542372,0.005933618,2.3754329144,1.8108416,0.776539,0.0169406156,1.16660859588,1.8757288,0.88310588,0.004394882,2.97962204256,2.0570584,0.7450253538,0.005606104,2.54962446784,2.1058152,0.12701952,0.004915544,0.08532404,0.33929232,0.53607366,0.00462986,2.31901291128,1.8474388,0.22383266128,0.004256846,4.61357159164,0.6329369,0.666659278258444,0.876088244735097,-0.568706296809628,0.0988840023713283,0.293545713219812,0.884557655773244,0.293545713219812,0.463014137365437,0,30162.4407062067,0.000727132,36469502.4741323,1e-04,0,0.0858941078186035,175.793438911438,"5_94_10",5,94,10,1777,FALSE,TRUE,2,0.124825615269056,1,FALSE
"81",2.3367784,0.4930295582,0.005250116,1.79395507164,1.03664849376,0.732832092,0.004796804,6.2668032,2.3764432,0.94987328,0.004402206,1.64114761872,1.64955872,0.729619764,0.00580035,1.78170827142,2.3396552,0.302811678,0.005659372,2.2872184782,1.8284656,0.78070232,0.014558868,1.29365262,2.0144648,0.739886216,0.004000130861,2.89556213184,1.6371872,0.6055728,0.005961438,2.80627851392,2.3751968,0.12817506,0.004459528,0.08963708,0.3535236,0.4433931,0.004788942,2.13885572296,1.8335696,0.206521686128,0.0041465464,4.913001412,0.6250811,0.640820252210072,0.84628012823761,-0.526964150595229,0.10264499342365,0.326952373766129,0.872709585720284,0.326952373766129,0.443346312511864,0,62105.7278963083,0.00160311,36469502.4741323,1e-04,0,0.0856640338897705,176.642392873764,"5_94_19",5,94,19,1786,FALSE,TRUE,1,0.115437212595724,1,FALSE
"82",2.3378472,0.5144182374,0.005032904,2.6063132696,0.98489891104,0.77356484,0.004515556,6.2321544,1.61886944,0.74899428,0.005423308,1.54692359344,1.6202264,0.739928888,0.005640802,1.771238139,2.371948,0.32668387596,0.005913056,2.595107626,2.113828,0.81078664,0.0186710116,1.37863316448,1.7417616,0.9641138,0.00446318,3.20028412464,2.015256,0.62285076,0.004791062,2.65236594432,2.390712,0.124062138,0.004864918,0.10833644,0.33646956,0.53915346,0.005547552,2.64159610904,1.992404,0.28062316608,0.00400826234,4.47093416264,0.6195152,0.688156016676352,0.766006039210229,-0.582377980186882,0.0948679928624716,0.398509871205631,0.91422877648345,0.398509871205631,0.260294074476687,0,52324.8561276919,0.00133489,36469502.4741323,1e-04,0,0.0842490196228027,176.856682062149,"5_95_2",5,95,2,1788,FALSE,TRUE,3,0.0810553988573304,3,FALSE
"83",2.1717392,0.5993908418,0.005546504,2.3829927664,0.97286450976,0.75821076,0.004218296,5.9424096,2.2998504,0.92570676,0.004321502,1.63220421536,1.7620136,0.78466992,0.005725374,1.744760536718,2.3761096,0.279352123128,0.005963386,2.4707623316,1.67737592,0.79654108,0.0170687956,1.31311721736,1.934976,0.746075532,0.0040596088,2.67508024128,1.9955416,0.6171957456,0.00571486,2.8228485824,2.1389408,0.122556912,0.004838852,0.08797076,0.35497116,0.44641962,0.00421579,2.49203876424,1.8879156,0.21912792528,0.00450196,4.93403568944,0.6373022,0.669576702406408,0.879597731658636,-0.483115885304473,0.098450331131638,0.289358885187157,0.860087961569214,0.289358885187157,0.479378828535301,0,27527.4544519063,0.000654873,36469502.4741323,1e-04,0,0.104935169219971,177.14649105072,"5_95_5",5,95,5,1791,FALSE,TRUE,3,0.126990610493689,1,FALSE
"84",1.9817224,0.6425484474,0.004960748,2.2706246732,0.8475887728,0.96133872,0.005148822,5.442012,1.9928064,0.82555636,0.005855182,1.53244376288,1.604814544,0.79723072,0.005233022,1.76148943864,2.2741632,0.29142096984,0.005875664,2.4709775674,2.2427048,0.739294772,0.0173827652,1.57587586416,2.2807616,0.9633788,0.0041637554,2.314936436688,2.3887008,0.6353297244,0.005986224,2.37868155008,2.03372,0.128175,0.004321482,0.0916008,0.31796736,0.3817962,0.0040993086,2.2898254548,1.8705912,0.209513332848,0.004673792,4.95720004164,0.6264371,0.680229750873175,0.902713242675944,-0.0779177857733726,0.0968502794777424,0.260103593394992,0.733243369830584,0.260103593394992,0.635025541483357,0,5538.25184415952,5.1865e-05,36469502.4741323,1e-04,0,0.0849230289459229,177.421640872955,"5_95_8",5,95,8,1794,FALSE,TRUE,3,0.181878437036438,4,FALSE
"85",2.2189448,0.5613900566,0.00523944,2.2714989104,0.97891711456,0.731617928,0.004904994,6.2954784,2.365112,0.87973916,0.004985658,1.56910713328,1.605088192,0.76494588,0.005691254,1.76264421792,2.3854256,0.30804721272,0.00537661,2.5521449918,1.63690352,0.88627044,0.0183383828,1.29039186744,1.8024688,0.88560656,0.0040918764,2.69587932912,1.64730424,0.7661545542,0.005790722,2.36753572992,2.3921144,0.13118022,0.004972534,0.11210908,0.35543292,0.45201222,0.004296274,2.5152775016,1.7551232,0.24146885888,0.0040556378,4.81143411804,0.62666,0.633354327318422,0.837224078962345,-0.515696494315075,0.103706298218141,0.336445379790688,0.869483707976969,0.336445379790688,0.441088744964906,0,69227.509480123,0.00179841,36469502.4741323,1e-04,0,0.084662914276123,177.511739015579,"5_95_9",5,95,9,1795,FALSE,TRUE,3,0.114022387714292,1,FALSE
"86",2.108852,0.5999422454,0.005642798,2.1723192092,0.768226054464,0.91534228,0.0041130912,6.034068,1.8802888,0.77870788,0.005469866,1.56107822256,1.63337104,0.77168912,0.005461158,1.7551229031,2.3595224,0.274698460764,0.005818424,2.4466681216,2.1779768,0.743879632,0.0198893608,1.630404828,2.3010512,0.96570644,0.004530638,2.42239506624,2.2242384,0.6984401466,0.00552875,2.6116059392,2.154508,0.13522098,0.00443921,0.11594328,0.3529668,0.40648482,0.0041212662,2.38835680088,1.8473528,0.2083011768,0.004216698,4.88347213332,0.6305456,0.665621094349479,0.879015137383778,-0.428901245813103,0.0990378689178248,0.290058105381107,0.84422154843791,0.290058105381107,0.464101300744047,0,25119.32228482,0.000588835,36469502.4741323,1e-04,0,0.0887408256530762,177.89749288559,"5_95_13",5,95,13,1799,FALSE,TRUE,1,0.118545238233704,1,FALSE
"87",2.2728392,0.6563127638,0.005734346,1.903411594,0.98112723808,0.8577978,0.004397174,6.7298016,1.994368,0.77627832,0.005935964,1.69147454224,1.61768376,0.731713604,0.005360494,1.747865221636,2.3878784,0.2850771456,0.005786606,2.4523757916,2.0775528,0.74756866,0.0182476436,1.5310492236,1.9940952,0.92926192,0.004195929,3.09679299504,1.8701104,0.6812587068,0.005198374,2.29327632192,2.1935632,0.1340517,0.005242936,0.0981396,0.32755776,0.46919286,0.004731772,2.22504790816,1.94124,0.2334412264,0.004416448,4.64920101316,0.6208151,0.697886897400066,0.721935630935041,-0.706064467282941,0.0933761165811152,0.434419618874726,0.949286906427429,0.434419618874726,0.253283514838008,0,41937.1925231581,0.00105003,36469502.4741323,1e-04,0,0.084165096282959,178.358350038528,"5_95_18",5,95,18,1804,FALSE,TRUE,2,0.091573529218163,3,FALSE
"88",2.3501128,0.6598833392,0.0056435,1.8758691604,0.98556857696,0.87257984,0.004594114,6.6384192,2.0939192,0.98413016,0.005269444,1.6064114488,1.7030664,0.725644128,0.005256818,1.75352641116,2.3806104,0.283999542372,0.005933618,2.3754329144,1.8108416,0.776539,0.0169406156,1.16660859588,1.8757288,0.88310588,0.004394882,2.97962204256,2.0570584,0.7450253538,0.005606104,2.54962446784,2.1058152,0.12701952,0.004915544,0.08532404,0.33929232,0.53607366,0.00462986,2.31901291128,1.8474388,0.22383266128,0.004256846,4.61357159164,0.6329369,0.666659278258444,0.876088244735097,-0.568706296809628,0.0988840023713283,0.293545713219812,0.884557655773244,0.293545713219812,0.463014137365437,0,30162.4407062067,0.000727132,36469502.4741323,1e-04,0,0.0849969387054443,178.684063911438,"5_96_2",5,96,2,1807,FALSE,TRUE,2,0.124825615269056,NA,NA
"89",2.0861816,0.4711963917,0.005877068,2.2227696508,0.96669364,0.82410204,0.004723204,5.6733312,2.3252568,0.746551896,0.004324238,1.67119201216,1.61905688,0.721980216,0.005948494,1.78269251772,2.3544768,0.31679613108,0.005451296,1.999131024,1.63695256,0.85779584,0.016658504,1.1902046598,1.7057632,0.739839148,0.004410542,3.08783328336,1.7289272,0.63060333,0.004299692,2.16304099648,2.2528096,0.13033128,0.00560823,0.10111004,0.35023824,0.43474878,0.004316912,2.33547669248,1.8978968,0.22147807216,0.004248894,4.88507432732,0.6264581,0.689819142942274,0.90460759723892,-0.105410629733319,0.0953870343476887,0.257558793524402,0.742535367023233,0.257558793524402,0.677852886643959,0,7100.56943212598,9.47083e-05,36469502.4741323,1e-04,0,0.0845019817352295,178.957366943359,"5_96_5",5,96,5,1810,TRUE,TRUE,3,0.201429519345894,4,FALSE
