"","bing_ads_cost_alphas","bing_ads_cost_gammas","bing_ads_cost_thetas","cj_cost_alphas","cj_cost_gammas","cj_cost_thetas","dm_cost_alphas","dm_cost_gammas","dm_cost_thetas","email_campaign_delivery_alphas","email_campaign_delivery_gammas","email_campaign_delivery_thetas","facebook_cost_alphas","facebook_cost_gammas","facebook_cost_thetas","fig_cost_alphas","fig_cost_gammas","fig_cost_thetas","google_ads_cost_alphas","google_ads_cost_gammas","google_ads_cost_thetas","influencer_cost_alphas","influencer_cost_gammas","influencer_cost_thetas","linkby_cost_alphas","linkby_cost_gammas","linkby_cost_thetas","mntn_cost_alphas","mntn_cost_gammas","mntn_cost_thetas","organic_impressions_alphas","organic_impressions_gammas","organic_impressions_thetas","sms_cost_alphas","sms_cost_gammas","sms_cost_thetas","sms_sends_alphas","sms_sends_gammas","sms_sends_thetas","tatari_cost_alphas","tatari_cost_gammas","tatari_cost_thetas","tiktok_cost_alphas","tiktok_cost_gammas","tiktok_cost_thetas","tiktok_influencer_cost_alphas","tiktok_influencer_cost_gammas","tiktok_influencer_cost_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"13",1.889185,0.9919885,0.2368206,2.17033,0.8879237,0.1622169,0.62806425,0.6215905,0.1428862,2.4885825,0.4952958,0.05031,0.565502,0.36086304,0.0079872,1.31692,0.8616464,0.0874422,1.3615225,0.8250854,0.01652979,0.5628445,0.7967088,0.2796162,1.83811,0.7897837,0.1024929,2.5003075,0.8230344,0.656909,1.256015,0.9125623,0.2101824,2.5169075,0.7594485,0.2306721,2.2079725,0.6061401,0.0462324,0.8720075,0.9265028,0.7513655,1.921125,0.6900127,0.0486342,0.64176875,0.925247,0.183783,0.6249197,0.805370433876116,0.79520453591668,0.134646306769835,0.0662858011581558,0.329732686230292,0.597945597075643,0.329732686230292,0.0359074161866981,0,58716.2266253632,0.00151016,36469502.4741323,1e-04,0,0.0646481513977051,98.8227410316467,"2_75_11",2,75,11,1417,TRUE,TRUE,1,0.00744156725368759,NA,NA
"14",1.680135,0.9922769,0.2464236,2.15608,0.918142,0.1607652,0.56666725,0.4974427,0.1909786,2.875105,0.5359714,0.01852047,0.5689375,0.34896654,0.00536142,1.39252,0.9769021,0.01536279,1.3250025,0.8473762,0.02137668,0.6507255,0.8205417,0.2805111,1.7750425,0.7438777,0.0486093,2.282865,0.8733469,0.6294885,1.275215,0.866027,0.2355663,2.4573725,0.8275648,0.2350038,2.55189,0.5510382,0.0635526,0.9289275,0.8760972,0.7397225,1.51702,0.8690202,0.0136644,1.51439,0.8435101,0.1704729,0.6184511,0.81012946831704,0.795754731209551,0.148613333239224,0.0654703836313523,0.329289465029583,0.593100470918957,0.329289465029583,0.0375855133179972,0,65536.8002425507,0.0016972,36469502.4741323,1e-04,0,0.0718472003936768,102.229363918304,"2_78_1",2,78,1,1464,TRUE,TRUE,1,0.00719582488145444,5,FALSE
"15",1.9825025,0.9764842,0.2359452,2.01936,0.9656559,0.1765851,0.6850665,0.5216942,0.1520986,1.7186175,0.4470154,0.1417926,0.52229625,0.5472393,0.01590693,1.0522275,0.6839801,0.167163,1.422615,0.7889325,0.00739764,0.60681275,0.7871979,0.2776539,1.8685675,0.8356792,0.0856212,2.5462175,0.7769898,0.6111435,1.427685,0.9272049,0.2156676,2.0044875,0.7656085,0.2097834,2.1174325,0.6010175,0.0370044,0.55983125,0.9685182,0.745714,1.832205,0.7870103,0.0469146,2.07065,0.7789834,0.2047824,0.6216479,0.801081254572732,0.808987244725682,0.119125371468586,0.0670122126869774,0.318443961891721,0.603284124921054,0.318443961891721,0.0485166596353273,0,11100.4981847843,0.000204398,36469502.4741323,1e-04,0,0.0712630748748779,102.51195192337,"2_78_5",2,78,5,1468,TRUE,TRUE,5,0.00898631904188914,5,FALSE
"16",1.8897825,0.9914481,0.260517,2.28578,0.8251582,0.1536015,0.8002325,0.856332,0.2888407,2.096045,0.7122293,0.0675018,0.59747425,0.3729568,0.02004009,1.0988725,0.6419801,0.2070291,1.54827,0.7966388,0.00436149,0.5884495,0.7775204,0.2761809,2.032495,0.9529978,0.0658125,2.2905875,0.7048681,0.6061655,1.695195,0.9818035,0.155835,2.1947125,0.7003146,0.2014482,1.7010675,0.641705,0.0361911,0.673421,0.9544608,0.7279145,1.9784925,0.89325,0.0351822,1.4692475,0.7565197,0.1368294,0.6211142,0.815127771662906,0.793905001072231,0.164531570633207,0.0646028890969199,0.330777195448838,0.587529758083733,0.330777195448838,0.0453961775340264,0,62306.2901016897,0.00160861,36469502.4741323,1e-04,0,0.0591311454772949,104.789516925812,"2_79_19",2,79,19,1501,TRUE,TRUE,5,0.00767023174714656,5,FALSE
"17",1.8671475,0.9938932,0.2408766,2.2073375,0.919115,0.1544478,0.62671375,0.6815735,0.2196013,2.7803675,0.5900268,0.01283973,0.5967035,0.392449,0.002329215,1.538265,0.9825882,0.0577398,1.3071425,0.8616814,0.00919995,0.6406695,0.8180959,0.2815284,1.7247925,0.6283273,0.118347,2.4929025,0.9148142,0.776677,1.30386,0.9974996,0.1941645,1.61837,0.7188464,0.1884855,1.695325,0.6971191,0.02039631,0.54394625,0.9151614,0.7526725,2.162315,0.7053014,0.02960949,1.1982,0.872033,0.1562151,0.6243986,0.81488739189223,0.791040263223599,0.174597427323437,0.0646448753463488,0.333068177156286,0.583979706738351,0.333068177156286,0.0449297149924351,0,80257.7014589877,0.00210089,36469502.4741323,1e-04,0,0.0592479705810547,106.24031496048,"2_80_19",2,80,19,1520,TRUE,TRUE,5,0.00741704507279257,5,FALSE
"18",1.680135,0.9922769,0.2464236,2.15608,0.918142,0.1607652,0.56666725,0.4974427,0.1909786,2.875105,0.5359714,0.01852047,0.5689375,0.420449,0.00844701,1.51556,0.8167085,0.02516886,1.2999975,0.8336898,0.01014516,0.591177,0.7915855,0.277365,1.859985,0.7796806,0.0518736,2.2587425,0.8349533,0.5815155,1.3463725,0.8447813,0.1515837,1.972665,0.767187,0.2350038,2.55189,0.5510382,0.0635526,0.9289275,0.8760972,0.7397225,1.51702,0.8690202,0.0136644,1.51439,0.8435101,0.1704729,0.6184511,0.810845830314158,0.799924953972912,0.142351462135903,0.0653467604032244,0.325910458082384,0.595277575024453,0.325910458082384,0.0472959059921149,0,65536.8002425507,0.0016972,36469502.4741323,1e-04,0,0.061830997467041,106.550395965576,"2_81_4",2,81,4,1524,TRUE,TRUE,5,0.00837686914122931,5,FALSE
"19",1.8359675,0.9902805,0.2534499,2.198085,0.8135858,0.1585824,0.61080975,0.5742152,0.1507828,2.964205,0.5242086,0.0082035,0.56057125,0.33434599,0.00641847,1.34981,0.8900363,0.0646119,1.3615275,0.8104736,0.01724643,0.53721,0.7813816,0.2752329,1.96306,0.9490799,0.0775551,2.3098075,0.7427731,0.5767395,1.5075175,0.9165733,0.2016639,2.3611175,0.7126507,0.2392734,1.814455,0.5790396,0.0515133,0.9301425,0.8757199,0.7294845,1.336795,0.9499493,0.001463733,1.65626,0.7607057,0.1331115,0.6207698,0.816157427252789,0.793681099143037,0.105400279598248,0.0644227333071829,0.330956825105853,0.607965906536864,0.330956825105853,0.0427285816078787,0,69569.9238634923,0.0018078,36469502.4741323,1e-04,0,0.0644650459289551,106.752156972885,"2_81_7",2,81,7,1527,TRUE,TRUE,4,0.00837522400474631,5,FALSE
"20",1.9825025,0.9764842,0.2359452,2.01936,0.9656559,0.1765851,0.6850665,0.5216942,0.1520986,1.7186175,0.4470154,0.0418122,0.53173125,0.6206707,0.01590693,1.0522275,0.6839801,0.167163,1.422615,0.7889325,0.00739764,0.60681275,0.7871979,0.2776539,1.8685675,0.8356792,0.0856212,2.5462175,0.7769898,0.6111435,1.427685,0.9272049,0.2156676,2.0044875,0.7656085,0.2114574,2.095665,0.612837,0.0370356,0.5596695,0.9613929,0.745714,1.832205,0.7870103,0.0469146,2.07065,0.7789834,0.2047824,0.6216479,0.803060919424867,0.807080042478439,0.106710378882627,0.0666779218156702,0.320029794584266,0.60752057467376,0.320029794584266,0.0479393582703514,0,11100.4981847843,0.000204398,36469502.4741323,1e-04,0,0.0591199398040771,106.816776990891,"2_81_8",2,81,8,1528,TRUE,TRUE,5,0.00908956494921128,5,FALSE
"21",1.6773925,0.9981499,0.2502777,2.0682125,0.9630673,0.1612218,0.8268975,0.6709223,0.2401498,1.7340975,0.5810171,0.099018,0.56852025,0.5243899,0.01437798,1.0417675,0.8467091,0.1154988,1.3995425,0.8246668,0.000657303,0.50936005,0.7940495,0.2768946,1.913225,0.9047832,0.0178713,1.97154,0.6597937,0.4867235,1.82085,0.9681927,0.1280409,2.849575,0.6802267,0.2202429,2.3493325,0.5715272,0.0578139,1.1650575,0.7807012,0.7371645,1.376115,0.840554,0.0290343,1.9828925,0.7331341,0.2602749,0.6168281,0.805253585816503,0.822645290308453,0.0487267751864079,0.0663056958875219,0.306847929255634,0.626927734714768,0.306847929255634,0.051299748503055,0,11981.8049810855,0.000228566,36469502.4741323,1e-04,0,0.0685091018676758,108.653822898865,"2_82_16",2,82,16,1555,TRUE,TRUE,5,0.0106408238815294,5,FALSE
"22",1.6916125,0.9912843,0.2461995,2.12765,0.930161,0.1633473,0.57004625,0.4721195,0.1885036,2.964205,0.5242086,0.0082035,0.56057125,0.33434599,0.00641847,1.34981,0.8900363,0.0646119,1.3615275,0.8104736,0.01724643,0.53721,0.7813816,0.2752329,1.96306,0.9490799,0.0775551,2.3098075,0.7623759,0.5954735,1.41134,0.8603514,0.227505,2.5531225,0.8006771,0.2401458,2.1236725,0.6047373,0.0472101,0.821045,0.9162324,0.739497,1.5728625,0.8518632,0.01384785,1.49151,0.8213187,0.1724718,0.6179519,0.814981158028782,0.801378871738168,0.103650219665355,0.0646285008053139,0.324724125749534,0.608560282382719,0.324724125749534,0.040747910507493,0,59112.2458163526,0.00152102,36469502.4741323,1e-04,0,0.0598227977752686,108.785928010941,"2_82_18",2,82,18,1557,TRUE,TRUE,1,0.00822504753513659,5,FALSE
