"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","bing_ads_cost",1,22,0.0988261844362133,0.068523769288081,"[0, 0.77]",0,0.766977561273691,0.314015359666322,0.0140909927333973
"2","bing_ads_cost",2,6,15.4191147745278,2.48859652901753,"[0, 31.14]",0,31.1382440660963,5.56467100745322,0.426945313949523
"3","bing_ads_cost",3,18,7.4404370056885,0.391525855524648,"[3.93, 10.94]",3.93380515339372,10.9430493390395,1.61430245748844,0.103412617178007
"4","bing_ads_cost",4,6,0.40488888171096,0.350465688780718,"[0, 2.6]",0,2.60447685248103,0.78366510389497,0.0421394652552623
"5","bing_ads_cost",5,15,6.83685958923372,0.156659810701061,"[5.53, 8.13]",5.52526345225924,8.12792279639806,0.586167337920232,0.0381312527270635
"6","bing_ads_cost",6,17,9.17767312902011,0.492015154141434,"[4.9, 13.5]",4.8952398012495,13.4962486831846,1.96806061656573,0.126637677929965
"7","bing_ads_cost",7,14,0.737283630172486,0.170351208974971,"[0, 2.12]",0,2.11554215249791,0.61421001879654,0.0337773958595049
"8","cj_cost",1,22,11.6824241539201,0.228554140300409,"[9.44, 13.9]",9.44005519866485,13.8988052682075,1.04736664832218,0.0661968016786568
"9","cj_cost",2,6,10.2005400976496,0.112483115828026,"[9.49, 10.91]",9.49263260564764,10.9091580932854,0.25151989331245,0.0193895482248752
"10","cj_cost",3,18,11.8044704104275,0.142845027572026,"[10.53, 13.09]",10.5312312360115,13.0884970329688,0.588965136773732,0.0377292532374221
"11","cj_cost",4,6,12.8582807115586,0.44178967848192,"[10.07, 15.63]",10.0689728070152,15.6325308142606,0.987871752843349,0.0761545607366876
"12","cj_cost",5,15,11.6539331312278,0.116376241841751,"[10.69, 12.63]",10.6949865675447,12.6283970058042,0.435440024932179,0.0283261665467059
"13","cj_cost",6,17,10.8889845772358,0.0987341193213205,"[10.02, 11.75]",10.0234655535299,11.749455149754,0.394936477285282,0.02541275303833
"14","cj_cost",7,14,14.3986556790611,0.200453633300024,"[12.77, 16.01]",12.7739267396396,16.01460423823,0.722745853216291,0.0473350424749794
"15","dm_cost",1,22,0.599382243077604,0.161690034783294,"[0, 2.18]",0,2.18175120828572,0.740956823514486,0.0370067157102494
"16","dm_cost",2,6,4.56151787394747,0.195987891816388,"[3.32, 5.79]",3.32419964561143,5.79231978953378,0.438242248868319,0.0337838852692827
"17","dm_cost",3,18,0.526233980097342,0.0962866650616674,"[0, 1.39]",0,1.38871978608643,0.397000090387724,0.0220476764329483
"18","dm_cost",4,6,1.90094413374133,0.330709220128736,"[0, 3.98]",0,3.97557186830822,0.739488296993795,0.0550964491140991
