"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","facebook_cost","google_ads_cost","bing_ads_cost","tiktok_cost","influencer_cost","tiktok_influencer_cost","tatari_cost","mntn_cost","dm_cost","sms_cost","cj_cost","fig_cost","linkby_cost","cluster","top_sol"
"1","3_101_5",0,0.0546972765022977,0.312719805252078,0.62322924392738,0.0669291830102326,0.849827362671382,0.887206974077727,0,1,0.670924573286753,0,0,0.639891602482799,0.470723343379578,0.57452344131371,0.265096223298037,0,0,4,FALSE
"2","3_101_6",0,0.0365872884742976,0.337611777166609,0.576197497290426,0.0660747181391979,0.9207383506541,0.967683710399567,0.0560672875043677,0.343023011312854,0.835639979447497,0,0,0,0,0.680824135464243,0.889080817830214,0,0,7,FALSE
"3","3_103_11",0,0.042019139291912,0.331367823931734,0.603144089451283,0.0674434262991106,0.98549452786229,0.917104059388013,0,0.430411605795906,1,0,0,0.156266330676286,0.255185084881666,0.832942502505797,0.63311237806685,0,0,7,FALSE
"4","3_103_6",0,0.0475901353671895,0.320857901090476,0.601520339791787,0.0663464391415032,0.90086844398648,0.656441115812564,0,0.6600648541331,0.677502519623704,0,0,0.475508295469933,0.143492201599325,0.678148855089036,0.36649642901214,0,0,4,TRUE
"5","3_104_2",0,0.0512395093761696,0.314841581724499,0.628005378234699,0.065123818043997,0.777475225292007,0.640612009762938,0,0.807592202575027,0.595731137236237,0,0,0.914169637935794,0.612285845793351,0.600279945436451,0.817772460638115,0,0,4,FALSE
"6","3_104_9",0,0.0399061744915089,0.337054374190753,0.576946428022118,0.0658592020324235,0.900518338201707,0.949886947338048,0.0511952746112348,0.359704309641248,0.867265853979056,0,0,0.122872362546172,0,0.786367104994514,0.893099369441126,0,0,7,FALSE
"7","3_105_3",0,0.0394261306477372,0.327151740314333,0.608047537960479,0.0665369439884737,0.985381086970618,0.906704306598137,0,0.517810964101298,0.807447414686966,0,0,0.433422928614017,0.29558961087521,0.629076768524445,0.704380304685401,0,0,7,FALSE
"8","3_106_14",0,0.0411498953971078,0.327901436466251,0.605461886186442,0.0661617421353031,0.997632582483145,0.931529021883215,0.000780936734958765,0.337455739707956,0.734060890612878,0,0,0.402862363755534,0.317250228703178,0.529418220893107,0.775024189680227,0,0,7,FALSE
"9","3_106_16",0,0.0385264707043112,0.329891817994364,0.606153453680012,0.0641788250992678,0.871930099779946,0.83827992338489,0.0825759541708866,0.59541928546503,0.449773238427165,0,0,0.372122977881729,0.176244676832966,0.416754640538817,0.628813229574257,0,0,4,FALSE
"10","3_106_8",0,0.0511142994872359,0.308426450625404,0.626475218779758,0.066288662530046,0.832391788040812,0.744892669045155,0,0.742783253577614,0.432938262853151,0,0,1,0.437686925064904,0.442732180571241,0.442158858104793,0,0,4,FALSE
"11","3_82_12",0,0.036404881956627,0.341781908097893,0.574366328544173,0.0655222512211507,0.93581163709985,0.897295105338335,0.0526587389429609,0.294281582721107,0.896134158163768,0,0,0.110732758088129,0,0.709263445543257,0.998957632400046,0,0,7,TRUE
"12","3_92_10",0,0.0399777850888033,0.334211534018377,0.593550497603994,0.0656058063727279,0.959770440680046,0.995798827084647,0.0164712965166422,0.450106246938547,0.834509502034336,0,0,0.201102292437986,0,0.768632858407448,0.684515454756282,0,0,7,FALSE
"13","3_93_13",0,0.0363257057158597,0.341730843930323,0.574484244911377,0.0655208484110182,0.936233115458448,0.898121168588455,0.0528613027765315,0.294445860538922,0.893954756370635,0,0,0.106470840748941,0,0.706374410547593,1,0,0,7,FALSE
"14","3_93_9",0,0.0477827124212139,0.322588886856914,0.616706464539443,0.066432005561521,0.839270225671462,0.740781484329211,0,0.788449450663166,0.60460187401335,0,0,0.572567523481324,0.416308659659712,0.613265285714811,0.624288499578966,0,0,4,FALSE
"15","3_94_19",0,0.039476642964045,0.336174506588414,0.600725646290929,0.0663751088509881,0.883559690145398,0.998288057657908,0.0463793034027735,0.57851942413933,0.611847644802992,0,0,0.0021636125775759,0.130808041306218,0.5743741139447,0.764718171822148,0,0,7,FALSE
"16","3_94_2",0,0.0400763957114686,0.334275440288922,0.593477001326226,0.0656266383033704,0.958971541525174,0.997232557097469,0.0164861850464415,0.450165333744887,0.832149847277792,0,0,0.199571820324828,0,0.770132186752805,0.68321323524275,0,0,7,FALSE
"17","3_95_13",0,0.0405262340946211,0.333191375745576,0.591096811428685,0.0653955359740209,0.949744017216923,1,0.0240471101149058,0.454640978452934,0.804161729564534,0,0,0.211996067756537,0,0.807286889466268,0.627979477413258,0,0,7,FALSE
"18","3_96_17",0,0.0359072810864633,0.339378450056144,0.575312402078584,0.065177244982093,0.963251729259472,0.891833076138719,0.0403856168487478,0.346149186584945,0.854876166306621,0,0,0.175669883171742,0,0.693780861779482,0.931103080022944,0,0,7,FALSE
"19","3_98_16",0,0.0395461676951466,0.327351530600784,0.608314704965566,0.0667321072008589,0.966294273680139,0.949532762605308,0,0.513585988351778,0.813129591468119,0,0,0.415731595347262,0.312365058704066,0.641582482902635,0.716086904169994,0,0,7,FALSE
"20","3_99_17",0,0.0420792258965553,0.328206518376619,0.61098370052796,0.0663740872228285,1,0.951428918862244,0.000443354881364221,0.511885429562578,0.633789416416653,0,0,0.374604674371573,0.282342595885882,0.505420572602533,0.725135494391319,0,0,7,FALSE
"21","4_100_15",0,0.0523698868152174,0.301318198226599,0.602893193171551,0.0659607823519313,0.626913252771409,0.877735940024783,0,0.308867037678755,0.772695633833576,0,0,0.467066261048185,0.00526642736449182,0.608031575202223,0.0377731518391402,0,0,1,FALSE
"22","4_101_1",0,0.0405131534931383,0.307950280375666,0.633443011327597,0.0651185402889631,0.57158239901536,0.649721674468675,0.0455846175383267,0.374934496522494,0.73536364524464,0,0,0.818109140683295,0,0.268856443302088,0.664598676363169,0,0,1,FALSE
"23","4_101_2",0,0.0474922545315624,0.308155625777266,0.59468126760604,0.0644090432666376,0.623389262941001,0.592167757545746,0,0.216188719105597,0.930509947686054,0,0,0.69634888474694,0,0.418585277722313,0.334608428109186,0,0,1,FALSE
"24","4_105_1",0,0.0446071781262607,0.303730680623725,0.585341357539628,0.0665579578653328,0.586897447557699,0.473324346407829,0,0.112809755207652,0.587343616163696,0,0,0.615363060440603,0.120847768235504,0.606171056824087,0.368679533124824,0,0,1,FALSE
"25","4_105_13",0,0.054480547212836,0.301703204056547,0.604921401340627,0.0651433492923958,0.532311631106172,0.544921485797053,0,0.216973276561451,0.199293470672657,0,0,0.709898745936146,0.317133627491649,0.333450710752141,0.451494088023628,0,0,1,FALSE
"26","4_105_16",0,0.0638350725912108,0.288049503563664,0.613573776608676,0.065278251316156,0.616556599690093,0.972117893439387,0.0738214247337545,0.195196924680788,0.484090535609795,0,0,0.659934602746168,0.194138318277652,0,0.0444452055372436,0,0,3,FALSE
"27","4_106_6",0,0.29461021399829,0.257259539365181,0.601647549324168,0.0750052660632455,0,0.677590286510945,1,0.547320017937778,0.481738332987153,0,0,0.689975517868664,0.717242058183077,0,0.00871454487435696,0,0,2,FALSE
"28","4_76_19",0,0.0558355170797797,0.308251444100129,0.578579417352871,0.065429750107026,0.724061155361396,0.696946101933241,0,0,0.419664605760327,0,0,0.445813416768406,0.104936676727675,0.524439001419686,0.382068567181357,0,0,1,TRUE
"29","4_81_10",0,0.0615806773828633,0.302999119808758,0.61720585267794,0.0653151336658109,0.578177303522935,0.761967244280609,0,0.289622358235247,0.202148591335249,0,0,0.629401794442736,0.136454821562733,0.216896785231451,0.0784111381479969,0,0,1,FALSE
"30","4_81_3",0,0.0640064101736274,0.296753058592409,0.607186364039957,0.0647625105682261,0.43121715179764,0.651558508348672,0,0.204946677579391,0,0,0,0.655418022946899,0.580150710117419,0.333822928627746,0.346486802208825,0,0,1,FALSE
"31","4_85_8",0,0.053586837220741,0.313139402944449,0.594740393737962,0.0640347666160974,0.628866445260572,0.496253091020389,0,0.145385194266718,0.572784749017831,0,0,0.723967776121434,0.0060301941401585,0.336474581328748,0.740745255713024,0,0,1,FALSE
"32","4_87_19",0,0.0595915302391311,0.297092131161203,0.613939210586239,0.0643583489745634,0.649207695712323,0.620406678706386,0,0.227087370722228,0.230676310240123,0,0,0.727750720732066,0.130033971741927,0.326378331249137,0.0890793079050697,0,0,1,FALSE
"33","4_89_6",0,0.0545226423789314,0.306579048082635,0.61041907912304,0.0652297560208966,0.704667083796835,0.797052280858041,0,0.129951638743981,0.490554894741216,0,0,0.479819004602087,0.0263576437078979,0.268120461507979,0.454890274190062,0,0,1,FALSE
"34","4_92_14",0,0.0555820675959896,0.3084167130488,0.598530802104696,0.0638842129795817,0.628474231883896,0.483157005897205,0,0.15320175660244,0.476124284412292,0,0,0.734871649992249,0.0964527282632344,0.285902914735844,0.527135651084074,0,0,1,FALSE
