"","ds","dep_var","trend","season","holiday","print_launch","product_launch","solidcolor_launch","mb_status","sale_status","facebook_cost","google_ads_cost","bing_ads_cost","tiktok_cost","influencer_cost","tiktok_influencer_cost","tatari_cost","mntn_cost","dm_cost","sms_cost","cj_cost","fig_cost","linkby_cost","sms_sends","email_campaign_delivery","email_flow_delivery","organic_impressions","intercept","depVarHat","solID","cluster","top_sol"
"16",2022-04-17,1048608,0,-166.113501624145,0,0,0,-23359.1349675507,3797.02282921374,0,531872.736605651,167051.92218998,7989.41078840991,91597.7059966141,116322.800260443,0,0,1.75806077125655e-06,0,29487.7032545152,2855.24221038824,0,0,112219.324445932,12072.9322069132,0,0,0,1051741.55232064,"3_96_17",7,FALSE
"17",2022-04-24,962334,0,14682.7887496477,0,0,0,-44411.1948765779,0,0,506575.485300564,185460.510164289,7588.53725885265,85290.5087179089,85769.5113991246,0,0,3.0428989124083e-07,0,29489.5046670719,4654.93156452422,0,0,8967.41124159804,22903.0969670354,0,0,0,906971.091154343,"3_96_17",7,FALSE
"18",2022-05-01,1008991,0,12237.3574491498,0,0,0,-30280.3601431213,0,31653.0865713175,507981.205279731,222218.056869185,8886.15971943249,84462.5544829835,93314.0643434984,0,0,5.26673135675017e-08,0,26066.8762225307,4919.95379454091,0,0,37623.0248117385,14914.2455195945,0,0,0,1013996.22492063,"3_96_17",7,FALSE
"19",2022-05-08,1075978,0,13128.7377156626,0,0,0,-16149.5254096647,0,0,529081.284909979,229294.171022446,11365.298941299,75163.7610150862,97001.4139814913,0,0,9.11580042012539e-09,0,25579.4374137067,6097.1316098462,0,0,30015.7692791096,14561.4475591608,0,0,0,1015138.92803813,"3_96_17",7,FALSE
"20",2022-05-15,1285122,0,45081.4726950105,0,0,0,-2883.84382315441,0,0,562268.534907078,241377.967502205,6034.31476312933,64377.3364988535,110852.423632053,0,0,1.57778727773976e-09,0,25510.0927892132,27293.7289126217,0,0,57235.2613231631,15816.5285881714,0,0,0,1152963.81778835,"3_96_17",7,FALSE
"21",2022-05-22,1475683,0,107631.657043357,0,0,0,0,0,47479.6298569762,589426.364725114,276874.563159257,8421.15197060925,60560.4862064911,99320.2354606878,0,0,2.73087669657767e-10,0,25500.2247798312,7253.9851076238,0,0,154874.554267027,32147.2417742201,0,0,0,1409490.09435119,"3_96_17",7,FALSE
"22",2022-05-29,1485880,0,166229.550024973,-66223.7325541583,0,0,0,0,63306.1731426349,574936.468129508,305658.143058834,10910.922317881,55014.3974495546,98429.7401070214,0,0,4.72667490550075e-11,0,34527.5692233048,43974.8460800943,0,0,45952.4541012599,24963.3103867295,0,0,0,1357679.84146764,"3_96_17",7,FALSE
"23",2022-06-05,1260758,0,184645.24580577,0,0,0,0,3797.02282921374,0,544748.817015171,258019.40291228,9867.17750470913,42413.8460405822,116761.649668817,0,0,8.18105617521612e-12,0,42075.1232820316,36970.2111747776,0,0,52897.0599783326,52461.5163293167,0,0,0,1344657.072541,"3_96_17",7,FALSE
"24",2022-06-12,1785492,0,159667.513858427,0,-16521.5629945761,0,0,0,0,573875.98784538,289093.661613167,10781.1538525527,37060.7674452595,99628.5503810695,0,0,1.41599922736703e-12,0,43088.9824814642,332493.835266437,0,0,174520.382015999,28970.7867732508,0,0,0,1732660.05853843,"3_96_17",7,FALSE
"25",2022-06-19,1324483,0,120203.682069597,0,-31411.3666810459,-11390.5092649167,-15861.1410273492,0,0,601881.140155844,295143.928330962,13201.7890364145,39027.9691138953,90613.1172781142,0,0,2.4508495834293e-13,0,43231.9067727755,181870.574736583,0,0,39845.1029134749,9197.10452859185,0,0,0,1375553.29796294,"3_96_17",7,FALSE
