"","solID","dep_var_type","channels","date_min","date_max","periods","constr_low","constr_low_abs","constr_up","constr_up_abs","unconstr_mult","constr_low_unb","constr_low_unb_abs","constr_up_unb","constr_up_unb_abs","histSpendAll","histSpendAllTotal","histSpendAllUnit","histSpendAllUnitTotal","histSpendAllShare","histSpendWindow","histSpendWindowTotal","histSpendWindowUnit","histSpendWindowUnitTotal","histSpendWindowShare","initSpendUnit","initSpendUnitTotal","initSpendShare","initSpendTotal","initResponseUnit","initResponseUnitTotal","initResponseMargUnit","initResponseTotal","initResponseUnitShare","initRoiUnit","initCpaUnit","total_budget_unit","total_budget_unit_delta","optmSpendUnit","optmSpendUnitDelta","optmSpendUnitTotal","optmSpendUnitTotalDelta","optmSpendShareUnit","optmSpendTotal","optmSpendUnitUnbound","optmSpendUnitDeltaUnbound","optmSpendUnitTotalUnbound","optmSpendUnitTotalDeltaUnbound","optmSpendShareUnitUnbound","optmSpendTotalUnbound","optmResponseUnit","optmResponseMargUnit","optmResponseUnitTotal","optmResponseTotal","optmResponseUnitShare","optmRoiUnit","optmCpaUnit","optmResponseUnitLift","optmResponseUnitUnbound","optmResponseMargUnitUnbound","optmResponseUnitTotalUnbound","optmResponseTotalUnbound","optmResponseUnitShareUnbound","optmRoiUnitUnbound","optmCpaUnitUnbound","optmResponseUnitLiftUnbound","optmResponseUnitTotalLift","optmResponseUnitTotalLiftUnbound"
"bing_ads_cost","4_100_3","revenue","bing_ads_cost",2023-04-30,2023-05-21,"4 weeks",0.1,276.05,Inf,Inf,3,0.1,276.05,Inf,Inf,649400,47946070,5195.2,383568.56,0.0135443843468297,11042,1019720,2760.5,254930,0.0108284627152552,2760.5,254930,0.0108284627152552,1019720,3520.52897115397,528640.584723585,2.11727684753214,2114562.33889434,0.00665958890196593,1.2753229382916,0.784115120943077,254930,0,44045.8079414662,14.955735533949,677513.355436731,1.65764466887667,0.0650109810943489,2710053.42174692,25894.476419193,8.38035733352401,1209787.5089594,3.7455674458063,0.0214041525701205,4839150.0358376,62925.5723641668,0.311249104444869,1123951.06541461,4495804.26165843,0.0559860427206006,1.42863930314981,0.699966743036703,16.8738970421087,52709.7505239067,0.965686949195515,1208780.08158858,4835120.3263543,0.043605740470703,2.03555961783564,0.491265395146359,13.9721109968964,1.12611573514035,1.28658206826973
"cj_cost","4_100_3","revenue","cj_cost",2023-04-30,2023-05-21,"4 weeks",0.1,178.6,Inf,Inf,3,0.1,178.6,Inf,Inf,112323,47946070,898.584,383568.56,0.00234269461501224,7144,1019720,1786,254930,0.0070058447416938,1786,254930,0.0070058447416938,1019720,7107.75354763222,528640.584723585,10.3855296494248,2114562.33889434,0.013445342172033,3.97970523383663,0.251274891290366,254930,0,26919.950313907,14.0727605341024,677513.355436731,1.65764466887667,0.0397334607471378,2710053.42174692,8454.59547616246,3.733816056082,1209787.5089594,3.7455674458063,0.0069884962553752,4839150.0358376,248084.670358567,0.371778681845171,1123951.06541461,4495804.26165843,0.220725508425096,9.21564369420124,0.108511139664528,33.9033866602214,176976.330543356,18.142471954925,1208780.08158858,4835120.3263543,0.146409039360389,20.9325604095827,0.0477724645448633,23.8990527537792,1.12611573514035,1.28658206826973
"dm_cost","4_100_3","revenue","dm_cost",2023-04-30,2023-05-21,"4 weeks",0.1,24,Inf,Inf,3,0.1,24,Inf,Inf,30000,47946070,240,383568.56,0.000625703003395273,0,1019720,0,254930,0,0,254930,0,1019720,5.36524917207476e-52,528640.584723585,0.00172864139012529,2114562.33889434,1.01491435336546e-57,Inf,0,254930,0,12012.495822451,Inf,677513.355436731,1.65764466887667,0.0177302716264651,2710053.42174692,276.657989298365,Inf,1209787.5089594,3.7455674458063,0.000228683125961792,4839150.0358376,9008.80788225903,0.369067352648926,1123951.06541461,4495804.26165843,0.00801530258698213,0.749953050174786,1.33341680491457,1.67910335444408e+55,39.0492492973462,0.251298396091272,1208780.08158858,4835120.3263543,3.2304676336185e-05,0.141146291839897,7.08484783386519,7.27818001456319e+52,1.12611573514035,1.28658206826973
"facebook_cost","4_100_3","revenue","facebook_cost",2023-04-30,2023-05-21,"4 weeks",0.1,13274.125,Inf,Inf,3,0.1,13274.125,Inf,Inf,31632918,47946070,253063.344,383568.56,0.65976039329188,530965,1019720,132741.25,254930,0.520696857961009,132741.25,254930,0.520696857961009,1019720,339722.415635096,528640.584723585,0.910900433606002,2114562.33889434,0.64263400399485,2.55928293303774,0.390734446391611,254930,0,221071.032196779,0.665428283949257,677513.355436731,1.65764466887667,0.326297674315623,2710053.42174692,447390.854139504,2.37039808002037,1209787.5089594,3.7455674458063,0.369809450689673,4839150.0358376,404377.192415715,0.597202180942986,1123951.06541461,4495804.26165843,0.359781848924665,1.82917313226172,0.546695106309334,0.190316487240765,500989.019643448,0.314206958806608,1208780.08158858,4835120.3263543,0.414458367799252,1.11980165666782,0.893015288953659,0.47470109885705,1.12611573514035,1.28658206826973
"fig_cost","4_100_3","revenue","fig_cost",2023-04-30,2023-05-21,"4 weeks",0.1,163.1,Inf,Inf,3,0.1,163.1,Inf,Inf,28351,47946070,226.808,383568.56,0.000591310194975313,6524,1019720,1631,254930,0.00639783469972149,1631,254930,0.00639783469972149,1019720,0,528640.584723585,0,2114562.33889434,0,0,Inf,254930,0,0,-1,677513.355436731,1.65764466887667,0,2710053.42174692,0,-1,1209787.5089594,3.7455674458063,0,4839150.0358376,0,0,1123951.06541461,4495804.26165843,0,NA,NA,NA,0,0,1208780.08158858,4835120.3263543,0,NA,NA,NA,1.12611573514035,1.28658206826973
"google_ads_cost","4_100_3","revenue","google_ads_cost",2023-04-30,2023-05-21,"4 weeks",0.1,6264.7,Inf,Inf,3,0.1,6264.7,Inf,Inf,8621550,47946070,68972.4,383568.56,0.179817657630751,250588,1019720,62647,254930,0.245741968383478,62647,254930,0.245741968383478,1019720,107441.882622769,528640.584723585,1.45068375390838,2114562.33889434,0.203241835242271,1.71503635645392,0.583078018280407,254930,0,180533.845440856,1.88176361902175,677513.355436731,1.65764466887667,0.266465367792613,2710053.42174692,373487.531132922,4.96177839534092,1209787.5089594,3.7455674458063,0.308721596451412,4839150.0358376,218812.427031263,0.588619736692635,1123951.06541461,4495804.26165843,0.194681453458604,1.21202994650079,0.825062122340345,1.03656545929597,285940.679566063,0.201266044459771,1208780.08158858,4835120.3263543,0.236553103348858,0.765596320441279,1.30617137687341,1.66135209646324,1.12611573514035,1.28658206826973
"influencer_cost","4_100_3","revenue","influencer_cost",2023-04-30,2023-05-21,"4 weeks",0.1,1474.375,Inf,Inf,3,0.1,1474.375,Inf,Inf,4018693,47946070,32149.544,383568.56,0.0838169426607853,58975,1019720,14743.75,254930,0.0578345035892206,14743.75,254930,0.0578345035892206,1019720,30236.2160259563,528640.584723585,1.62340269259585,2114562.33889434,0.0571961686251656,2.05078192630479,0.48761888681253,254930,0,109868.775703288,6.45188813587371,677513.355436731,1.65764466887667,0.162164737892828,2710053.42174692,168012.866635774,10.3955314377803,1209787.5089594,3.7455674458063,0.138877997492543,4839150.0358376,105611.602948785,0.383390768620302,1123951.06541461,4495804.26165843,0.0939645916967266,0.961252205394548,1.04030970684696,2.49288425701556,122522.150276816,0.220531968225259,1208780.08158858,4835120.3263543,0.101360166454594,0.729242662958815,1.37128565125718,3.05216546183016,1.12611573514035,1.28658206826973
"linkby_cost","4_100_3","revenue","linkby_cost",2023-04-30,2023-05-21,"4 weeks",0.1,65.55,Inf,Inf,3,0.1,65.55,Inf,Inf,5208,47946070,41.664,383568.56,0.000108622041389419,2622,1019720,655.5,254930,0.00257129408072804,655.5,254930,0.00257129408072804,1019720,0,528640.584723585,0,2114562.33889434,0,0,Inf,254930,0,0,-1,677513.355436731,1.65764466887667,0,2710053.42174692,0,-1,1209787.5089594,3.7455674458063,0,4839150.0358376,0,0,1123951.06541461,4495804.26165843,0,NA,NA,NA,0,0,1208780.08158858,4835120.3263543,0,NA,NA,NA,1.12611573514035,1.28658206826973
"mntn_cost","4_100_3","revenue","mntn_cost",2023-04-30,2023-05-21,"4 weeks",0.1,77.3296,Inf,Inf,3,0.1,77.3296,Inf,Inf,96662,47946070,773.296,383568.56,0.00201605679047313,0,1019720,0,254930,0,0,254930,0,1019720,3.50528558769706e-56,528640.584723585,0.00212102969733276,2114562.33889434,6.63075384106178e-62,Inf,0,254930,0,16840.008587889,Inf,677513.355436731,1.65764466887667,0.0248556112625024,2710053.42174692,2693.84444955849,Inf,1209787.5089594,3.7455674458063,0.00222670876464546,4839150.0358376,26548.9839901131,0.374592309646687,1123951.06541461,4495804.26165843,0.0236211208895643,1.57654218829832,0.634299549623453,7.57398600653122e+59,5413.67035595009,3.1253430149527,1208780.08158858,4835120.3263543,0.00447862306668344,2.00964475021465,0.497600384293389,1.54443060929219e+59,1.12611573514035,1.28658206826973
"sms_cost","4_100_3","revenue","sms_cost",2023-04-30,2023-05-21,"4 weeks",0.1,757.075,Inf,Inf,3,0.1,757.075,Inf,Inf,825319,47946070,6602.552,383568.56,0.0172134859019728,30283,1019720,7570.75,254930,0.0296973679049151,7570.75,254930,0.0296973679049151,1019720,0,528640.584723585,0,2114562.33889434,0,0,Inf,254930,0,0,-1,677513.355436731,1.65764466887667,0,2710053.42174692,0,-1,1209787.5089594,3.7455674458063,0,4839150.0358376,0,0,1123951.06541461,4495804.26165843,0,NA,NA,NA,0,0,1208780.08158858,4835120.3263543,0,NA,NA,NA,1.12611573514035,1.28658206826973
"tatari_cost","4_100_3","revenue","tatari_cost",2023-04-30,2023-05-21,"4 weeks",0.1,296.572,Inf,Inf,3,0.1,296.572,Inf,Inf,370715,47946070,2965.72,383568.56,0.00773191629678929,0,1019720,0,254930,0,0,254930,0,1019720,4.58836244924927e-09,528640.584723585,8.18934369528662e-06,2114562.33889434,8.67955011749321e-15,Inf,0,254930,0,297.084323369151,Inf,677513.355436731,1.65764466887667,0.000438492202382709,2710053.42174692,87796.9819113757,Inf,1209787.5089594,3.7455674458063,0.0725722337692958,4839150.0358376,0.364071723688625,0.00231423609815407,1123951.06541461,4495804.26165843,3.23921329754979e-07,0.00122548278401159,816.004935399032,79346765.4587381,12687.0716729575,0.20828158302902,1208780.08158858,4835120.3263543,0.0104957649999363,0.144504644655828,6.9201927895241,2765054376867.87,1.12611573514035,1.28658206826973
"tiktok_cost","4_100_3","revenue","tiktok_cost",2023-04-30,2023-05-21,"4 weeks",0.1,3039.425,Inf,Inf,3,0.1,3039.425,Inf,Inf,1420031,47946070,11360.248,383568.56,0.0296172553871464,121577,1019720,30394.25,254930,0.119225865923979,30394.25,254930,0.119225865923979,1019720,40611.7879209731,528640.584723585,0.385870186095417,2114562.33889434,0.0768230610637058,1.33616680526656,0.748409551905089,254930,0,65924.3551067255,1.16897456284414,677513.355436731,1.65764466887667,0.0973034030660991,2710053.42174692,95779.7008056123,2.15124409405109,1209787.5089594,3.7455674458063,0.0791706808809733,4839150.0358376,48581.4443520155,0.131310469034361,1123951.06541461,4495804.26165843,0.0432238073764311,0.73692710794617,1.35698631413766,0.196239979548564,51502.3597567811,0.0730174879718106,1208780.08158858,4835120.3263543,0.042606889823248,0.537716857784998,1.85971480254361,0.268162826443398,1.12611573514035,1.28658206826973
"tiktok_influencer_cost","4_100_3","revenue","tiktok_influencer_cost",2023-04-30,2023-05-21,"4 weeks",0.1,107.92,Inf,Inf,3,0.1,107.92,Inf,Inf,134900,47946070,1079.2,383568.56,0.00281357783860074,0,1019720,0,254930,0,0,254930,0,1019720,0,528640.584723585,0,2114562.33889434,0,NA,NA,254930,0,0,NA,677513.355436731,1.65764466887667,0,2710053.42174692,0,NA,1209787.5089594,3.7455674458063,0,4839150.0358376,0,0,1123951.06541461,4495804.26165843,0,NA,NA,NA,0,0,1208780.08158858,4835120.3263543,0,NA,NA,NA,1.12611573514035,1.28658206826973
