"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","bing_ads_cost",1,28,8.41859658928117,0.344799507893757,"[4.68, 12.17]",4.68344610339023,12.1706064360125,1.7916307982902,0.11182244372932
"2","bing_ads_cost",2,11,2.01962545737192,0.523191338892855,"[0, 5.87]",0,5.8718329315327,1.65447628297446,0.0927352070452689
"3","bing_ads_cost",3,39,2.9396506492161,0.31841902419697,"[0, 6.96]",0,6.9609220064051,1.96286669157152,0.109966216056042
"4","bing_ads_cost",4,6,3.23565112525317,0.585145727837234,"[0, 6.93]",0,6.92826745142297,1.30842562418765,0.0964153404020026
"5","bing_ads_cost",5,42,1.10329133492301,0.178904093880642,"[0, 3.44]",0,3.44470269421981,1.1455451397031,0.057937302763899
"6","cj_cost",1,28,9.00120861574069,0.0827588392493392,"[8.11, 9.9]",8.10531178288394,9.90238133842531,0.430027543065842,0.0268396428451824
"7","cj_cost",2,11,8.90851963757123,0.168304283058318,"[7.67, 10.16]",7.66907134008136,10.1565751689213,0.532224874425974,0.0358783189665847
"8","cj_cost",3,39,9.88892296964817,0.17473272147694,"[7.68, 12.09]",7.67558622076408,12.0936462957331,1.07712483504933,0.0663869671218952
"9","cj_cost",4,6,13.0681892857894,0.417282120659934,"[10.44, 15.7]",10.4416765672817,15.6966053190246,0.933071187590882,0.0719300113830777
"10","cj_cost",5,42,16.5742913158056,0.327763369842904,"[12.28, 20.86]",12.2779930375329,20.8576065607687,2.09870957758377,0.129060936145488
"11","dm_cost",1,28,3.07539304351058,0.226213218141169,"[0.62, 5.53]",0.615341541610708,5.52745595826838,1.1754383614925,0.0733635468650775
"12","dm_cost",2,11,3.53830867178473,0.307321537556533,"[1.27, 5.82]",1.27304820233339,5.8151994029179,0.971836032703621,0.065513366323149
"13","dm_cost",3,39,2.3901094873833,0.219709270840892,"[0, 5.17]",0,5.16559745878773,1.3543789057537,0.0795389421241933
"14","dm_cost",4,6,0.502800450148008,0.203498896346935,"[0, 1.79]",0,1.78550915344948,0.45503736557793,0.0272281200465185
"15","dm_cost",5,42,0.503581534872453,0.10645270437002,"[0, 1.9]",0,1.8986830463058,0.681629891491952,0.0329489174675728
"16","facebook_cost",1,28,2.50535621605799,0.014043709607811,"[2.35, 2.66]",2.35172377290291,2.65667637025659,0.0729732557024154,0.00455453645210609
"17","facebook_cost",2,11,2.47389652561637,0.0254399468561554,"[2.29, 2.66]",2.28608360283106,2.6620809575047,0.0804481756190909,0.00542316874658406
"18","facebook_cost",3,39,2.51466331745571,0.015781750208597,"[2.32, 2.71]",2.31527292768143,2.71430935268748,0.0972852419772339,0.00599602938343955
"19","facebook_cost",4,6,2.1863873546334,0.0184677149327989,"[2.07, 2.3]",2.06944936037642,2.30201749923144,0.0412950659788264,0.0031834168768957
"20","facebook_cost",5,42,2.66792333703063,0.00901962490821406,"[2.55, 2.79]",2.54971348678633,2.78581337761342,0.0577537788623385,0.00355159038941176
"21","fig_cost",1,28,0,0,"[0, 0]",0,0,0,0
"22","fig_cost",2,11,0,0,"[0, 0]",0,0,0,0
"23","fig_cost",3,39,0,0,"[0, 0]",0,0,0,0
"24","fig_cost",4,6,0,0,"[0, 0]",0,0,0,0
"25","fig_cost",5,42,0,0,"[0, 0]",0,0,0,0
"26","google_ads_cost",1,28,2.11640305090382,0.0282348531872024,"[1.81, 2.42]",1.81059188524028,2.42369853980597,0.146712600793448,0.00915688743588466
"27","google_ads_cost",2,11,2.33097493300814,0.0449852152156938,"[2, 2.66]",1.99806435620213,2.66293688978734,0.142255741114455,0.00958973753347603
