"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","facebook_cost","google_ads_cost","bing_ads_cost","tiktok_cost","influencer_cost","tiktok_influencer_cost","tatari_cost","mntn_cost","dm_cost","sms_cost","cj_cost","fig_cost","linkby_cost","cluster","top_sol"
"1","2_101_17",0,0.0472128247291672,0.326898670468895,0.604755068912374,0.0665358478294084,0.970268395618422,0.8502815865493,0.00382653143661123,0.249346350051806,0.246482250440195,0,0,0.328584434119775,0,0.667390864492805,0.639632606850714,0,0,5,FALSE
"2","2_103_7",0,0.0452657258347387,0.313859533150285,0.589670633702794,0.0665006797528132,0.89388099014622,0.871979675156891,0,0.116116684030454,0.243027624016582,0,0,0.474250150864786,0.122186091903363,0.770286848397085,0.473510004013597,0,0,5,FALSE
"3","2_103_9",0,0.0411338769568507,0.327787547409211,0.611151989811256,0.066099170714855,0.951394859238332,0.848323029679337,0.0285239970985383,0.200535746681368,0.358520381747605,0,0,0.303466598298458,0,0.505261371710414,0.620008539747887,0,0,5,FALSE
"4","2_104_18",0,0.0461738973132206,0.314563995712971,0.590683984013014,0.0663951292227384,0.8965505048189,0.868482260912648,0,0.118854453993976,0.228141488341905,0,0,0.475598148741055,0.14645709154937,0.731396267612949,0.472542760868657,0,0,5,FALSE
"5","2_106_12",0,0.0411760049542773,0.343895917862381,0.626484374397056,0.0648205879063583,0.598116904239429,0.647033468035229,0.201599628072042,0.153006319170546,0.238141464420663,0,0,0.365813667255477,0.116682847724259,0.411117699044546,1,0,0,5,FALSE
"6","2_106_14",0,0.0510398736603817,0.307728556231384,0.610278785106037,0.065769491254748,0.848452254048396,0.763186096419453,0,0.119458559955533,0.282852843914111,0,0,0.464227104587656,0.210712077766612,0.378785619811526,0.537529307446982,0,0,5,FALSE
"7","2_52_6",0,0.0387802838667255,0.32729970729978,0.588628164351866,0.0655303644891718,0.812835220990499,0.887071715818269,0.129505788719838,0.165140515003877,0.267253232784359,0,0,0.396589474514171,0,0.829742479772894,0.597386118861481,0,0,5,FALSE
"8","2_62_18",0,0.0437716707474312,0.33062187322083,0.590455784638474,0.0664615525046275,0.733439294913025,0.869669810287327,0.217015861233795,0.140664709357181,0.236953243787903,0,0,0.36392074209258,0,0.925777152963508,0.677365674949508,0,0,5,FALSE
"9","2_62_19",0,0.049288844491101,0.317493790558587,0.605157307556628,0.0660802111934158,0.815561472320607,0.843253320836561,0.000164163792386872,0.096904638876932,0.242548492016283,0,0,0.402849443500636,0.151474099933474,0.496423251237559,0.660495791907811,0,0,5,FALSE
"10","2_68_14",0,0.040986250372,0.32430972303982,0.609080908626285,0.0645728777144034,0.874080055340049,0.950451584754387,0.127259166927008,0.153445585317474,0.373466486639096,0,0,0.309334052363057,0,0.319715338415719,0.650005736235472,0,0,5,FALSE
