"","ds","dep_var","trend","season","holiday","print_launch","product_launch","solidcolor_launch","mb_status","sale_status","facebook_cost","google_ads_cost","bing_ads_cost","tiktok_cost","influencer_cost","tiktok_influencer_cost","tatari_cost","mntn_cost","dm_cost","sms_cost","cj_cost","fig_cost","linkby_cost","sms_sends","email_campaign_delivery","organic_impressions","intercept","depVarHat","solID","cluster","top_sol"
"1",2022-01-02,654913,0,-142664.976755686,0,0,0,0,0,28122.9657134277,473931.673391704,151006.865809832,8370.32378880408,7581.8487422203,38860.4571645621,0,0,87533.4209247602,0,15783.484286149,1861.56431545159,0,0,3011.82118157792,10415.2203536118,0,0,683814.668916415,"2_52_6",5,FALSE
"2",2022-01-09,1098519,0,-87313.544103814,0,-37157.649308385,0,0,0,56245.9314268553,522508.394790871,152638.812754205,7475.77188785862,16565.686044009,60467.9737743256,0,0,57132.6509600151,0,14224.376066814,5833.17514530268,0,0,141925.571226025,19786.5868363513,0,0,930333.737500433,"2_52_6",5,FALSE
"3",2022-01-16,963182,0,-70119.550348826,53843.9927630225,-32300.4402484654,0,0,0,140614.828567138,597166.787713143,183834.370244925,7694.99253844238,22741.8431766456,76585.2973084433,0,0,31569.8486609599,0,13885.0217420779,3810.23731314593,0,0,2695.13205603688,33739.1484169887,0,0,1065761.50990368,"2_52_6",5,FALSE
"4",2022-01-23,557152,0,-98275.7063432852,0,-20400.2780516623,0,0,0,0,499396.402234681,163447.913409635,8666.21061824262,31641.5882501885,67858.6123811925,0,0,15451.5097106664,0,13810.6131298368,1449.6260419837,0,0,9246.60622728535,31845.3939491501,0,0,724138.491557915,"2_52_6",5,FALSE
"5",2022-01-30,594670,0,-134946.35856159,0,-8500.11585485931,0,0,0,0,492333.015878309,157339.74003253,8352.34962476542,31773.8336179244,46237.6275426959,0,0,7054.37071035977,0,17809.9626087181,2070.09877241658,0,0,123.303425812211,77691.345925162,0,0,697339.173722244,"2_52_6",5,FALSE
"6",2022-02-06,893466,0,-150918.323995137,0,-242.86045299598,-27096.556802355,0,0,0,552159.534792844,181862.901856068,8060.06173033856,24093.6516477842,82723.0324939453,0,0,3111.72836743563,0,20327.7357102328,3860.46130378058,0,0,118472.258631231,31694.3801653015,0,0,848108.005448474,"2_52_6",5,FALSE
"7",2022-02-13,836533,0,-145626.950350832,0,0,-29180.9073256131,0,0,14061.4828567138,595706.980392981,179095.693027537,8680.40005203164,20227.9924602711,93653.625445252,0,0,1351.14544543839,0,20880.7662334546,802.791616466769,0,0,101644.475961601,9306.46568626376,0,0,870603.961501567,"2_52_6",5,FALSE
"8",2022-02-20,726653,0,-128969.536530444,-7198.19030835468,0,-18967.5897616485,0,0,0,544200.162154865,167456.733601285,9045.59429998541,40556.9415863793,75136.6325764077,0,0,582.614488444043,0,21002.2387832595,1131.51560604604,0,0,9903.60145674565,23749.2369190964,0,0,737629.954872067,"2_52_6",5,FALSE
"9",2022-02-27,884322,0,-102593.192408952,0,0,-8754.27219768394,0,0,0,568164.425057644,145860.063104949,10358.4910819465,44041.4054174663,82041.6653495012,0,0,250.46565686838,0,25694.1383515006,1250.97854855737,0,0,22181.1930820759,18416.1474972029,0,0,806911.508541075,"2_52_6",5,FALSE
"10",2022-03-06,854156,0,-66420.8285780526,0,0,-625.305156977424,0,-96.4426188071875,0,588605.207790162,167915.297507061,11895.9370372838,44178.7727396582,64875.5922014752,0,0,107.534833535238,0,28497.059483432,967.392650499523,0,0,5596.76787640776,24464.223389962,0,0,869961.20915564,"2_52_6",5,FALSE
"11",2022-03-13,1041636,0,-32706.3971218033,0,-31571.8588894774,0,0,0,0,556698.418403152,203615.81524997,12591.329568048,70134.3408784173,108471.906827384,0,0,46.1431084165934,0,29100.4628216326,1012.73154820174,0,0,131963.59881277,24997.8383440597,0,0,1074354.32955077,"2_52_6",5,FALSE
"12",2022-03-20,1023846,0,-19326.2848378519,0,-34000.4634194372,0,0,-96.4426188071875,14061.4828567138,526812.534981882,216777.949415367,9375.01190676267,87411.379868625,95944.2006730676,0,0,19.7952078436879,0,29232.4341752004,2101.36894710618,0,0,116125.794700231,45029.1223618671,0,0,1089467.88421857,"2_52_6",5,FALSE
