"","bing_ads_cost_alphas","bing_ads_cost_gammas","bing_ads_cost_scales","bing_ads_cost_shapes","cj_cost_alphas","cj_cost_gammas","cj_cost_scales","cj_cost_shapes","dm_cost_alphas","dm_cost_gammas","dm_cost_scales","dm_cost_shapes","email_campaign_delivery_alphas","email_campaign_delivery_gammas","email_campaign_delivery_scales","email_campaign_delivery_shapes","facebook_cost_alphas","facebook_cost_gammas","facebook_cost_scales","facebook_cost_shapes","fig_cost_alphas","fig_cost_gammas","fig_cost_scales","fig_cost_shapes","google_ads_cost_alphas","google_ads_cost_gammas","google_ads_cost_scales","google_ads_cost_shapes","influencer_cost_alphas","influencer_cost_gammas","influencer_cost_scales","influencer_cost_shapes","linkby_cost_alphas","linkby_cost_gammas","linkby_cost_scales","linkby_cost_shapes","mntn_cost_alphas","mntn_cost_gammas","mntn_cost_scales","mntn_cost_shapes","organic_impressions_alphas","organic_impressions_gammas","organic_impressions_scales","organic_impressions_shapes","sms_cost_alphas","sms_cost_gammas","sms_cost_scales","sms_cost_shapes","sms_sends_alphas","sms_sends_gammas","sms_sends_scales","sms_sends_shapes","tatari_cost_alphas","tatari_cost_gammas","tatari_cost_scales","tatari_cost_shapes","tiktok_cost_alphas","tiktok_cost_gammas","tiktok_cost_scales","tiktok_cost_shapes","tiktok_influencer_cost_alphas","tiktok_influencer_cost_gammas","tiktok_influencer_cost_scales","tiktok_influencer_cost_shapes","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"1",2.0514352,0.5099473974,0.00500616,2.4156758556,0.8572759536,0.4636288832,0.005297638,0.9039952,1.00361452928,0.81944452,0.004656588,5.510568,1.6811112,0.7211829972,0.004228456,1.92789380656,1.6089236,0.76516988,0.005917564,1.9223528414,2.211176,0.5398085442,0.004767304,2.06801346152,1.7272704,0.31169441628,0.004023031,2.16778178,1.8052456,0.9378554,0.01382273536,1.198784247336,2.081612,0.66998056188,0.004484076,6.1110288,1.9446584,0.73373302,0.004472648,2.76252412608,2.3156944,0.6374874996,0.005151864,2.34848224768,2.3882376,0.5813015522,0.005077014,1.37526474864,1.8339952,0.524487111,0.005557452,1.68376925328,1.7119992,0.12486741,0.005740162,0.10139092,0.33647748,0.447093,0.004429268,2.11898476904,1.9858308,0.28762100656,0.005696566,4.02144959832,0.6161372,0.691235901017192,0.713287238217265,-0.501790230737271,0.0844324555381119,0.400018205060439,0.767658752041923,0.400018205060439,0.738592291139465,0,30399.3229036898,0.000733628,36469502.4741323,1e-04,0,0.09722900390625,132.116663217545,"1_62_7",1,62,7,1166,TRUE,TRUE,1,0.111169108632598,14,FALSE
"2",1.9943592,0.5265394072,0.004555954,2.5585313204,0.79309612096,0.4577292708,0.005503446,0.82428228,0.98766533184,0.82185616,0.004409324,5.548608,1.65178456,0.74841608,0.0040548934,1.90492891024,1.604607912,0.79215936,0.00593455,1.76170903144,2.2476728,0.5353363494,0.004451722,2.11574027248,1.684056,0.28947460932,0.004335562,1.9297536416,1.847448,0.87023512,0.0147395576,1.29456158832,1.9332008,0.66110449552,0.004503538,6.3211464,1.98182,0.77025076,0.0040722036,2.61653272992,2.355752,0.5995317048,0.005247586,2.37564923136,2.2854256,0.5919195714,0.00473719,1.3491909294,1.8225544,0.5035879662,0.005496006,1.67414594124,1.6932752,0.124819722,0.005506042,0.09979368,0.3323526,0.45121266,0.00448903,2.1278464192,1.968576,0.29408517248,0.005677934,4.01521959344,0.6140174,0.685985813261437,0.717087524778402,-0.536671550728877,0.085147255816964,0.397358304518501,0.776522588762859,0.397358304518501,0.746016556868755,0,31154.2390447453,0.00075433,36469502.4741323,1e-04,0,0.0974471569061279,163.069671154022,"1_76_12",1,76,12,1437,TRUE,TRUE,1,0.113796744859285,14,FALSE
"3",2.2321496,0.5611665146,0.005148486,2.2925404704,0.89151780256,0.5397689522,0.004897482,1.0548924,1.06901618208,0.87273692,0.0040121165,5.9633904,2.3026888,0.96702776,0.00470043,1.71574097184,1.606138224,0.732842228,0.005988146,1.79460272578,2.2376816,0.5392124322,0.0041500596,2.12880453544,1.66692712,0.31623058584,0.00401451738,2.1119137118,1.8166576,0.9270572,0.01414721776,1.22560161048,2.1039904,0.66270586872,0.004221668,5.6568744,1.7611768,0.7682874,0.004546104,2.78785633392,2.22696,0.6683539842,0.004427092,2.03761716608,2.3882152,0.6500362012,0.005455764,1.55319305904,2.137072,0.4583742258,0.004949636,1.70742477756,1.8696112,0.12208215,0.0054109,0.09260196,0.29405916,0.46217466,0.004574678,2.12939104168,1.950366,0.29527862064,0.00574446,4.02335705244,0.6179369,0.652502287968044,0.621980990408457,-0.138268283455456,0.0895719431640909,0.453042111302126,0.693532923301455,0.453042111302126,0.660484622219495,0,102578.451625158,0.00271299,36469502.4741323,1e-04,0,0.104099988937378,216.994460105896,"1_101_2",1,101,2,1902,TRUE,TRUE,1,0.0837193556973433,15,FALSE
"4",1.9972312,0.599746251,0.005320452,2.0974103752,1.00086091424,0.4037393074,0.004382562,1.115226,0.756100355648,0.97456592,0.005179964,6.331968,2.2436808,0.88272116,0.004717876,1.6146360624,1.606062768,0.729982532,0.005822906,2.0785033644,2.1663296,0.5632845186,0.005768348,2.12041359024,1.696752,0.272810269836,0.005066588,2.0871694374,1.6414236,0.733691916,0.0148339144,1.4789262852,2.0440632,0.7217992586,0.004409882,5.7593016,2.0248736,0.85801032,0.00425418,2.47058213184,2.20488,0.58561684062,0.005364462,2.425354672,2.2603008,0.6339093394,0.004985156,1.468372038,2.0217536,0.5595421094,0.004925698,1.56909795384,1.945768,0.12437262,0.005134466,0.083032172,0.29964756,0.4340574,0.0040766164,2.2618543768,1.7229176,0.30055216528,0.00515004,4.0248125192,0.6138956,0.670697940514358,0.650227132544847,-0.284328242161733,0.0871953337908971,0.441824000244298,0.709907206032744,0.441824000244298,0.665740526608299,0,81468.3678623807,0.00213409,36469502.4741323,1e-04,0,0.104532957077026,217.807458162308,"1_101_9",1,101,9,1909,TRUE,TRUE,2,0.0856471169243914,15,FALSE
"5",1.9972312,0.599746251,0.005320452,2.0974103752,1.00086091424,0.4037393074,0.004382562,1.115226,0.756100355648,0.97456592,0.005179964,6.331968,2.2436808,0.88272116,0.004717876,1.6146360624,1.606062768,0.729982532,0.005822906,2.0785033644,2.1663296,0.5632845186,0.005768348,2.12041359024,1.696752,0.272810269836,0.005066588,2.0871694374,1.6414236,0.733691916,0.0148339144,1.4789262852,2.0440632,0.7217992586,0.004409882,5.7593016,2.0248736,0.85738144,0.004780162,2.80945098432,2.118624,0.57036687414,0.004793164,2.425354672,2.2603008,0.6339093394,0.004985156,1.468372038,2.0217536,0.5595421094,0.004925698,1.56909795384,1.945768,0.12437262,0.005134466,0.083032172,0.29964756,0.4340574,0.0040766164,2.2618543768,1.7229176,0.30055216528,0.00515004,4.0248125192,0.6138956,0.670663368294917,0.650562259052829,-0.284363546264042,0.0871999108304419,0.441612287970672,0.709916963065089,0.441612287970672,0.665561025708796,0,81468.3678623807,0.00213409,36469502.4741323,1e-04,0,0.10733699798584,225.101009130478,"1_104_12",1,104,12,1969,TRUE,TRUE,1,0.0855854140725565,15,FALSE
"6",2.3594704,0.5171319018,0.005490864,2.165427438,0.967569328,0.5156295792,0.0041367228,1.1205324,0.89183982976,0.9612676,0.0040225184,5.6444136,1.8208544,0.742788164,0.004566856,1.83324927472,1.61443912,0.736751364,0.005323664,1.8863160944,1.929192,0.6470673828,0.004433948,1.83790315256,1.8584272,0.295146891,0.004214866,1.910801563,2.0193944,0.84177536,0.0155171308,1.54450846368,1.7916112,0.68781453048,0.004221706,6.2023872,2.084084,0.739041624,0.004694046,2.2730230845072,2.1743584,0.6966251166,0.005739298,2.463258656,2.2056152,0.638429178,0.00464814,1.69090738884,2.3168208,0.4598256682,0.005876024,1.75342283628,1.8346984,0.12001523418,0.005217424,0.090593,0.35532264,0.45402894,0.004677418,2.15150155752,1.9402844,0.27738891248,0.005266384,4.15645721084,0.7422575,0.794205551427003,-3.784268771478,-0.667643697659404,0.0603410997752602,1.5726231445209,0.785477851425378,1.5726231445209,0.419665838879043,0,74910.3484049653,0.00195425,36469502.4741323,1e-04,0,0.108426094055176,230.524443149567,"1_106_18",1,106,18,2013,TRUE,TRUE,1,0.014494924063914,2,FALSE
"7",1.901068,0.5504509498,0.005362006,1.8680802616,0.778426859232,0.4891596222,0.00431726,1.0372036,1.0692564784,0.82543204,0.005651602,5.416344,2.355376,0.96326344,0.005345602,1.92077575088,1.62960624,0.760817,0.00572112,1.77344827082,2.3223576,0.6656213688,0.004548894,2.18095092008,2.0437696,0.37562898672,0.005418724,2.0207095022,1.65626016,0.731919292,0.0153132124,1.26089150616,1.9080416,0.55300759038,0.004862894,5.924508,1.6637184,0.737347036,0.004773318,2.47178794176,1.8306448,0.58577825166,0.004491456,2.1835791904,2.2976824,0.6483707004,0.005787748,1.75645127844,2.2745056,0.5955511128,0.005382182,1.53410131848,1.65751456,0.16022694,0.004811128,0.10869752,0.303633,0.49884552,0.0041014144,2.22723495104,1.62276172,0.2129407936,0.004312362,4.82973960612,0.6129533,0.631958873854449,0.630756721300676,-0.19665121491771,0.0921815903720907,0.453954728348072,0.685247344551228,0.453954728348072,0.645042412202559,0,125666.808050105,0.00334614,36469502.4741323,1e-04,0,0.109053134918213,163.94863820076,"2_72_1",2,72,1,1350,TRUE,TRUE,2,0.0783424252837457,15,FALSE
"8",1.8728552,0.5417361988,0.00575464,2.0010770072,0.82299380416,0.4613699812,0.004367122,0.801492256,0.915159872,0.76442284,0.005280064,5.1445896,1.604101824,0.87911588,0.00487655,1.87976399344,1.6874728,0.8756058,0.004668462,2.2651398164,2.07662,0.6706456446,0.004521994,2.241050324,1.8610232,0.39613641444,0.00567783,1.9328148698,1.8984072,0.79717864,0.0144654836,1.188546991632,2.0732552,0.63858440324,0.005337328,6.835704,2.1296528,0.93298032,0.005247038,2.8501312032,2.3060896,0.5960364354,0.00462976,2.13613035904,2.0362392,0.6173724248,0.005723414,1.44268190748,2.288788,0.5743893626,0.004708262,1.47353951544,2.1350656,0.13065582,0.005405298,0.09764024,0.27154404,0.47554794,0.004259342,2.35367453984,1.7250772,0.22317430112,0.004232288,4.61947609816,0.6184004,0.70407517004445,0.70533750167552,-0.727031631757628,0.0826583486093733,0.399985442985814,0.854269520106465,0.399985442985814,0.781840820816852,0,10834.9173590038,0.000197115,36469502.4741323,1e-04,0,0.119632005691528,164.075307130814,"2_72_2",2,72,2,1351,TRUE,TRUE,2,0.126848988707262,14,FALSE
"9",1.901068,0.5504509498,0.005362006,1.8680802616,0.778426859232,0.4891596222,0.00431726,1.0372036,1.0692564784,0.82543204,0.005651602,5.416344,2.355376,0.96326344,0.005345602,1.92077575088,1.62960624,0.760817,0.00572112,1.77344827082,2.3223576,0.6656213688,0.004548894,2.18095092008,2.0437696,0.37562898672,0.005418724,2.0207095022,1.65626016,0.731919292,0.0153132124,1.26089150616,1.8369424,0.5440711150028,0.00472397,5.0738928,1.835312,0.83607316,0.004773318,2.47178794176,1.8306448,0.58577825166,0.004491456,2.1835791904,2.2976824,0.6483707004,0.005787748,1.75645127844,2.2745056,0.5955511128,0.005382182,1.53410131848,1.65751456,0.16022694,0.004811128,0.10869752,0.303633,0.49884552,0.0041014144,2.22723495104,1.62276172,0.2129407936,0.004312362,4.82973960612,0.6129533,0.63195887392683,0.630756727306849,-0.19665120714239,0.0921815903630263,0.45395472465602,0.685247342325009,0.45395472465602,0.6450423830395,0,125666.808050105,0.00334614,36469502.4741323,1e-04,0,0.103413105010986,167.551836013794,"2_73_12",2,73,12,1380,TRUE,TRUE,1,0.0783424152191398,15,TRUE
"10",1.8838608,0.5429277454,0.005490596,1.799711479,0.765006083776,0.4944813674,0.004417902,0.8495412,0.8638068912,0.79535332,0.00469176,5.1824736,1.8470232,0.736677248,0.00433121,1.9455448968,1.6116544,0.75909724,0.005703082,1.77491448846,2.2231928,0.46425071596,0.004762984,1.9345377516,2.1577248,0.29137129632,0.005247006,1.78333465238,2.0719624,0.79615888,0.0150808156,1.36824112152,2.2153544,0.58236614436,0.0041063106,6.245784,1.709228,0.75013836,0.004688036,2.45908953936,1.67950416,0.58688519484,0.004968902,1.989746268736,2.1658632,0.6519713072,0.005351432,1.61282966772,2.1750472,0.6060345552,0.00560847,1.43869365684,1.8582888,0.125137614,0.005296852,0.10114424,0.32029512,0.49820076,0.004306398,2.29980688592,1.7339948,0.24381910672,0.0041198422,4.85073846664,0.6163337,0.68762981040418,0.711202853524419,-0.521433894768125,0.0849240723615259,0.40146962615806,0.772662992707224,0.40146962615806,0.733489003289125,0,38800.2902334269,0.000964007,36469502.4741323,1e-04,0,0.117190837860107,238.007742166519,"2_104_17",2,104,17,1974,TRUE,TRUE,2,0.109459645212679,14,FALSE
