"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","facebook_cost","google_ads_cost","bing_ads_cost","tiktok_cost","influencer_cost","tiktok_influencer_cost","tatari_cost","mntn_cost","dm_cost","sms_cost","cj_cost","fig_cost","linkby_cost","cluster","top_sol"
"1","1_101_2",0,0.660484622219495,0.453042111302126,0.693532923301455,0.0895719431640909,0.32076330051681,0.752126410479681,0.142461231575424,0.793940905954616,0.197861757327701,0,0.487095487055309,0,0.2037360248101,0.805024993378743,0.366496159428771,0,0,15,FALSE
"2","1_101_9",0,0.665740526608299,0.441824000244298,0.709907206032744,0.0871953337908971,0.332141503108169,0.738764892800927,0.0386267642711128,0.68067013478152,0.155312271547105,0,0.525191173132486,0,0.262918425880174,0.879638563009942,0.392383082407973,0,0,15,FALSE
"3","1_104_12",0,0.665561025708796,0.441612287970672,0.709916963065089,0.0871999108304419,0.334012150399326,0.740488452093943,0.042725572599816,0.681672754607772,0.154933694309462,0,0.5256194584245,0,0.261438509337377,0.879942161401754,0.393001642447512,0,0,15,FALSE
"4","1_106_18",0,0.419665838879043,1.5726231445209,0.785477851425378,0.0603410997752602,1,0.67005571357885,0.858788782082202,0,0.657318083794266,1,0.516726941166214,0.660744781539368,0.561997075972532,0.480553445595197,0.222051125621073,0,0,2,FALSE
"5","1_62_7",0,0.738592291139465,0.400018205060439,0.767658752041923,0.0844324555381119,0.621085013013476,0.345964409033175,0,0.747952151080303,0,0,0.79955011689421,0.383053456384112,0.466630640627775,0.902941161001183,0.708446160406809,0,0,14,FALSE
"6","1_76_12",0,0.746016556868755,0.397358304518501,0.776522588762859,0.085147255816964,0.724284468748261,0.325642510682462,0,0.746693369401139,0,0,0.787114390862775,0.265996152389841,0.457045561228012,0.981075413205673,0.80020050365112,0,0,14,FALSE
"7","2_104_17",0,0.733489003289125,0.40146962615806,0.772662992707224,0.0849240723615259,0.736458069733516,0.363148093448048,0,0.716171814825002,0,0,0.733953659472622,0.284810550743707,0.369336919323967,0.973979365141599,0.743297073582697,0,0,14,FALSE
"8","2_72_1",0,0.645042412202559,0.453954728348072,0.685247344551228,0.0921815903720907,0.287022821964252,0.600789274477262,0.154600582962956,0.885454235165593,0.373607938336531,0.0321768808655708,0.305471853773141,0,0.213679380277848,0.856293331252959,0.431811304974411,0,0,15,FALSE
"9","2_72_2",0,0.781840820816852,0.399985442985814,0.854269520106465,0.0826583486093733,0.460495528698434,0,0,0.237800601849682,0,0.016642142945288,1,0.435266830347626,0.501950038040226,0.783006232652818,1,0,0,14,FALSE
"10","2_73_12",0,0.6450423830395,0.45395472465602,0.685247342325009,0.0921815903630263,0.287022927574027,0.600789330960632,0.154600503882332,0.885454183194824,0.373607944905669,0.0321768882946609,0.305471830911604,0,0.21367938565392,0.856293270047355,0.431811251293471,0,0,15,TRUE
