"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","bing_ads_cost",1,7,2.27580727257068,0.394633278474705,"[0, 4.83]",0,4.83414110425186,0.966650167784688,0.0683579943416286
"2","bing_ads_cost",10,3,0.851931673790203,0.106547937514018,"[0.06, 1.65]",0.0643183251437199,1.65239682327046,0.150681538275206,0.0190852684310824
"3","bing_ads_cost",11,12,7.28194424183592,0.161796184702588,"[6.05, 8.52]",6.05329092921975,8.52050032007832,0.536617237169525,0.0357620592444204
"4","bing_ads_cost",12,11,5.61584814527794,0.127608890691324,"[4.68, 6.57]",4.67960235309093,6.56563637682814,0.403534744272041,0.0272030657806191
"5","bing_ads_cost",13,12,4.50521735593848,0.137913429832992,"[3.46, 5.57]",3.46380627094407,5.56683057794449,0.457407100307041,0.0304832172486313
"6","bing_ads_cost",14,9,0,0,"[0, 0]",0,0,0,0
"7","bing_ads_cost",15,11,0.639863107288684,0.123341504881869,"[0, 1.55]",0,1.55325041261191,0.390040085459483,0.0235689957932412
"8","bing_ads_cost",2,7,4.79476689836328,0.496184666844504,"[1.59, 8.01]",1.58758796885626,8.01210788202066,1.2153992519619,0.0894476607786687
"9","bing_ads_cost",3,6,1.97058665988014,0.0741412799344757,"[1.5, 2.44]",1.50324010917085,2.43691812777978,0.165784941872329,0.0127802818419554
"10","bing_ads_cost",4,8,6.64785055825678,0.178804848004497,"[5.45, 7.84]",5.45132951054375,7.84308301167303,0.473073161032604,0.0337161598302474
"11","bing_ads_cost",5,3,6.48289685680187,0.387779468146817,"[3.57, 9.35]",3.56741891794207,9.34720452193803,0.548402983063054,0.069460520910324
"12","bing_ads_cost",6,3,5.84831993520428,0.145129022465039,"[4.78, 6.94]",4.77628653470807,6.93940940135725,0.205243431864007,0.025996057882598
"13","bing_ads_cost",7,6,2.46752198416321,0.154174743735544,"[1.5, 3.44]",1.49808957297021,3.43964722314513,0.344745207406287,0.0265762430806818
"14","bing_ads_cost",8,5,6.81226961174673,0.210613356100555,"[5.52, 8.13]",5.51574196908089,8.13085218719017,0.42122671220111,0.034924885277894
"15","bing_ads_cost",9,7,7.50047173860442,0.128397159416024,"[6.67, 8.34]",6.6732143200232,8.33568025777152,0.314507524992046,0.0231462726033577
"16","cj_cost",1,7,83.317723448415,1.99691657240267,"[70.3, 96.15]",70.2952487743182,96.1510059985723,4.89142666129408,0.359985965119619
"17","cj_cost",10,3,89.897647808148,3.93106771756939,"[60.35, 118.94]",60.3484581089654,118.940339496916,5.55936928079368,0.704147676257958
