"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","facebook_cost","google_ads_cost","bing_ads_cost","tiktok_cost","influencer_cost","other_cost","cluster","top_sol"
"1","1_100_3",0,0.124498117186349,0.60973235717507,1.1062666293855,0.0521275330880335,0.920854662817216,0.367214546222487,0.70846208968129,0.477168867922947,0.154055110683755,0,2,FALSE
"2","1_100_7",0,0.128764008791052,0.626857477001862,1.07379111726246,0.0510184127173793,0.756416435977573,1,0.962507708970771,0.399909383197418,0.172301955960209,0,2,FALSE
"3","1_100_8",0,0.132201445256432,0.626181512111996,1.17754427475891,0.0525323915689439,0.642854641876633,0.821749687172556,1,0.474710213173848,0.465556635053768,0,2,FALSE
"4","1_100_9",0,0.0298577910144018,0.71267778594706,1.17567051690757,0.0496931869519982,0.326887733294051,0.360421277157664,0.0257106073039272,0.0881228117485172,0.466750196925226,0.41136546164933,3,FALSE
"5","1_101_14",0,0.118204777535846,0.615029133593059,1.10368883681357,0.0526620440302035,0.949227993743287,0.477651175433649,0.720040620599138,0.473429601815678,0.0683427671370983,0,2,FALSE
"6","1_101_6",0,0.0246161567857536,0.759018170409218,1.2101136851506,0.0913339671813893,0.0907541514062361,0.173538978576684,0.0387051632544857,0.350179943466125,0.139381654851229,0.554358247039494,3,FALSE
"7","1_101_7",0,0.0767145387529108,0.648892543401356,1.11654764731912,0.0520940280842497,0.0605778706930733,0.032534372597412,0.337438637394739,0.122772523765651,0.282647474141468,0.211547687131876,5,FALSE
"8","1_102_12",0,0.0264843440117113,0.743633387806263,1.16112699456782,0.050665184106686,0.13706271876788,0.140071161485412,0.0396529848748201,0,0.157280090707688,1,3,TRUE
"9","1_103_12",0,0.0240217298551848,0.716926986753626,1.17781070556934,0.0499444505098065,0.257650830777887,0.273857837016718,0.0900048745755263,0.165796237879754,0.340827761243169,0.346239176215947,3,FALSE
"10","1_104_10",0,0.0786358098078553,0.646652583996451,1.11607336155274,0.0521124813356913,0.0655021312882252,0.0341071620036243,0.35397486239128,0.120718741805086,0.283312548602726,0.204083762625071,5,FALSE
"11","1_105_10",0,0.0768019134828552,0.650377917260899,1.13514657901635,0.0509468532194075,0.109889078713521,0.0241096999023784,0.335116310711073,0.375183547152926,0.210599232448066,0.184008977718199,5,FALSE
"12","1_105_11",0,0.0779211609306772,0.642560272393197,1.10111581905255,0.0509377837221366,0.058117562969728,0.12571407657853,0.375081805126231,0.234591260206715,0.225409847532902,0.403545852817857,5,FALSE
"13","1_28_12",0,0.0316186057152855,0.778293637064678,1.30824331076609,0.053451264556946,0.196100222837667,0.188320442161296,0.0250043242623866,0.226692827251121,0.23499314192127,0.00933592449702971,5,FALSE
"14","1_33_7",0,0.0314436893930963,0.778273529221914,1.30928226207234,0.0534523010536858,0.195781278384229,0.186999536070838,0.0434684356719461,0.221021735771446,0.234225721487614,0.00817153078308016,5,FALSE
"15","1_49_17",0,0.139513834708272,0.619701390628962,1.13184529092313,0.0502849704808718,0.695432795955562,0.20237110599369,0.8833995535597,0.546015890774141,0.223451633982774,0,2,FALSE
"16","1_51_8",0,0.0267999091152541,0.717306707098016,1.13110884217955,0.0512885883599319,0.678419180848393,0.576859226969531,0.227644090989847,0.440462255466274,0.67260692933004,0.342787433679222,4,FALSE
"17","1_52_7",0,0.0323152669232028,0.755221960726431,1.29957453413257,0.0530735620031681,0.467627273894887,0.439842603470552,0.12505216635708,0.163217020291708,0.327127505111768,0.206440772837255,3,FALSE
"18","1_53_8",0,0.0279208908782306,0.743947972487388,1.24096096029284,0.0499184654173501,0.348176223105298,0.314695789258421,0.113023025402614,0.263667547133846,0.216755581719953,0.216085075133138,3,FALSE
"19","1_57_6",0,0.141278232916907,0.616091279756435,1.11949671210718,0.0511391437567425,0.341522391588,0.52557556192138,0.841717807250675,0.530024607212457,0.266401857843627,0,2,FALSE
"20","1_58_17",0,0.141278344077493,0.616091296093796,1.11949665360697,0.0511391438553316,0.341521824006032,0.525575482172638,0.841717890205809,0.530024864245813,0.266401825339609,0,2,FALSE
"21","1_62_1",0,0.140698543712721,0.619325427997516,1.09811776880889,0.0510974182391554,0.344456291974708,0.529316722251109,0.844510921756295,0.499774909377858,0.26176709140576,0,2,FALSE
"22","1_68_11",0,0.0342147361407378,0.720786792500212,1.17619065762512,0.0509195086900792,0.605932250100571,0.484445103151711,0.219103373321511,0.64839325564812,0.423696062917018,0.0602680682810795,4,FALSE
"23","1_76_2",0,0.135894632041121,0.618471903990425,1.12622212332188,0.0505911947399248,0.450328823763054,0.264174930093557,0.894179398843525,0.554399671656296,0.214071042871357,0,2,FALSE
"24","1_78_11",0,0.0284578158218797,0.780338880312249,1.24264211515002,0.0911682131698141,0.34056955415695,0.35663200666947,0,0.0421451505687658,0.361695125688542,0.625630913164883,3,FALSE
"25","1_81_14",0,0.018788692381803,0.768866886048691,1.23940928780789,0.0909391536976029,0.264782821614326,0.285822233340034,0.0274777082556866,0.287201281710993,0.363774788279057,0.499780915432661,3,FALSE
"26","1_82_11",0,0.0812802144550864,0.647346519783497,1.1541723527054,0.0506625434173746,0.292852099913937,0.0947328429635061,0.398504241118764,0.370363226220687,0.490615966893021,0.130277240056152,5,FALSE
"27","1_82_12",0,0.116092437353918,0.631368016626716,1.12294226729617,0.051829960956282,0.667535952988226,0.702640152389882,0.867540770392512,0.541710485911467,0.0299491101813771,0,2,FALSE
"28","1_84_6",0,0.0819575237862647,0.643191181963407,1.15538523535688,0.051007778862459,0.0576061966484419,0.0445669644749565,0.355326631717422,0.243485577965487,0.300727376624657,0.284671945276946,5,FALSE
"29","1_89_1",0,0.0901353267797177,0.63927606433201,1.14858220371412,0.0510324615725029,0,0.0431151961762775,0.357168558734383,0.242096055480673,0.300730959630195,0.293890394693744,5,FALSE
"30","1_89_6",0,0.12875467351867,0.628719047704932,1.12746170204611,0.0515379274754081,0.693965608915066,0.985945041263498,0.91484240031163,0.573738112915058,0.404325137673165,0,2,FALSE
"31","1_90_18",0,0.126239494282679,0.613629635200932,1.16335226540507,0.0512007198895235,0.558810508074564,0.383516953210774,0.926161788523752,0.513394920233133,0.327435425147664,0,2,FALSE
"32","1_92_4",0,0.0646611996760996,0.649570732610478,1.14485776556741,0.0509887145389324,0.08054538511266,0.0754081898549028,0.310346432877429,0.242582858440619,0.188090974048242,0.253962699239047,5,FALSE
"33","1_92_9",0,0.131724742356591,0.624152369336873,1.1366242137945,0.0514731595121353,0.68522771134936,0.980620206197204,0.928657092609447,0.531644488922984,0.660789600684187,0,1,FALSE
"34","1_93_1",0,0.0728642228307053,0.647233169544389,1.10917302262968,0.0520892714862004,0.0472105445875084,0.0590322703361232,0.377395076844027,0.0994056193948946,0.0798956190896811,0.445203293665161,5,FALSE
"35","1_93_13",0,0.0384381756335851,0.679993882959948,1.08320191379991,0.0524040468881538,0.323278182270386,0.355011780158262,0.250709126157328,0.188471137569531,0.375129827809551,0.203776988404129,5,FALSE
"36","1_93_15",0,0.0788134094297264,0.64016573177936,1.14719258292691,0.0510253848059665,0.176136867549817,0.0382918726359944,0.377808418429335,0.230321781643526,0.298823263928728,0.292531518355677,5,FALSE
"37","1_94_2",0,0.126287229015843,0.615953614359935,1.14543012978022,0.0511743875802384,0.560014038522915,0.385138779327042,0.924073974693427,0.558190031022798,0.323310220085866,0,2,FALSE
"38","1_94_6",0,0.111890983829071,0.623822921090423,1.13138815338748,0.0520178235348259,1,0.599300737855998,0.872163911295903,0.492807287212802,0.179784490448522,0,2,FALSE
"39","1_95_5",0,0.0375384153946876,0.680986775370635,1.0833658390373,0.0524009775599915,0.321646881083014,0.354049738538262,0.242351507291956,0.186776196892432,0.375059137019249,0.207363407655272,5,TRUE
"40","1_96_10",0,0.0762530722462448,0.641994815128112,1.13373330374696,0.0512201336295601,0.0910558764151232,0.0672821908202646,0.359687378131807,0.280338470507996,0.258167859690387,0.233672752117054,5,FALSE
"41","1_97_5",0,0.126332848570751,0.612691710936856,1.16601806607703,0.0511815248514873,0.559969615512233,0.381973984392182,0.928485433926153,0.502746929986045,0.362411209493331,0,2,FALSE
"42","1_97_6",0,0.0664152589122455,0.645003350313701,1.13684688466205,0.0505277457928767,0.213180844243101,0.193913354534487,0.394375668404246,0.195504606951465,0.337260711690413,0.203646062024033,5,FALSE
"43","1_98_10",0,0.0749925356751809,0.636906463246446,1.1200216262843,0.0512003623334053,0.0474974000850717,0.13015852046264,0.31951176643415,0.192850245043328,0.310706338998477,0.363295841727065,5,FALSE
"44","1_98_16",0,0.125867583132029,0.614955278486881,1.17160986233147,0.0515939441007116,0.592211103460006,0.407292209163306,0.949294188567019,0.491345827419861,0.462978310942294,0,2,FALSE
"45","1_98_17",0,0.0305226213048521,0.7107981145245,1.17847307016748,0.0498577219844382,0.284433877019616,0.21416762013134,0.112224136857312,0.170463711309121,0.282836355009124,0.532751337344649,3,FALSE
"46","1_99_19",0,0.0162687212650495,0.815267800052858,1.18331269934614,0.0921972285874524,0.299461434660703,0.363883421123112,0.0994108975868878,0.251838948596401,0.254203527545013,0.541320411834497,3,FALSE
"47","1_99_8",0,0.0942278608390774,0.627685978682104,1.12005253292338,0.0522104800389649,0.339961275879397,0,0.247842888558615,0.102509419842591,0.335167196920862,0.123811928374429,5,FALSE
"48","3_100_4",0,0.0831905708640933,0.624796482775177,1.11463362719165,0.0528138025777477,0.839955125362447,0.570934989910249,0.676975662017283,0.509962252646793,0.958609977269661,0,1,FALSE
"49","3_101_15",0,0.0805439474424282,0.632830150605598,1.12154399749239,0.0531291012392627,0.858276711881629,0.555541718249073,0.642244382928259,0.461009879821956,0.954906959438578,0,1,FALSE
"50","3_102_19",0,0.0978036824154922,0.631208316090238,1.12715071917679,0.0533902160105622,0.694325609661808,0.602871150432054,0.745560525174498,0.633485509581898,0.864243641052558,0,1,FALSE
"51","3_103_19",0,0.0847115230910715,0.640316357707505,1.10211028410881,0.0518363444312653,0.589025486324434,0.461734921313858,0.636138434509178,0.504318945877329,0.408986291328743,0,2,FALSE
"52","3_104_11",0,0.131306144954245,0.630718204213501,1.17607194005639,0.0518363676324608,0.58922091097457,0.727520104664014,0.821674260171533,0.732832431817179,1,0,1,FALSE
"53","3_104_18",0,0.0794144231692017,0.632535130162675,1.09484228493422,0.0530084802546492,0.845734567404529,0.588735180839879,0.672116667049632,0.535023422369376,0.499198448242982,0,2,FALSE
"54","3_90_14",0,0.086033562661515,0.639081976615289,1.10976442321612,0.0522918744013106,0.867331769639319,0.497221187493212,0.667105527600437,0.415212149025028,0.705080905241546,0,1,FALSE
"55","3_92_6",0,0.0860916855603438,0.634294457254076,1.14347317166332,0.0523442467179683,0.8600462000888,0.489670703041908,0.664351912599844,0.430429193106045,0.714548538898629,0,1,FALSE
"56","3_95_9",0,0.0819179486008787,0.637166565580208,1.12493108418043,0.0524337008277913,0.865625310315984,0.570308712439717,0.670878263756725,0.506582663036064,0.954501098055761,0,1,FALSE
"57","4_106_17",0,0.119173929120025,0.628710643178382,1.14059001135144,0.0514973304635682,0.640767207149768,0.76303331072713,0.827242123056822,0.902206169521765,0.642650690815589,0,1,FALSE
"58","4_106_2",0,0.0345240180569287,0.721740338890452,1.11595634741891,0.0543398842963739,0.567280751163608,0.542367116625833,0.191967344966436,0.347356789239121,0.490174348264428,0,4,FALSE
"59","4_72_15",0,0.033221201511196,0.730619384308772,1.07896086530648,0.0553954338387127,0.446914567961461,0.473436779906872,0.163512896271202,0.349622413517918,0.374110641588518,0,4,FALSE
"60","4_77_10",0,0.0330810183702247,0.733709550223656,1.07637577972333,0.0557444171090677,0.437681696804939,0.453542929541567,0.165307758429574,0.353771174339622,0.356256970379005,0,4,TRUE
"61","4_79_2",0,0.0337048387003361,0.736376594520472,1.0754840942809,0.0557360121162917,0.465197381239169,0.452747405257259,0.164095580508263,0.339373312136319,0.356276672696508,0,4,FALSE
"62","4_95_8",0,0.0338413949892495,0.737406190779126,1.08747905317063,0.0558961678573288,0.470966455622743,0.467793187803686,0.148948277785357,0.274917864709119,0.433288167864452,0,4,FALSE
"63","4_96_13",0,0.0768601618064515,0.646496604805146,1.08048897980682,0.0524739074711524,0.655214990389053,0.679913209566756,0.60221231869838,0.346554109699469,0.470542049568605,0,2,TRUE
"64","4_97_8",0,0.0945302805255977,0.637177911503556,1.11904401511377,0.0515403084690533,0.765830846603543,0.656409564996821,0.751747925725718,1,0.546260419933743,0,1,FALSE
"65","4_98_18",0,0.0774775787347021,0.648611173199403,1.08957244951736,0.0521979812286478,0.686082807817944,0.686295356249405,0.622602026056232,0.388423019932269,0.417903011813069,0,2,FALSE
"66","4_98_5",0,0.0815071247910396,0.639058909758567,1.07608448693703,0.0527704198174437,0.61262598357971,0.683233803413463,0.607185070924726,0.356235885468711,0.457197316537444,0,2,FALSE
"67","5_100_1",0,0.0357253391294836,0.687284534322576,1.10081480456828,0.0524015414668223,0.649941695356705,0.482436489796229,0.197939987959508,0.597711703504417,0.699402423250206,0.0519229626220883,4,FALSE
"68","5_100_11",0,0.0986489190255561,0.632107583554612,1.1093343177557,0.0521002272702698,0.57539032358408,0.482861448323854,0.72114699600381,0.485553922222703,0.166291895377757,0,2,FALSE
"69","5_100_16",0,0.0348954716876894,0.677046903999781,1.08090467669539,0.0528083071845014,0.705020565105434,0.626958326003424,0.186649053061929,0.762997501218724,0.645471331550923,0,4,FALSE
"70","5_100_5",0,0.0623787806073382,0.654405715711864,1.06723908075649,0.0510288478395562,0.454930281361886,0.640918043204761,0.272615800447713,0.437819848979881,0.452229361691621,0,4,FALSE
"71","5_100_9",0,0.0332568436177352,0.674124391529055,1.08623134654457,0.0519867973944962,0.707444240531223,0.648886437494288,0.210512269548206,0.660337466132786,0.581909285219122,0,4,FALSE
"72","5_101_4",0,0.0548828559011212,0.647814423525584,1.07469964337608,0.0514651909506197,0.634527384617165,0.458260640789206,0.280244167614628,0.510104166525098,0.288124511860226,0,4,FALSE
"73","5_102_1",0,0.0333570992913223,0.674557555304394,1.08569346526205,0.0519924037198172,0.707467325745286,0.650106948069278,0.209466199469919,0.664372100432895,0.568162778912443,0,4,FALSE
"74","5_102_10",0,0.116670457968756,0.629547858812512,1.12107255900064,0.0511513166866029,0.422173140579475,0.351017546928077,0.772609282577928,0.480446760959798,0.35806817945418,0,2,FALSE
"75","5_102_14",0,0.0942493785212495,0.635647241257005,1.07918732395718,0.0522107563712381,0.576551189757064,0.36329264092007,0.600458165551719,0.652305041868753,0.120042522164355,0,2,FALSE
"76","5_102_15",0,0.0414523948143953,0.645667990984316,1.06140102215245,0.0515689794477567,0.426452751495018,0.458767294373107,0.222334029425563,0.517531940544558,0.303354268252306,0,4,FALSE
"77","5_102_2",0,0.0387609665903421,0.662884483055519,1.06973777124094,0.0520390589319936,0.583688849794203,0.571986242875177,0.258834126512375,0.492598131897608,0.519007286844587,0,4,FALSE
"78","5_102_3",0,0.096882837531939,0.630046128028159,1.11067771301423,0.0521123392251788,0.555463939680543,0.489391420051208,0.720645924795253,0.460636227546817,0.471618065638301,0,2,FALSE
"79","5_103_12",0,0.0374936462391851,0.674865304777078,1.08947201207609,0.0520605950366817,0.6457747276876,0.63810654359629,0.211724169751181,0.647966515673483,0.640678975502832,0,4,FALSE
"80","5_103_13",0,0.0375726511686411,0.663185238274599,1.07317857228267,0.0519591164336962,0.607194517451827,0.574513668641112,0.257372789000097,0.50009937187581,0.516787212997732,0,4,FALSE
"81","5_103_14",0,0.109892082126459,0.630513872058801,1.12974547888021,0.0512428211823935,0.488203878414824,0.548377740976023,0.754795756566411,0.417227043488978,0.52192414817703,0,2,FALSE
"82","5_103_16",0,0.0555788267201063,0.653895038101694,1.06110135809097,0.0521269686285329,0.637878518719073,0.453739116492535,0.283261342743722,0.40849486112609,0.328752952404304,0,4,FALSE
"83","5_103_9",0,0.10904458589777,0.632037098064906,1.06286288616989,0.0502899713546213,0.311336376503666,0.310742494067766,0.616647954523032,0.60339715732883,0,0,2,FALSE
"84","5_104_15",0,0.036558152167616,0.678307669114752,1.07764069135058,0.0532741958683642,0.607848337550644,0.508656804420211,0.212742492240186,0.572521395943212,0.478744808208496,0,4,FALSE
"85","5_104_8",0,0.0369174740920044,0.687662205756063,1.12552703296934,0.0512312047963491,0.770151257509408,0.623812846248096,0.156783675648294,0.478520281689144,0.594889887590295,0,4,FALSE
"86","5_104_9",0,0.0373010109941256,0.657672380725056,1.0670592483874,0.0522036757229804,0.67611157807737,0.656084973375242,0.248501623884701,0.436407898100783,0.522992132778074,0,4,FALSE
"87","5_105_1",0,0.120685335182769,0.629085214580198,1.10085883269536,0.0509451751215478,0.305933669838729,0.291411370643316,0.62747988262449,0.539147051711326,0.946400130373235,0.115730381205192,1,FALSE
"88","5_105_13",0,0.123502968921245,0.622771836521141,1.12953113318629,0.0514859090932534,0.407389343886237,0.361953497718284,0.806319357447416,0.468642162878925,0.423107751648547,0,2,FALSE
"89","5_105_16",0,0.0413696465671404,0.648540855196551,1.06011008508785,0.051799489928086,0.500877955639837,0.525988496507811,0.219974217476618,0.471051168226587,0.260853536371749,0,4,FALSE
"90","5_105_3",0,0.0533245069803526,0.659267569112645,1.0941716899466,0.0522858680427038,0.720149313652381,0.505755029231347,0.354147576739155,0.416412946695863,0.614794768960082,0,4,FALSE
"91","5_106_15",0,0.0366201768477693,0.676763518387294,1.0848211303269,0.0523030734992408,0.727530713484917,0.601077977487188,0.209242838985906,0.751834914669153,0.556037214245365,0,4,FALSE
"92","5_106_17",0,0.0967051013789068,0.636537860661986,1.12133670426437,0.0521051202920959,0.557518612301943,0.486769687767882,0.721346055592917,0.442614828421353,0.47561259712169,0,2,FALSE
"93","5_81_9",0,0.0295671098940678,0.697272745271617,1.11095252521324,0.0511281255594508,0.653546777894545,0.562509237293615,0.227220159686245,0.40804587982738,0.5764224140506,0.10238976951455,4,FALSE
"94","5_84_12",0,0.0342275404280692,0.696566011747302,1.108386035855,0.0510703413395054,0.563992148093832,0.434765325407461,0.234778846260196,0.454887725236286,0.480708326908894,0.125293102283521,4,FALSE
"95","5_84_5",0,0.0306471953072021,0.696939844230909,1.11294877568108,0.0523437368969994,0.64210235188007,0.494124039857811,0.208802690588306,0.619628831898335,0.613999151403763,0.282865661634436,4,FALSE
"96","5_87_5",0,0.036579677035294,0.688930065160029,1.11505566270041,0.0523878393258377,0.7328073549185,0.686716896345426,0.229611041915261,0.587598277439679,0.776646562514284,0,4,FALSE
"97","5_88_17",0,0.0420323285990344,0.658455802859,1.07178490157183,0.0518203847352176,0.633236503666282,0.503231335024941,0.240903569181018,0.461496497906612,0.43087849780041,0,4,FALSE
"98","5_90_10",0,0.0449124140695783,0.660389474047618,1.07704066659789,0.0513549269819828,0.595115244862607,0.676735653535326,0.242223132407424,0.5084658790307,0.408654733144541,0,4,FALSE
"99","5_90_11",0,0.0311246407533358,0.696378606885074,1.11345009749264,0.0523388956650146,0.641545554939509,0.49301067867398,0.21015944500568,0.614649667462131,0.632171357584656,0.281766467795189,4,FALSE
"100","5_91_14",0,0.0765806931379977,0.651844964086257,1.10950308360227,0.0524565454080722,0.586779277296069,0.502292663781659,0.414651834652771,0.207588113063135,0.984023716112877,0,1,FALSE
"101","5_91_19",0,0.034607770644457,0.701384729363736,1.1464506234793,0.0525871680941977,0.791052252840986,0.692593743755035,0.236694455238236,0.605031638826028,0.792254613093433,0,4,FALSE
"102","5_93_6",0,0.0762343559510479,0.653291893488489,1.10924320023213,0.0524480547242022,0.572575119357875,0.496459287100372,0.40647376068412,0.381897657539123,0.976297782057468,0,1,TRUE
"103","5_95_15",0,0.0378301963496068,0.662878753828533,1.06984588215005,0.0520391499848198,0.602465339900345,0.572149976617378,0.258882287449729,0.492053235039713,0.519066177220129,0,4,FALSE
"104","5_95_3",0,0.0345870272006832,0.701053330693137,1.146441404398,0.0525679167249189,0.793724656835522,0.690128123924474,0.237721962239182,0.602922095716872,0.79058695309284,0,4,FALSE
"105","5_97_18",0,0.0611615816713057,0.657068075811843,1.08939829584476,0.0516456984777673,0.574982472414166,0.687861958999593,0.380920009007634,0.356684113419172,0.547299293624492,0,4,FALSE
