"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","bing_ads_cost",1,3,28.3453612981974,0.143327270205278,"[27.28, 29.41]",27.2757269489438,29.4119950111788,0.202695369382217,0.0256733212222161
"2","bing_ads_cost",2,16,3.42178557389212,0.157696238489121,"[2.08, 4.77]",2.08014873854053,4.76912134545351,0.610754905427918,0.0394998224017052
"3","bing_ads_cost",3,39,2.74643499746728,0.196889695201186,"[0.26, 5.24]",0.257699113027271,5.23599106766823,1.21370959413848,0.074805163059777
"4","bing_ads_cost",4,7,3.8067769522378,0.971990923732423,"[0, 10.14]",0,10.1357133973196,2.38088179776092,0.150479565584256
"5","bing_ads_cost",5,32,6.82970348618837,0.71720834828742,"[0, 15.07]",0,15.0707755966739,3.99324708231888,0.232901714760724
"6","facebook_cost",1,3,1.50903358346662,0.00112896123532773,"[1.5, 1.52]",1.50056126954839,1.51738824062708,0.00159659229039396,0.000202223794540193
"7","facebook_cost",2,16,2.25046606315885,0.0285278887133875,"[2.01, 2.49]",2.00768106469273,2.49412710816417,0.110488037889408,0.00714567797222478
"8","facebook_cost",3,39,1.81535146090979,0.0192482165422455,"[1.57, 2.06]",1.57213031376784,2.05881521342972,0.118653975585197,0.00731305909931592
"9","facebook_cost",4,7,2.12851782664992,0.0494085238789783,"[1.81, 2.45]",1.81014438208619,2.4498780674482,0.121025672447615,0.00890691949754786
"10","facebook_cost",5,32,1.62497426508025,0.0311686725115689,"[1.27, 1.98]",1.26522654374563,1.98442684995116,0.173539824046633,0.0107705045888767
"11","google_ads_cost",1,3,1.9007089972578,0.00223591280516916,"[1.88, 1.92]",1.88418550324886,1.9175113951659,0.0031620582133539,0.000400505134785303
"12","google_ads_cost",2,16,2.22792795810872,0.0490841546370425,"[1.81, 2.65]",1.81164209804827,2.64860529081075,0.190102113471935,0.0122946204010743
"13","google_ads_cost",3,39,1.84793615203063,0.0165910418770227,"[1.64, 2.06]",1.63848509105332,2.05798419287831,0.102274050870563,0.00630350710672844
"14","google_ads_cost",4,7,2.22963696884595,0.0847318407852435,"[1.68, 2.78]",1.68130015076791,2.77839450853142,0.207549774890591,0.0152746859347949
"15","google_ads_cost",5,32,1.63191802585214,0.021599213904367,"[1.38, 1.88]",1.38204665455394,1.88043686504665,0.120259333441877,0.00746372603410575
"16","influencer_cost",1,3,1.63622677653706,0.00179155971130418,"[1.62, 1.65]",1.62299302992202,1.64969591617224,0.00253364804152759,0.000320910932659337
"17","influencer_cost",2,16,2.28425276124058,0.0233114626694839,"[2.09, 2.48]",2.08508678487028,2.48258443697592,0.0902849066946471,0.00583906530802965
"18","influencer_cost",3,39,1.86736245718927,0.0161637500164136,"[1.66, 2.07]",1.66336366529734,2.07205883129532,0.09964004694167,0.00614116424122541
"19","influencer_cost",4,7,1.91612436028397,0.0845491402007566,"[1.37, 2.46]",1.36680757104195,2.46153635078257,0.20710225168289,0.0152417503344081
"20","influencer_cost",5,32,1.48978521044502,0.0269683000689909,"[1.18, 1.8]",1.17829667455457,1.80057565227689,0.150153140050234,0.00931904300831094
"21","other_cost",1,3,0,0,"[0, 0]",0,0,0,0
"22","other_cost",2,16,0,0,"[0, 0]",0,0,0,0
"23","other_cost",3,39,0.00130173749158021,0.0013219145384556,"[0, 0.02]",0,0.0180190550964192,0.00814882849158397,0.000346633455349365
"24","other_cost",4,7,0,0,"[0, 0]",0,0,0,0
"25","other_cost",5,32,0,0,"[0, 0]",0,0,0,0
"26","tiktok_cost",1,3,1.88226085400587,0.0459483264951901,"[1.54, 2.22]",1.5369363842988,2.22178820812991,0.0649807464978448,0.00823043754370506
"27","tiktok_cost",2,16,2.1206221193229,0.0499978897055896,"[1.7, 2.55]",1.69567173862921,2.54821557296462,0.193640994175264,0.0125234931584439
"28","tiktok_cost",3,39,1.96958523691065,0.028125610186778,"[1.61, 2.33]",1.61494755810647,2.32609447094582,0.173377905277421,0.0106858860948908
"29","tiktok_cost",4,7,0.688346347550727,0.191672621111299,"[0, 1.93]",0,1.92570369720869,0.469500119384494,0.0289364033937139
"30","tiktok_cost",5,32,1.49528995452177,0.0305329962989759,"[1.14, 1.85]",1.14365773649557,1.84819015697145,0.170000528683859,0.0105508432105414
