"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","bing_ads_cost",1,14,1.13687005391244,0.152691619582889,"[0, 2.38]",0,2.37829694459221,0.550537463739747,0.0351451704249667
"2","bing_ads_cost",10,17,2.86679207456333,0.232607354029025,"[0.84, 4.91]",0.842543549122439,4.90879618619459,0.930429416116102,0.0598698128212561
"3","bing_ads_cost",11,8,1.99720698153523,0.152541269760025,"[0.97, 3.01]",0.974017716393888,3.01446080329537,0.403586264459044,0.0287637940991876
"4","bing_ads_cost",12,16,2.43290827309378,0.130152186296306,"[1.33, 3.55]",1.32841159923832,3.5477141459173,0.504077249998079,0.0326005762290418
"5","bing_ads_cost",13,12,4.63010958833364,0.244194776897139,"[2.78, 6.51]",2.78322094762696,6.50691596470481,0.809902450732356,0.053974746651945
"6","bing_ads_cost",2,11,2.61465553113801,0.0668870581714369,"[2.12, 3.11]",2.11686059409995,3.1054380104194,0.211515449809918,0.0142586698579726
"7","bing_ads_cost",3,17,1.89467272396421,0.0585435275738607,"[1.38, 2.41]",1.38460269772034,2.40801304678012,0.234174110295443,0.0150682683803098
"8","bing_ads_cost",4,9,7.58704568121167,0.198290405283737,"[6.21, 8.95]",6.20526295895687,8.94881392629051,0.560849960881437,0.0390429382737022
"9","bing_ads_cost",5,3,3.2199569366683,0.342019497475286,"[0.66, 5.76]",0.661357076558346,5.75909826755187,0.483688611925579,0.0612638223721685
"10","bing_ads_cost",6,4,2.95852068889547,0.0656658411763286,"[2.54, 3.38]",2.54316028852411,3.37907234306392,0.11373657323915,0.0107412646567486
"11","bing_ads_cost",7,7,3.70846667006675,0.493694144756263,"[0.5, 6.9]",0.503908823254762,6.89618185371754,1.20929874365258,0.0889986920986661
"12","bing_ads_cost",8,4,1.61919645171527,0.17759830610061,"[0.48, 2.74]",0.481621650404177,2.7424099427023,0.307609289504427,0.0290505744576463
"13","bing_ads_cost",9,10,1.67317489440587,0.111139127026687,"[0.88, 2.47]",0.881890508674157,2.47197334951599,0.333417381080061,0.0227971475050702
"14","cj_cost",1,14,9.3366318142348,0.172170555480928,"[7.94, 10.72]",7.93770427900494,10.7211372149984,0.620769765911603,0.0406562875537042
"15","cj_cost",10,17,33.1855594856782,1.29565360739606,"[21.89, 44.54]",21.8923688316972,44.5419317391058,5.18261442958424,0.33348274511694
"16","cj_cost",11,8,8.58574229920582,0.288122269563163,"[6.65, 10.51]",6.65488878638517,10.508908711861,0.762299872443645,0.0543294916198296
"17","cj_cost",12,16,9.75282321495795,0.555836054389064,"[5.07, 14.54]",5.06673056182448,14.544622606091,2.15274378187048,0.13922605664654
"18","cj_cost",13,12,36.64661169887,1.12042225765669,"[28.2, 45.29]",28.2006989138479,45.2858750624627,3.71602023541014,0.247648652721567
"19","cj_cost",2,11,8.839301758754,0.273565634329533,"[6.84, 10.88]",6.83859481707625,10.8818404818223,0.865090494030074,0.0583174409374367
"20","cj_cost",3,17,8.55661840822245,0.0792122225674872,"[7.86, 9.25]",7.86316738901774,9.24789105886009,0.316848890269949,0.0203880954584066
"21","cj_cost",4,9,36.2235593489117,0.804582487219829,"[30.72, 41.86]",30.7229909752266,41.8552142310773,2.27570293094832,0.158420496138862
"22","cj_cost",5,3,30.7503165207567,0.672472219328337,"[25.75, 35.77]",25.750216740178,35.7732983410058,0.951019332893269,0.120455760268831
"23","cj_cost",6,4,31.2128890324698,0.231308563242764,"[29.75, 32.69]",29.7471105432893,32.691618873179,0.400638183762227,0.0378362090647891
"24","cj_cost",7,7,30.8810257229221,1.15567809922823,"[23.44, 38.4]",23.4394975886755,38.4030332596126,2.83082165001871,0.208335141120954
"25","cj_cost",8,4,15.0715109455321,3.50101901522706,"[0, 37.44]",0,37.4370027466883,6.06394281263802,0.500655438100649
"26","cj_cost",9,10,19.2671731890902,2.01334740133462,"[4.92, 33.72]",4.91942117651397,33.7246605297702,6.04004220400386,0.412983068295595
"27","dm_cost",1,14,1.74049637600531,0.130902775165442,"[0.69, 2.8]",0.686518868006086,2.80278720895829,0.471976667959534,0.0309113300694068
"28","dm_cost",10,17,0.0808063470409069,0.0731575201799885,"[0, 0.72]",0,0.719906167129788,0.292630080719954,0.0131834982683808
"29","dm_cost",11,8,1.43830966935129,0.0746160700383165,"[0.94, 1.94]",0.940039643624157,1.93812917389328,0.197415565130363,0.0140699056619177
"30","dm_cost",12,16,0,0,"[0, 0]",0,0,0,0
"31","dm_cost",13,12,0,0,"[0, 0]",0,0,0,0
"32","dm_cost",2,11,0,0,"[0, 0]",0,0,0,0
"33","dm_cost",3,17,2.32071275177216,0.0480463196210857,"[1.9, 2.74]",1.90093201136204,2.74083870595637,0.192185278484343,0.0123664368844749
