"","bing_ads_cost_alphas","bing_ads_cost_gammas","bing_ads_cost_thetas","cj_cost_alphas","cj_cost_gammas","cj_cost_thetas","dm_cost_alphas","dm_cost_gammas","dm_cost_thetas","email_campaign_delivery_alphas","email_campaign_delivery_gammas","email_campaign_delivery_thetas","email_flow_delivery_alphas","email_flow_delivery_gammas","email_flow_delivery_thetas","facebook_cost_alphas","facebook_cost_gammas","facebook_cost_thetas","fig_cost_alphas","fig_cost_gammas","fig_cost_thetas","google_ads_cost_alphas","google_ads_cost_gammas","google_ads_cost_thetas","influencer_cost_alphas","influencer_cost_gammas","influencer_cost_thetas","linkby_cost_alphas","linkby_cost_gammas","linkby_cost_thetas","mntn_cost_alphas","mntn_cost_gammas","mntn_cost_thetas","organic_impressions_alphas","organic_impressions_gammas","organic_impressions_thetas","sms_cost_alphas","sms_cost_gammas","sms_cost_thetas","sms_sends_alphas","sms_sends_gammas","sms_sends_thetas","tatari_cost_alphas","tatari_cost_gammas","tatari_cost_thetas","tiktok_cost_alphas","tiktok_cost_gammas","tiktok_cost_thetas","tiktok_influencer_cost_alphas","tiktok_influencer_cost_gammas","tiktok_influencer_cost_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"12",2.838985,0.9657357,0.01649574,2.7882225,0.9971433,0.2974044,1.5467725,0.8641902,0.2208241,2.6049425,0.9779262,0.1028154,0.62716075,0.7690854,0.09234,0.61975225,0.36128465,0.0950916,0.7688475,0.3927164,0.198303,1.356005,0.5627758,0.1070901,1.90739,0.4535478,0.1830489,1.540215,0.5793679,0.0985638,1.9808375,0.5680811,0.4579555,0.935255,0.3782257,0.1808487,0.87528,0.9032992,0.02349102,2.5987375,0.7521846,0.01907925,1.0867625,0.7239361,0.517371,1.2073425,0.5231327,0.2874108,1.02135,0.36441463,0.1273932,0.7889378,0.855183579564089,0.920928630529883,0.439044841781734,0.0495481090887008,0.264424633834929,0.596474925971134,0.264424633834929,0.0285920522129153,0,373115.351829863,0.0101319,36469502.4741323,1e-04,0,0.071943998336792,131.300322055817,"1_91_4",1,91,4,1714,TRUE,TRUE,3,0.0456810364071191,2,FALSE
"13",2.776345,0.8713694,0.0884673,2.4944625,0.8924793,0.2545167,1.21377,0.85139,0.2277457,2.6069675,0.9778268,0.1015392,0.62706275,0.7921896,0.2084196,0.510578825,0.4166305,0.0319356,0.94127,0.5046016,0.092307,0.9496725,0.9774831,0.1057443,1.0011925,0.4861482,0.02817825,2.241275,0.5099531,0.1511295,2.34104,0.31746164,0.31927025,1.1462825,0.35309668,0.131943,1.0710775,0.6594108,0.2068503,2.552275,0.7173729,0.0498408,1.1883225,0.7293387,0.7471845,1.407595,0.6405227,0.2941407,1.9130875,0.3878248,0.1352016,0.7840976,0.862261806422881,0.936759483728388,0.359552578720721,0.0483220524466622,0.236477586702223,0.637338068199266,0.236477586702223,0.0408830884211546,0,274435.100196678,0.0074258,36469502.4741323,1e-04,0,0.0643670558929443,131.660448074341,"1_91_9",1,91,9,1719,TRUE,TRUE,3,0.0538395472515824,12,FALSE
"14",2.761425,0.874931,0.0810588,2.5201475,0.5671599,0.2210844,1.0104525,0.7887939,0.1923271,2.5763475,0.9796244,0.1020105,0.56623875,0.803279,0.1202688,0.5800995,0.3930503,0.0447834,0.51423615,0.4603875,0.1630104,0.897795,0.8275389,0.1135272,1.1940275,0.4698179,0.0722199,1.943915,0.6346014,0.1071237,2.24191,0.560267,0.4003155,0.9771675,0.4289701,0.1375527,1.4169325,0.8802762,0.0445227,2.470435,0.7373985,0.01603878,0.72582925,0.6991617,0.353197,0.9648275,0.4638875,0.2785593,0.63032625,0.35728233,0.1519353,0.7832795,0.866142810722835,0.938645985493649,0.443206980178836,0.0476364107805761,0.232923750095824,0.594257963172267,0.232923750095824,0.0604476699080342,0,241876.925750732,0.00653296,36469502.4741323,1e-04,0,0.0670821666717529,131.7338950634,"1_91_10",1,91,10,1720,TRUE,TRUE,4,0.0469480812595975,12,FALSE
"15",2.75757,0.9038676,0.1307733,1.9790825,0.8248796,0.2185491,1.32472,0.9342651,0.2054734,2.65603,0.9769665,0.1010637,0.59254725,0.7854472,0.0332784,0.63061175,0.34456949,0.108453,1.03661,0.3817236,0.2075778,1.0878,0.708492,0.1043751,1.6863975,0.4759303,0.1973673,1.3878325,0.6031952,0.090051,1.7333525,0.6239474,0.5207445,1.080505,0.4483629,0.1523103,1.6991525,0.8275599,0.2353419,1.4666075,0.7630906,0.0409791,1.9353275,0.7790625,0.485146,0.8740475,0.5197972,0.2389158,0.74489225,0.3892626,0.1216113,0.788519,0.870652305028579,0.941108791402314,0.444179925525498,0.0468271285755444,0.228200985154719,0.593738530187449,0.228200985154719,0.0591320029911528,0,196153.118826443,0.00527908,36469502.4741323,1e-04,0,0.0645151138305664,133.804078102112,"1_92_19",1,92,19,1748,TRUE,TRUE,3,0.0467343874727899,9,FALSE
"16",2.8534725,0.8739006,0.093183,2.9703975,0.7445147,0.2609817,0.7681725,0.8140359,0.1543123,2.5780425,0.9793136,0.1073187,0.6967585,0.714512,0.0688041,0.637116,0.33758139,0.1200033,1.128115,0.34711049,0.2321487,1.4372425,0.4135162,0.0969921,1.1124625,0.5170833,0.0726924,2.1321825,0.4861804,0.1904787,2.1804375,0.305302829,0.375098,1.565645,0.4327417,0.1336047,0.7392195,0.6228386,0.2169609,2.2907525,0.9819799,0.01194897,0.53496725,0.72973,0.7820135,0.7790175,0.7997867,0.2948052,1.8598475,0.3904134,0.1217976,0.7849055,0.880152835237511,0.945339973721287,0.420121266832691,0.0450746188537797,0.219850369267948,0.606452386922893,0.219850369267948,0.065604790323186,0,161568.172130481,0.00433066,36469502.4741323,1e-04,0,0.0660419464111328,135.344942092896,"1_94_1",1,94,1,1768,TRUE,TRUE,2,0.0496844184362556,8,FALSE
"17",2.8082225,0.7473854,0.2216604,2.1946875,0.7761561,0.2382747,1.3237025,0.8406212,0.1955944,2.5533375,0.9790756,0.1016076,0.7979775,0.6735284,0.1725312,0.67326125,0.4173886,0.00344157,0.8650925,0.4920912,0.0995724,0.751255,0.9341398,0.1320315,0.60406825,0.464143,0.0226575,2.04972,0.7376078,0.141825,2.2536275,0.6999695,0.509844,0.8831475,0.6307514,0.1136484,1.2675975,0.7001053,0.002778255,2.5205975,0.9343274,0.02845821,1.1734925,0.6962574,0.6781135,0.848345,0.6250807,0.2814264,1.74891,0.4056468,0.1372302,0.7848752,0.885331603572252,0.947303722526939,0.362284743009072,0.0440899950925235,0.215865008801156,0.635977165380666,0.215865008801156,0.0755708598159914,0,117439.746385362,0.00312053,36469502.4741323,1e-04,0,0.0654041767120361,135.493405103683,"1_94_3",1,94,3,1770,TRUE,TRUE,1,0.0561109727922343,12,FALSE
"18",2.8534725,0.8739006,0.093183,2.9703975,0.7445147,0.2609817,0.7681725,0.8140359,0.1543123,2.5780425,0.9793136,0.1073187,0.6967585,0.714512,0.0688041,0.637116,0.33758139,0.1200033,1.128115,0.34711049,0.2321487,1.4372425,0.3852957,0.0901599,1.08331,0.4249507,0.0349503,2.5116925,0.3968093,0.1722915,2.9314825,0.3713846,0.351184,1.39795,0.36241011,0.1647201,0.83815,0.6375603,0.2344347,2.3916725,0.9129249,0.00999753,0.5924515,0.7989894,0.7999055,1.37941,0.8671267,0.2954337,2.071535,0.3948675,0.1217976,0.7849055,0.881582103466116,0.942155111819242,0.266742004570172,0.0448050382169687,0.226164675779722,0.681956263568513,0.226164675779722,0.0607321674918693,0,161568.172130481,0.00433066,36469502.4741323,1e-04,0,0.0703139305114746,137.59569311142,"1_95_12",1,95,12,1798,TRUE,TRUE,3,0.0633700878730009,12,FALSE
"19",2.73886,0.8597627,0.09615,2.9291675,0.7048317,0.2705355,0.522834425,0.8321645,0.1395409,2.5969875,0.9790007,0.109404,0.699368,0.7608422,0.034167,0.6098955,0.31311436,0.1436319,1.06582,0.31034873,0.260274,1.6485625,0.31773373,0.0713616,1.0613375,0.5737749,0.0560745,2.48368,0.32349683,0.2595819,2.2950075,0.703284,0.375002,2.1266075,0.4592038,0.112515,1.531955,0.6654042,0.238194,2.7748,0.7892762,0.02873031,0.798105,0.7081532,0.6221725,1.37564,0.5790872,0.2684145,1.66703,0.4059254,0.1394658,0.7849235,0.87131312146468,0.93876503859974,0.300967719788106,0.0467073592992138,0.232697654367704,0.665850506771987,0.232697654367704,0.0430234504211202,0,234761.708020912,0.00633784,36469502.4741323,1e-04,0,0.0651290416717529,137.959248065948,"1_95_17",1,95,17,1803,TRUE,TRUE,1,0.0593682330142031,12,FALSE
"20",2.689115,0.8436725,0.1970829,2.2397125,0.6782163,0.2383653,1.049725,0.8829523,0.1545076,2.62973,0.9777603,0.1057773,0.759065,0.643504,0.0688041,0.637116,0.33758139,0.1200033,1.128115,0.34711049,0.2321487,1.4372425,0.4135162,0.0969921,1.1124625,0.5170833,0.0726924,2.1321825,0.4861804,0.1904787,2.1804375,0.305302829,0.375098,1.565645,0.4327417,0.1336047,0.7392195,0.6228386,0.2169609,2.2907525,0.9819799,0.01194897,0.53496725,0.72973,0.7820135,0.7790175,0.7997867,0.2948052,1.8598475,0.3904134,0.1217976,0.7849055,0.880662165565981,0.945926108779312,0.431460803861423,0.0449787370938137,0.218668433047952,0.600493519053392,0.218668433047952,0.0669316381938524,0,161568.172130481,0.00433066,36469502.4741323,1e-04,0,0.0659668445587158,139.871721029282,"1_97_4",1,97,4,1828,TRUE,TRUE,2,0.0487227727723458,8,FALSE
"21",2.75757,0.9038676,0.1307733,1.9790825,0.4295609,0.1534317,0.8356175,0.8753489,0.1649134,2.65946,0.9786003,0.1018359,0.65623425,0.7625936,0.0433848,0.677513,0.34909856,0.107772,1.2530625,0.4224342,0.1408689,1.059085,0.8519003,0.1009644,1.24469,0.5204783,0.1248057,1.1077625,0.7441507,0.1093509,1.59647,0.8563236,0.5029495,1.083605,0.7219481,0.1134,1.48459,0.8113276,0.1590843,1.559515,0.919738,0.0419139,1.6663425,0.6691947,0.683689,0.9520125,0.453167,0.2358339,1.83456,0.3785141,0.1216113,0.788519,0.87272914132575,0.942468076053718,0.417761391914275,0.0464496737536024,0.22555202481094,0.607685143529164,0.22555202481094,0.0625457366549154,0,196153.118826443,0.00527908,36469502.4741323,1e-04,0,0.0641279220581055,140.604813098907,"1_97_14",1,97,14,1838,TRUE,TRUE,3,0.049624630244634,9,FALSE
