"","solID","dep_var_type","channels","date_min","date_max","periods","constr_low","constr_low_abs","constr_up","constr_up_abs","unconstr_mult","constr_low_unb","constr_low_unb_abs","constr_up_unb","constr_up_unb_abs","histSpendAll","histSpendAllTotal","histSpendAllUnit","histSpendAllUnitTotal","histSpendAllShare","histSpendWindow","histSpendWindowTotal","histSpendWindowUnit","histSpendWindowUnitTotal","histSpendWindowShare","initSpendUnit","initSpendUnitTotal","initSpendShare","initSpendTotal","initResponseUnit","initResponseUnitTotal","initResponseMargUnit","initResponseTotal","initResponseUnitShare","initRoiUnit","initCpaUnit","total_budget_unit","total_budget_unit_delta","optmSpendUnit","optmSpendUnitDelta","optmSpendUnitTotal","optmSpendUnitTotalDelta","optmSpendShareUnit","optmSpendTotal","optmSpendUnitUnbound","optmSpendUnitDeltaUnbound","optmSpendUnitTotalUnbound","optmSpendUnitTotalDeltaUnbound","optmSpendShareUnitUnbound","optmSpendTotalUnbound","optmResponseUnit","optmResponseMargUnit","optmResponseUnitTotal","optmResponseTotal","optmResponseUnitShare","optmRoiUnit","optmCpaUnit","optmResponseUnitLift","optmResponseUnitUnbound","optmResponseMargUnitUnbound","optmResponseUnitTotalUnbound","optmResponseTotalUnbound","optmResponseUnitShareUnbound","optmRoiUnitUnbound","optmCpaUnitUnbound","optmResponseUnitLiftUnbound","optmResponseUnitTotalLift","optmResponseUnitTotalLiftUnbound"
"bing_ads_cost","5_94_2","revenue","bing_ads_cost",2023-04-30,2023-05-21,"4 weeks",0.7,1932.35,1.5,4140.75,3,0.0999999999999999,276.05,2.5,6901.25,649400,48313540,5195.2,386508.32,0.0134413665403115,11042,1108928,2760.5,277232,0.00995736422923761,2760.5,277232,0.00995736422923761,1108928,815.133602738747,455812.998650408,0.718433218389805,1823251.99460163,0.00178830705827221,0.295284768244429,3.38656140628366,277232,0,1932.35,-0.3,277231.999999994,-2.33146835171283e-14,0.00697015496046649,1108927.99999997,6901.25,1.5,277232.000000008,2.8421709430404e-14,0.0248934105730933,1108928.00000003,347.885444910408,0.420347257361186,524140.558267792,2096562.23307117,0.00066372548245478,0.180032315527937,5.55455834174851,-0.573216655844444,7591.57769149822,2.53822341028263,625067.279008709,2500269.11603484,0.0121452169173496,1.10002937025875,0.909066636797867,8.31329252774204,0.149902613176218,0.371323943940687
"cj_cost","5_94_2","revenue","cj_cost",2023-04-30,2023-05-21,"4 weeks",0.7,1250.2,1.5,2679,3,0.0999999999999999,178.6,2.5,4465,112323,48313540,898.584,386508.32,0.00232487621482508,7144,1108928,1786,277232,0.00644225774802332,1786,277232,0.00644225774802332,1108928,10852.2611050948,455812.998650408,13.4630334326357,1823251.99460163,0.023808581890439,6.07629401181119,0.164573998239089,277232,0,2679,0.5,277231.999999994,-2.33146835171283e-14,0.0096633866220352,1108927.99999997,4465,1.5,277232.000000008,2.8421709430404e-14,0.0161056443700578,1108928.00000003,26818.0986130128,22.2320656181691,524140.558267792,2096562.23307117,0.0511658527278306,10.0104884707028,0.099895225185729,1.47119916792479,78331.2756706717,33.3096002837119,625067.279008709,2500269.11603484,0.125316551195732,17.5433988064214,0.0570014973172683,6.21796821068908,0.149902613176218,0.371323943940687
"collab_spend","5_94_2","revenue","collab_spend",2023-04-30,2023-05-21,"4 weeks",0.7,15611.4,1.5,33453,3,0.0999999999999999,2230.2,2.5,55755,367470,48313540,2939.76,386508.32,0.00760594235073646,89208,1108928,22302,277232,0.0804452588445778,22302,277232,0.0804452588445778,1108928,43229.2938494684,455812.998650408,4.07620041300834,1823251.99460163,0.0948399759933649,1.93835951257593,0.515900168937741,277232,0,33453,0.5,277231.999999994,-2.33146835171283e-14,0.12066788826687,1108927.99999997,55755,1.5,277232.000000008,2.8421709430404e-14,0.201113147111439,1108928.00000003,90703.0848218391,4.09299632889451,524140.558267792,2096562.23307117,0.173051070731102,2.71135876668278,0.368818768024363,1.09818566867371,156777.865525103,1.87893095286563,625067.279008709,2500269.11603484,0.250817585226564,2.8119068339181,0.355630559283717,2.62665802663884,0.149902613176218,0.371323943940687
"dm_cost","5_94_2","revenue","dm_cost",2023-04-30,2023-05-21,"4 weeks",0.7,168,1.5,360,3,0.0999999999999999,24,2.5,600,30000,48313540,240,386508.32,0.000620943942422766,0,1108928,0,277232,0,0,277232,0,1108928,4.43576099880997e-55,455812.998650408,5.31589646066981e-05,1823251.99460163,9.73153686258087e-61,Inf,0,277232,0,168,Inf,277231.999999994,-2.33146835171283e-14,0.000605990650429979,1108927.99999997,24,Inf,277232.000000008,2.8421709430404e-14,8.65700929185639e-05,1108928.00000003,0.910822726101411,0.0103345652950056,524140.558267792,2096562.23307117,1.73774517490413e-06,0.00542156384584174,184.448625605873,2.05336294346284e+54,0.0224792289105923,0.00181562490083792,625067.279008709,2500269.11603484,3.59628949802684e-08,0.000936634537941348,1067.65228004289,5.06772770593886e+52,0.149902613176218,0.371323943940687
"facebook_cost","5_94_2","revenue","facebook_cost",2023-04-30,2023-05-21,"4 weeks",0.7,92918.875,1.5,199111.875,3,0.0999999999999999,13274.125,2.5,331853.125,31632918,48313540,253063.344,386508.32,0.654742293775203,530965,1108928,132741.25,277232,0.478809264442777,132741.25,277232,0.478809264442777,1108928,253020.68694511,455812.998650408,0.996490187419113,1823251.99460163,0.555097567849677,1.90611951405543,0.524626075451281,277232,0,108260.396100213,-0.184425368148838,277231.999999994,-2.33146835171283e-14,0.390504689574853,1108927.99999997,87457.5816008638,-0.341142398456668,277232.000000008,2.8421709430404e-14,0.315467123567486,1108928.00000003,227362.455917471,1.10312544420594,524140.558267792,2096562.23307117,0.433781458677556,2.10014431969203,0.476157752885594,-0.101407641159415,203310.23042124,1.21267441031523,625067.279008709,2500269.11603484,0.325261355455477,2.32467244920058,0.430168129855836,-0.196467953367996,0.149902613176218,0.371323943940687
"fig_cost","5_94_2","revenue","fig_cost",2023-04-30,2023-05-21,"4 weeks",0.7,1141.7,1.5,2446.5,3,0.0999999999999999,163.1,2.5,4077.5,28351,48313540,226.808,386508.32,0.000586812723720928,6524,1108928,1631,277232,0.00588315923125757,1631,277232,0.00588315923125757,1108928,0,455812.998650408,0,1823251.99460163,0,0,Inf,277232,0,0,-1,277231.999999994,-2.33146835171283e-14,0,1108927.99999997,0,-1,277232.000000008,2.8421709430404e-14,0,1108928.00000003,0,0,524140.558267792,2096562.23307117,0,NA,NA,NA,0,0,625067.279008709,2500269.11603484,0,NA,NA,NA,0.149902613176218,0.371323943940687
"google_ads_cost","5_94_2","revenue","google_ads_cost",2023-04-30,2023-05-21,"4 weeks",0.7,43852.9,1.5,93970.5,3,0.0999999999999999,6264.69999999999,2.5,156617.5,8621550,48313540,68972.4,386508.32,0.178449974893167,250588,1108928,62647,277232,0.225973192127893,62647,277232,0.225973192127893,1108928,87432.9671020482,455812.998650408,1.29384628777916,1823251.99460163,0.191817625563386,1.39564491678848,0.716514629165919,277232,0,85271.6498997805,0.361144985390849,277231.999999994,-2.33146835171283e-14,0.307582277297651,1108927.99999997,72321.5637534304,0.154429801162552,277232.000000008,2.8421709430404e-14,0.260870187256263,1108928.00000003,114552.679793293,1.10312367517326,524140.558267792,2096562.23307117,0.218553359373434,1.34338528605846,0.744388084623167,0.310177197344705,99560.1172002717,1.21267672073736,625067.279008709,2500269.11603484,0.159279041702781,1.37663114613654,0.726410994554686,0.138702259572973,0.149902613176218,0.371323943940687
"influencer_cost","5_94_2","revenue","influencer_cost",2023-04-30,2023-05-21,"4 weeks",0.7,10320.625,1.5,22115.625,3,0.0999999999999999,1474.375,2.5,36859.375,4018693,48313540,32149.544,386508.32,0.0831794358268924,58975,1108928,14743.75,277232,0.0531819919778381,14743.75,277232,0.0531819919778381,1108928,14157.6698111391,455812.998650408,1.34990787594506,1823251.99460163,0.0310602590383726,0.960248906223931,1.04139665613615,277232,0,22115.625,0.5,277231.999999994,-2.33146835171283e-14,0.0797729879667589,1108927.99999997,36859.375,1.5,277232.000000008,2.8421709430404e-14,0.132954979944591,1108928.00000003,24890.3485284463,1.53835845525828,524140.558267792,2096562.23307117,0.0474879269230858,1.1254643958037,0.88852211027599,0.758082287585411,48402.8330826815,1.59743765226449,625067.279008709,2500269.11603484,0.0774361972033527,1.313175632595,0.761512759739435,2.41884178175978,0.149902613176218,0.371323943940687
"linkby_cost","5_94_2","revenue","linkby_cost",2023-04-30,2023-05-21,"4 weeks",0.7,458.85,1.5,983.25,3,0.0999999999999999,65.5499999999999,2.5,1638.75,5208,48313540,41.664,386508.32,0.000107795868404592,2622,1108928,655.5,277232,0.00236444566283834,655.5,277232,0.00236444566283834,1108928,0,455812.998650408,0,1823251.99460163,0,0,Inf,277232,0,0,-1,277231.999999994,-2.33146835171283e-14,0,1108927.99999997,0,-1,277232.000000008,2.8421709430404e-14,0,1108928.00000003,0,0,524140.558267792,2096562.23307117,0,NA,NA,NA,0,0,625067.279008709,2500269.11603484,0,NA,NA,NA,0.149902613176218,0.371323943940687
"mntn_cost","5_94_2","revenue","mntn_cost",2023-04-30,2023-05-21,"4 weeks",0.7,541.3072,1.5,1159.944,3,0.0999999999999999,77.3295999999999,2.5,1933.24,96662,48313540,773.296,386508.32,0.00200072277874898,0,1108928,0,277232,0,0,277232,0,1108928,0,455812.998650408,0,1823251.99460163,0,NA,NA,277232,0,0,NA,277231.999999994,-2.33146835171283e-14,0,1108927.99999997,0,NA,277232.000000008,2.8421709430404e-14,0,1108928.00000003,0,0,524140.558267792,2096562.23307117,0,NA,NA,NA,0,0,625067.279008709,2500269.11603484,0,NA,NA,NA,0.149902613176218,0.371323943940687
