"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","collab_spend","facebook_cost","google_ads_cost","bing_ads_cost","tiktok_cost","influencer_cost","tiktok_influencer_cost","tatari_cost","mntn_cost","dm_cost","sms_cost","cj_cost","fig_cost","linkby_cost","cluster","top_sol"
"1","1_101_12",0,0.0915710000101259,0.226882084704545,0.779849645961296,0.0465727731482793,0,0.572434697595486,0.655315437246088,0.616708762026269,0.512425947036891,0.489595774157967,0,0,0,0,0,0.805221239096958,0,0,4,FALSE
"2","1_101_3",0,0.234034429734015,0.219028921315937,0.828493087945209,0.0428174536736264,0,0.900799505135018,0.360146980736008,0.467822445048363,0.740984359293237,0.287461447184696,0,0,0,0.841528633273306,0,0.929165509156404,0,0,4,FALSE
"3","1_102_11",0,0.102662932867508,0.219804386865365,0.816889148909454,0.0456343692735637,0,0.640531535608042,0.656653646528315,0.524891906674031,0.49411776109873,0.411016214942,0,0,0,0.654949800079785,0,0.950326877030637,0,0,4,FALSE
"4","1_103_18",0,0.115602806541683,0.225215457828968,0.797181817491353,0.0457308017441146,0,0.779469702487444,0.690197123892564,0.599039181057363,0.45861883489366,0.359352907151342,0,0,0,0.17436827715777,0,0.841612146978833,0,0,4,FALSE
"5","1_103_4",0,0.0880011003776215,0.228220120507745,0.761507813413903,0.0471246215670382,0,0.560376162580886,0.696393436595434,0.70342456913975,0.408965601152058,0.449453498299987,0,0,0,0,0,0.834462406626039,0,0,4,FALSE
"6","1_103_9",0,0.0879561025785044,0.222973410566387,0.778551403081833,0.0456424254978599,0,0.463027121093616,0.75862468845373,0.494212005163559,0.488907352653172,0.407144489547197,0,0,0,0.0428838400074106,0,0.817872365371885,0,0,4,FALSE
"7","1_104_1",0,0.0745965048834101,0.219862666594265,0.726036420011951,0.0461694813998922,0,0.503019245111272,0.764899886294532,0.611134223174935,0.388826446535735,0.519097811655414,0,0,0,0,0.178123247839699,0.838725914271472,0,0,4,FALSE
"8","1_104_11",0,0.0794916874728006,0.21945707856721,0.724424078515113,0.0473504291378451,0,0.465248026825382,0.757763102028987,0.685208396043244,0.455574627325164,0.519089369374347,0,0,0,0,0.0728744264591999,0.81142332346755,0,0,4,FALSE
"9","1_104_3",0,0.105379669837275,0.226491002475773,0.795474790262869,0.0450414073978443,0,0.661440844532538,0.664379719285256,0.595579125233626,0.463245550008984,0.381508639636266,0,0,0,0.459260095214985,0,0.851285198890072,0,0,4,FALSE
"10","1_105_1",0,0.0936558347985561,0.225556660106597,0.797990013594427,0.0447614894392261,0,0.456332259865924,0.691932293262759,0.381923223406865,0.551154879630475,0.356212476799532,0,0,0,0.348059469759248,0,0.826849217291712,0,0,4,FALSE
"11","1_105_12",0,0.0862561616304733,0.221461817248536,0.767061538670255,0.0451474095504182,0,0.596721344388657,0.725740449212497,0.663682098248532,0.454244762110777,0.421325869667691,0,0,0,0,0.116830680198852,0.888041068178025,0,0,4,FALSE
"12","1_105_14",0,0.0904939489161635,0.226970014856016,0.784932219217731,0.0467916270482778,0,0.669422725768624,0.743117194135725,0.681792197256182,0.408476646782847,0.45162984888975,0,0,0,0.0306019458045464,0,0.872068428371632,0,0,4,FALSE
