"","bing_ads_cost_alphas","bing_ads_cost_gammas","bing_ads_cost_thetas","cj_cost_alphas","cj_cost_gammas","cj_cost_thetas","collab_spend_alphas","collab_spend_gammas","collab_spend_thetas","dm_cost_alphas","dm_cost_gammas","dm_cost_thetas","email_campaign_delivery_alphas","email_campaign_delivery_gammas","email_campaign_delivery_thetas","email_flow_delivery_alphas","email_flow_delivery_gammas","email_flow_delivery_thetas","facebook_cost_alphas","facebook_cost_gammas","facebook_cost_thetas","fig_cost_alphas","fig_cost_gammas","fig_cost_thetas","google_ads_cost_alphas","google_ads_cost_gammas","google_ads_cost_thetas","influencer_cost_alphas","influencer_cost_gammas","influencer_cost_thetas","linkby_cost_alphas","linkby_cost_gammas","linkby_cost_thetas","mntn_cost_alphas","mntn_cost_gammas","mntn_cost_thetas","organic_impressions_alphas","organic_impressions_gammas","organic_impressions_thetas","sms_cost_alphas","sms_cost_gammas","sms_cost_thetas","sms_sends_alphas","sms_sends_gammas","sms_sends_thetas","tatari_cost_alphas","tatari_cost_gammas","tatari_cost_thetas","tiktok_cost_alphas","tiktok_cost_gammas","tiktok_cost_thetas","tiktok_influencer_cost_alphas","tiktok_influencer_cost_gammas","tiktok_influencer_cost_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"81",2.671375,0.7653705,0.2545968,2.4343675,0.7178839,0.2456016,2.81117,0.441274,0.2393187,1.8985875,0.8569039,0.3057538,2.118175,0.7694284,0.1283802,0.56837625,0.4499099,0.1521633,0.8564125,0.35365738,0.2799666,2.21103,0.7043207,0.0559926,0.9873075,0.7920475,0.2522763,1.37335,0.8305146,0.1236957,2.9545875,0.4771238,0.0663951,1.6849225,0.6014599,0.703392,2.9473175,0.6181759,0.0231333,2.404345,0.5356186,0.251883,1.9952175,0.5165009,0.0625869,2.694165,0.7369337,0.5470225,0.997175,0.6471776,0.1674633,1.392065,0.9585824,0.0373422,0.7738436,0.848832810745679,0.903529447914987,0.458675799327539,0.0498387783378807,0.296154470469211,0.601414308152313,0.296154470469211,0.0381719364922918,0,328686.812093782,0.00891354,36469502.4741323,1e-04,0,0.0653951168060303,141.828240156174,"5_97_11",5,97,11,1835,TRUE,TRUE,3,0.0471484235233323,NA,NA
"82",2.83459,0.7346944,0.2568582,2.49945,0.7104632,0.2563071,2.9163975,0.7888198,0.0526374,2.881385,0.306503175,0.3468217,2.9610975,0.9626116,0.1622814,0.57961775,0.4773471,0.1859211,0.87918,0.34524331,0.2744301,2.26562,0.702829,0.0581082,1.6527575,0.303891846,0.0667674,1.8162625,0.31056664,0.2585337,2.800745,0.5765329,0.1300176,2.2159925,0.4765757,0.6371065,2.1274525,0.7381524,0.1001169,2.59446,0.5985318,0.2200164,2.0291875,0.5157589,0.01804638,2.614205,0.7958618,0.5763945,1.1974775,0.5778797,0.1374648,1.16776,0.8793263,0.00783678,0.7854002,0.868223638389428,0.939411094319796,0.659723898738902,0.0469353286491809,0.229853839045112,0.46132476505804,0.229853839045112,0.0427864687894194,0,184501.184010897,0.00495955,36469502.4741323,1e-04,0,0.0641701221466064,142.349286079407,"5_97_18",5,97,18,1842,TRUE,TRUE,3,0.0205419391736482,7,TRUE
"83",2.7732175,0.89206,0.2575521,2.36503,0.6443482,0.2471328,2.131375,0.4424297,0.1440096,2.223025,0.6038588,0.3548329,2.506785,0.9092478,0.1769946,0.5779345,0.4848126,0.1276797,0.8188575,0.434393,0.2764113,1.776715,0.6884902,0.0538176,1.7105375,0.3886879,0.0564093,1.96819,0.40647,0.2730747,2.719415,0.6131926,0.1371213,2.180415,0.5684311,0.6248035,1.864725,0.78615,0.118008,2.6186725,0.6058195,0.1900599,2.0581875,0.5156574,0.01119954,2.5770075,0.7970035,0.578323,0.962785,0.6328311,0.1556382,1.278505,0.8796434,0.00522369,0.7878959,0.868340210269731,0.937274301650867,0.497258504928884,0.0469145641129824,0.233871854845445,0.560742419627279,0.233871854845445,0.0436822235392541,0,179701.183448288,0.00482792,36469502.4741323,1e-04,0,0.0673470497131348,142.617817163467,"5_98_2",5,98,2,1845,TRUE,TRUE,5,0.0394727692351656,5,FALSE
"84",2.8926325,0.5809205,0.225684,2.8756275,0.6218796,0.2135898,2.0918875,0.3797643,0.1848315,1.2038675,0.953765,0.2372581,1.517485,0.9080508,0.1418772,0.58758125,0.373255,0.037881,0.79006,0.4895957,0.2822646,1.7248175,0.6861088,0.0444078,1.689875,0.4597386,0.0738879,1.520295,0.7003202,0.2074848,2.54641,0.5557674,0.1348635,2.1090975,0.3960232,0.562809,2.342485,0.6674083,0.1125105,2.11177,0.4879472,0.1917417,2.114,0.5206869,0.000524829,2.3164925,0.7308185,0.5276775,1.0415575,0.6606533,0.1577739,1.3144525,0.8875716,0.01435257,0.7860824,0.866023897913183,0.926828460004038,0.480021919256317,0.0473254526103116,0.252595904748734,0.570273989301283,0.252595904748734,0.0401215041994418,0,221663.172716732,0.00597864,36469502.4741323,1e-04,0,0.0697510242462158,142.693865060806,"5_98_3",5,98,3,1846,TRUE,TRUE,6,0.0412236675876603,6,FALSE
"85",2.9025725,0.6135202,0.2490762,2.6151925,0.6704708,0.2924196,2.52131,0.6030517,0.1071075,2.167495,0.5997953,0.3632521,2.541075,0.986728,0.1546806,0.57557025,0.3926268,0.0949911,0.814585,0.4319234,0.275985,1.8249175,0.6912587,0.0614241,1.518115,0.3827932,0.0838854,2.1311825,0.3803782,0.2740191,2.911295,0.6058832,0.1099068,2.0262025,0.7460568,0.717689,1.904575,0.7706807,0.02330418,2.9725075,0.6020738,0.2038956,2.0583725,0.5123415,0.02453778,2.64517,0.7849229,0.634361,1.0427425,0.5831108,0.1286289,1.1486325,0.8983649,0.00586473,0.7826711,0.868538566859568,0.936475952267723,0.581984209339062,0.0468792104161124,0.23535546609552,0.511313652585999,0.23535546609552,0.0421647316649877,0,181421.642511904,0.0048751,36469502.4741323,1e-04,0,0.0658960342407227,142.765854120255,"5_98_4",5,98,4,1847,TRUE,TRUE,5,0.0300198312831259,6,FALSE
"86",2.8286125,0.7283958,0.2556939,2.5111175,0.7097044,0.2526324,2.92812,0.7026379,0.1524948,1.561235,0.7962951,0.3181351,1.95851,0.9112925,0.1310454,0.5745885,0.4367912,0.1147929,0.854635,0.34800264,0.2762064,2.10947,0.6975741,0.0584409,1.6515825,0.30902125,0.0642126,1.745455,0.32416792,0.264264,2.781795,0.563921,0.1318074,2.2108575,0.4768214,0.6398775,2.16069,0.73512,0.0977595,2.5902125,0.5966327,0.2203386,2.02856,0.5159535,0.02784591,2.6345625,0.79252,0.563095,1.194905,0.5831157,0.1441203,1.2201775,0.8813591,0.00880572,0.785357,0.868339117849675,0.937224324634509,0.599476285879134,0.0469147587445571,0.233965005584203,0.500501245472389,0.233965005584203,0.0400804532847787,0,189964.13382693,0.00510936,36469502.4741323,1e-04,0,0.0616190433502197,143.046597003937,"5_98_8",5,98,8,1851,TRUE,TRUE,4,0.0279104340512371,7,FALSE
"87",2.7578525,0.8769848,0.2144814,2.95992,0.5562532,0.1359438,1.801545,0.3768789,0.103719,0.621787,0.8523042,0.2186626,1.3015075,0.927088,0.1464945,0.58589125,0.31320053,0.02994786,0.7616025,0.35890773,0.2746131,1.4412925,0.6771173,0.0604959,2.04888,0.5317098,0.2598048,0.811605,0.8471606,0.1844811,2.8648075,0.32018296,0.056103,1.7988275,0.5109723,0.58308,2.34695,0.5135868,0.2084907,1.88808,0.7065908,0.2323437,2.358495,0.5271955,0.01181637,1.834845,0.6635688,0.4518515,0.863145,0.7654062,0.1736844,1.190145,0.8442941,0.00999537,0.7894334,0.881979383819841,0.944319726396325,0.348724676618192,0.0444181069954101,0.220346363657684,0.63822433096709,0.220346363657684,0.243078085732411,0,81372.0980037977,0.00213145,36469502.4741323,1e-04,0,0.0739519596099854,143.347609996796,"5_98_12",5,98,12,1855,TRUE,TRUE,5,0.0841633259456768,2,FALSE
"88",2.86044,0.6093594,0.2485908,2.5502325,0.6212727,0.2303457,2.2187925,0.34777199,0.1190469,1.15433,0.7667537,0.3325249,2.26564,0.9328567,0.1387689,0.5504325,0.3540127,0.0520293,0.7981975,0.4211644,0.2799087,1.898395,0.692623,0.0544893,1.5566175,0.3922565,0.0964833,1.7680825,0.4099945,0.2496198,2.661265,0.6182676,0.1457022,2.264425,0.5982567,0.608405,1.79323,0.8096098,0.0522222,2.582465,0.5625084,0.1870872,1.916465,0.5141034,0.02250549,2.59031,0.7792564,0.541253,1.0399075,0.6383625,0.1544736,1.1992725,0.881343,0.00573918,0.7893185,0.868264389729257,0.937459155453531,0.478195501970661,0.0469280708018732,0.233526988217289,0.57127465192288,0.233526988217289,0.0481525444055005,0,180399.139923015,0.00484706,36469502.4741323,1e-04,0,0.062222957611084,143.499952077866,"5_98_14",5,98,14,1857,TRUE,TRUE,5,0.0416025764079895,5,FALSE
"89",2.95083,0.7387138,0.234264,2.8964375,0.6128342,0.2249025,2.24118,0.6913203,0.050373,1.9960425,0.32942625,0.3288844,2.532095,0.9009899,0.1788243,0.59569,0.3873502,0.0942615,0.8082075,0.4751981,0.2689737,2.01818,0.6959802,0.0594594,1.39169,0.4519399,0.1231746,1.6606175,0.4657446,0.2045571,2.83327,0.5152878,0.1045188,1.933095,0.5840271,0.665043,2.0820325,0.6660377,0.1097541,2.479515,0.5814343,0.2124093,2.143155,0.5174802,0.01591314,2.41742,0.7373005,0.5520845,0.9839625,0.6479973,0.1579161,1.217955,0.8825148,0.00377844,0.7840694,0.871206561907952,0.937308751887336,0.585054523724969,0.0464010678584927,0.233807622421748,0.509432399484699,0.233807622421748,0.0460391130508802,0,168761.791449677,0.00452793,36469502.4741323,1e-04,0,0.0700919628143311,143.647221088409,"5_98_16",5,98,16,1859,TRUE,TRUE,5,0.0297877728448141,6,FALSE
"90",2.8009075,0.629994,0.2434539,2.631995,0.649972,0.2232387,2.5996975,0.3732214,0.1225107,1.611715,0.7740442,0.3079048,1.9170525,0.9299832,0.1367289,0.59950975,0.36776091,0.0546129,0.8241075,0.4188229,0.2801262,1.9049575,0.6926118,0.0532395,1.561615,0.3875028,0.0947157,1.77082,0.3984228,0.2400393,2.6674325,0.6181738,0.1406079,2.181745,0.5511138,0.6204355,1.825815,0.8143621,0.1281105,2.5906075,0.6158981,0.1755102,2.0358375,0.5170273,0.0147807,2.5683275,0.785156,0.4742595,0.89155,0.7392136,0.1698945,1.1997575,0.850515,0.00415962,0.7888082,0.869789184184218,0.936209699743288,0.495448687029734,0.0466556921826804,0.235848180780318,0.561750820551546,0.235848180780318,0.0404264023029807,0,174457.758082508,0.00468413,36469502.4741323,1e-04,0,0.0658149719238281,143.96943116188,"5_99_1",5,99,1,1863,TRUE,TRUE,5,0.039601367609153,5,FALSE
