"","solID","dep_var_type","channels","date_min","date_max","periods","constr_low","constr_low_abs","constr_up","constr_up_abs","unconstr_mult","constr_low_unb","constr_low_unb_abs","constr_up_unb","constr_up_unb_abs","histSpendAll","histSpendAllTotal","histSpendAllUnit","histSpendAllUnitTotal","histSpendAllShare","histSpendWindow","histSpendWindowTotal","histSpendWindowUnit","histSpendWindowUnitTotal","histSpendWindowShare","initSpendUnit","initSpendUnitTotal","initSpendShare","initSpendTotal","initResponseUnit","initResponseUnitTotal","initResponseMargUnit","initResponseTotal","initResponseUnitShare","initRoiUnit","initCpaUnit","total_budget_unit","total_budget_unit_delta","optmSpendUnit","optmSpendUnitDelta","optmSpendUnitTotal","optmSpendUnitTotalDelta","optmSpendShareUnit","optmSpendTotal","optmSpendUnitUnbound","optmSpendUnitDeltaUnbound","optmSpendUnitTotalUnbound","optmSpendUnitTotalDeltaUnbound","optmSpendShareUnitUnbound","optmSpendTotalUnbound","optmResponseUnit","optmResponseMargUnit","optmResponseUnitTotal","optmResponseTotal","optmResponseUnitShare","optmRoiUnit","optmCpaUnit","optmResponseUnitLift","optmResponseUnitUnbound","optmResponseMargUnitUnbound","optmResponseUnitTotalUnbound","optmResponseTotalUnbound","optmResponseUnitShareUnbound","optmRoiUnitUnbound","optmCpaUnitUnbound","optmResponseUnitLiftUnbound","optmResponseUnitTotalLift","optmResponseUnitTotalLiftUnbound"
"fb_adv","5_77_5","revenue","fb_adv",2023-09-25,2023-10-24,"30 days",0.1,946.215833333333,Inf,Inf,3,0.1,946.215833333333,Inf,Inf,2460295.87,15867867.612001,5234.67206382979,33761.420451066,0.155048928448285,283864.75,875045.69,9462.15833333333,29168.1896666667,0.324399917906001,9462.15833333333,29168.1896666667,0.324399917906001,875045.69,1063.34022849518,14515.1668749293,0.18595284124649,435455.00624788,0.0732571824807459,0.112378190158712,8.89852380241839,29168.1896666667,0,946.215833333333,-0.9,2916.81896666667,-0.9,0.324399917906001,87504.569,946.215833333333,-0.9,2916.81896666667,-0.9,0.324399917906001,87504.569,38.6022558342788,0.0380186918891425,607.312904740458,18219.3871422137,0.0635623836295326,0.0407964594064026,24.5119310486797,-0.963697173491773,38.6022558342788,0.0380186918891425,607.312904740458,18219.3871422137,0.0635623836295326,0.0407964594064026,24.5119310486797,-0.963697173491773,-0.958160115555446,-0.958160115555446
"fb_awareness","5_77_5","revenue","fb_awareness",2023-09-25,2023-10-24,"30 days",0.1,314.433833333333,Inf,Inf,3,0.1,314.433833333333,Inf,Inf,4327114.51,15867867.612001,9206.62661702128,33761.420451066,0.272696660685987,94330.15,875045.69,3144.33833333333,29168.1896666667,0.107800256692882,3144.33833333333,29168.1896666667,0.107800256692882,875045.69,4161.870350791,14515.1668749293,1.54543300163641,435455.00624788,0.286725628899203,1.32360767499818,0.755510880519314,29168.1896666667,0,314.433833333333,-0.9,2916.81896666667,-0.9,0.107800256692882,87504.569,314.433833333333,-0.9,2916.81896666667,-0.9,0.107800256692882,87504.569,325.785175531239,0.955536059291433,607.312904740458,18219.3871422137,0.536437103490279,1.03610089308002,0.9651569713711,-0.921721450196227,325.785175531239,0.955536059291433,607.312904740458,18219.3871422137,0.536437103490279,1.03610089308002,0.9651569713711,-0.921721450196227,-0.958160115555446,-0.958160115555446
"fb_consideration","5_77_5","revenue","fb_consideration",2023-09-25,2023-10-24,"30 days",0.1,93.9742,Inf,Inf,3,0.1,93.9742,Inf,Inf,1107718.01,15867867.612001,2356.84682978723,33761.420451066,0.0698088764719857,28192.26,875045.69,939.742,29168.1896666667,0.032218043380112,939.742,29168.1896666667,0.032218043380112,875045.69,354.686808467662,14515.1668749293,0.454648371231542,435455.00624788,0.0244355997780693,0.377429984471974,2.64949802914838,29168.1896666667,0,93.9742,-0.9,2916.81896666667,-0.9,0.032218043380112,87504.569,93.9742,-0.9,2916.81896666667,-0.9,0.032218043380112,87504.569,48.5975008181775,0.241947411447306,607.312904740458,18219.3871422137,0.0800205305022229,0.517136627054846,1.93372495329739,-0.862984752581774,48.5975008181775,0.241947411447306,607.312904740458,18219.3871422137,0.0800205305022229,0.517136627054846,1.93372495329739,-0.862984752581774,-0.958160115555446,-0.958160115555446
"fb_intent","5_77_5","revenue","fb_intent",2023-09-25,2023-10-24,"30 days",0.1,87.495,Inf,Inf,3,0.1,87.495,Inf,Inf,566961.5,15867867.612001,1206.30106382979,33761.420451066,0.0357301632370062,26248.5,875045.69,874.95,29168.1896666667,0.0299967193713051,874.95,29168.1896666667,0.0299967193713051,875045.69,1048.46570640709,14515.1668749293,1.54548926021448,435455.00624788,0.0722324252584384,1.19831499675078,0.834505119865387,29168.1896666667,0,87.495,-0.9,2916.81896666667,-0.9,0.0299967193713051,87504.569,87.495,-0.9,2916.81896666667,-0.9,0.0299967193713051,87504.569,94.5056682099573,0.728629213639493,607.312904740458,18219.3871422137,0.155612810912268,1.08012650105672,0.925817484361021,-0.909862890476588,94.5056682099573,0.728629213639493,607.312904740458,18219.3871422137,0.155612810912268,1.08012650105672,0.925817484361021,-0.909862890476588,-0.958160115555446,-0.958160115555446
"fb_loyalty","5_77_5","revenue","fb_loyalty",2023-09-25,2023-10-24,"30 days",0.1,72.7856,Inf,Inf,3,0.1,72.7856,Inf,Inf,254732.19,15867867.612001,541.983382978723,33761.420451066,0.0160533347157084,21835.68,875045.69,727.856,29168.1896666667,0.0249537598431003,727.856,29168.1896666667,0.0249537598431003,875045.69,37.9872108412768,14515.1668749293,0.0666953889889541,435455.00624788,0.00261707021135861,0.0521905580791761,19.1605538780203,29168.1896666667,0,72.7856,-0.9,2916.81896666667,-0.9,0.0249537598431003,87504.569,72.7856,-0.9,2916.81896666667,-0.9,0.0249537598431003,87504.569,2.25818530149535,0.0321279273909822,607.312904740458,18219.3871422137,0.00371832260416138,0.0310251657126595,32.2318987515338,-0.940554064078808,2.25818530149535,0.0321279273909822,607.312904740458,18219.3871422137,0.00371832260416138,0.0310251657126595,32.2318987515338,-0.940554064078808,-0.958160115555446,-0.958160115555446
"ga_brand","5_77_5","revenue","ga_brand",2023-09-25,2023-10-24,"30 days",0.1,206.967333333333,Inf,Inf,3,0.1,206.967333333333,Inf,Inf,1273830.33,15867867.612001,2710.27729787234,33761.420451066,0.0802773479806821,62090.2,875045.69,2069.67333333333,29168.1896666667,0.0709565234245083,2069.67333333333,29168.1896666667,0.0709565234245083,875045.69,168.935514445395,14515.1668749293,0.119726602672131,435455.00624788,0.0116385513098841,0.081624240755576,12.2512625017181,29168.1896666667,0,206.967333333333,-0.9,2916.81896666667,-0.9,0.0709565234245083,87504.569,206.967333333333,-0.9,2916.81896666667,-0.9,0.0709565234245083,87504.569,28.8027380545427,0.0378380294666414,607.312904740458,18219.3871422137,0.04742652071069,0.139165623824095,7.18568258828057,-0.829504541131566,28.8027380545427,0.0378380294666414,607.312904740458,18219.3871422137,0.04742652071069,0.139165623824095,7.18568258828057,-0.829504541131566,-0.958160115555446,-0.958160115555446
"ga_nonbrand","5_77_5","revenue","ga_nonbrand",2023-09-25,2023-10-24,"30 days",0.1,70.2865666666667,Inf,Inf,3,0.1,70.2865666666667,Inf,Inf,354349.89,15867867.612001,753.935936170213,33761.420451066,0.0223312860092179,21085.97,875045.69,702.865666666667,29168.1896666667,0.0240969931524376,702.865666666667,29168.1896666667,0.0240969931524376,875045.69,55.5192425374139,14515.1668749293,0.140994131726266,435455.00624788,0.00382491245300851,0.0789898342889806,12.6598569170502,29168.1896666667,0,70.2865666666667,-0.9,2916.81896666667,-0.9,0.0240969931524376,87504.569,70.2865666666667,-0.9,2916.81896666667,-0.9,0.0240969931524376,87504.569,5.3150803653229,0.0303897228679508,607.312904740458,18219.3871422137,0.00875179882369593,0.075620145034678,13.2239894480686,-0.904265978381439,5.3150803653229,0.0303897228679508,607.312904740458,18219.3871422137,0.00875179882369593,0.075620145034678,13.2239894480686,-0.904265978381439,-0.958160115555446,-0.958160115555446
"ga_other","5_77_5","revenue","ga_other",2023-09-25,2023-10-24,"30 days",0.1,82.2432,Inf,Inf,3,0.1,82.2432,Inf,Inf,319923.02,15867867.612001,680.687276595745,33761.420451066,0.0201616895113266,24672.96,875045.69,822.432,29168.1896666667,0.0281961962466211,822.432,29168.1896666667,0.0281961962466211,875045.69,13.6063691500708,14515.1668749293,0.04224546206542,435455.00624788,0.000937389784582622,0.0165440658316685,60.444633754165,29168.1896666667,0,82.2432,-0.9,2916.81896666667,-0.9,0.0281961962466211,87504.569,82.2432,-0.9,2916.81896666667,-0.9,0.0281961962466211,87504.569,0.098019692649626,0.00182849827731561,607.312904740458,18219.3871422137,0.000161398995286484,0.00119182732006568,839.047723746498,-0.992796043414042,0.098019692649626,0.00182849827731561,607.312904740458,18219.3871422137,0.000161398995286484,0.00119182732006568,839.047723746498,-0.992796043414042,-0.958160115555446,-0.958160115555446
"ga_shoppmax","5_77_5","revenue","ga_shoppmax",2023-09-25,2023-10-24,"30 days",0.1,425.276133333333,Inf,Inf,3,0.1,425.276133333333,Inf,Inf,2029816.91,15867867.612001,4318.75938297872,33761.420451066,0.127919954944975,127582.84,875045.69,4252.76133333333,29168.1896666667,0.145801346670252,4252.76133333333,29168.1896666667,0.145801346670252,875045.69,2577.22739987012,14515.1668749293,1.28279191747879,435455.00624788,0.177554100622951,0.606012705126361,1.65013042060148,29168.1896666667,0,425.276133333333,-0.9,2916.81896666667,-0.9,0.145801346670252,87504.569,425.276133333333,-0.9,2916.81896666667,-0.9,0.145801346670252,87504.569,31.36612237117,0.0906828401478528,607.312904740458,18219.3871422137,0.0516473832950653,0.0737547205513766,13.5584541914631,-0.987829509195521,31.36612237117,0.0906828401478528,607.312904740458,18219.3871422137,0.0516473832950653,0.0737547205513766,13.5584541914631,-0.987829509195521,-0.958160115555446,-0.958160115555446
"influencer_cost","5_77_5","revenue","influencer_cost",2023-09-25,2023-10-24,"30 days",0.1,282.641566666667,Inf,Inf,3,0.1,282.641566666667,Inf,Inf,1659875.872001,15867867.612001,3531.65079149149,33761.420451066,0.104606107927547,84792.47,875045.69,2826.41566666667,29168.1896666667,0.0969006201264759,2826.41566666667,29168.1896666667,0.0969006201264759,875045.69,720.306524327623,14515.1668749293,0.509228801696054,435455.00624788,0.0496244053226656,0.254848051127992,3.92390679690845,29168.1896666667,0,282.641566666667,-0.9,2916.81896666667,-0.9,0.0969006201264759,87504.569,282.641566666667,-0.9,2916.81896666667,-0.9,0.0969006201264759,87504.569,8.44359517566359,0.0534425885102774,607.312904740458,18219.3871422137,0.013903203949325,0.0298738620622689,33.4740783737839,-0.988277774960396,8.44359517566359,0.0534425885102774,607.312904740458,18219.3871422137,0.013903203949325,0.0298738620622689,33.4740783737839,-0.988277774960396,-0.958160115555446,-0.958160115555446
