"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",13748.5007542721,6461795.35450788,0.09801324222198,13748.5007542721,0.0625553694899025,6461795.35450788,0.09801324222198,13748.5007542721,0.0625553694899025,TRUE,0.6750695,0.687501090353472,0.0393155176774213,0.0200373124434675,0.0565364551040769,0.952469059019159,1.38501358765148,0.952469059019159,0.0659746115393781,0,79592.489997688,0.0125665,6284323.78266842,1e-04,"3_104_16",3,104,16,1973,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"2","trend",0.087220736708715,5568933.22152327,0.0844702084813644,11848.7940883474,0.0539117468481811,5568933.22152327,0.0844702084813644,11848.7940883474,0.0539117468481811,TRUE,0.6750695,0.687501090353472,0.0393155176774213,0.0200373124434675,0.0565364551040769,0.952469059019159,1.38501358765148,0.952469059019159,0.0659746115393781,0,79592.489997688,0.0125665,6284323.78266842,1e-04,"3_104_16",3,104,16,1973,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"3","season",0.112937336098229,54016.6041133586,0.000819329955919754,114.928944922039,0.000522924116831347,54016.6041133586,0.000819329955919754,114.928944922039,0.000522924116831347,TRUE,0.6750695,0.687501090353472,0.0393155176774213,0.0200373124434675,0.0565364551040769,0.952469059019159,1.38501358765148,0.952469059019159,0.0659746115393781,0,79592.489997688,0.0125665,6284323.78266842,1e-04,"3_104_16",3,104,16,1973,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"4","weekday",0.351245709678841,2228.07601780118,3.37957088457443e-05,4.7405872719174,2.15695655616686e-05,2228.07601780118,3.37957088457443e-05,4.7405872719174,2.15695655616686e-05,TRUE,0.6750695,0.687501090353472,0.0393155176774213,0.0200373124434675,0.0565364551040769,0.952469059019159,1.38501358765148,0.952469059019159,0.0659746115393781,0,79592.489997688,0.0125665,6284323.78266842,1e-04,"3_104_16",3,104,16,1973,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"5","holiday",0.373923438368281,154359.435197224,0.00234134135812256,11025.6739426589,0.0501665686815996,154359.435197224,0.00234134135812256,11025.6739426589,0.0501665686815996,TRUE,0.6750695,0.687501090353472,0.0393155176774213,0.0200373124434675,0.0565364551040769,0.952469059019159,1.38501358765148,0.952469059019159,0.0659746115393781,0,79592.489997688,0.0125665,6284323.78266842,1e-04,"3_104_16",3,104,16,1973,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"6","print_launch",785.781949115728,3830687.00193917,0.0581042933734705,12046.1855406892,0.0548098735207606,3830687.00193917,0.0581042933734705,12046.1855406892,0.0548098735207606,TRUE,0.6750695,0.687501090353472,0.0393155176774213,0.0200373124434675,0.0565364551040769,0.952469059019159,1.38501358765148,0.952469059019159,0.0659746115393781,0,79592.489997688,0.0125665,6284323.78266842,1e-04,"3_104_16",3,104,16,1973,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"7","product_launch",44.3141892979465,129619.003696493,0.00196607569706046,728.1966499803,0.00331327839413125,129619.003696493,0.00196607569706046,728.1966499803,0.00331327839413125,TRUE,0.6750695,0.687501090353472,0.0393155176774213,0.0200373124434675,0.0565364551040769,0.952469059019159,1.38501358765148,0.952469059019159,0.0659746115393781,0,79592.489997688,0.0125665,6284323.78266842,1e-04,"3_104_16",3,104,16,1973,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"8","solidcolor_launch",-196.585531680311,-401034.484627835,-0.00608293638605776,0,0,-401034.484627835,-0.00608293638605776,0,0,FALSE,0.6750695,0.687501090353472,0.0393155176774213,0.0200373124434675,0.0565364551040769,0.952469059019159,1.38501358765148,0.952469059019159,0.0659746115393781,0,79592.489997688,0.0125665,6284323.78266842,1e-04,"3_104_16",3,104,16,1973,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"9","mb_status",36772.6898857162,625135.728057176,0.00948212937336951,36772.6898857162,0.167314912662298,625135.728057176,0.00948212937336951,36772.6898857162,0.167314912662298,TRUE,0.6750695,0.687501090353472,0.0393155176774213,0.0200373124434675,0.0565364551040769,0.952469059019159,1.38501358765148,0.952469059019159,0.0659746115393781,0,79592.489997688,0.0125665,6284323.78266842,1e-04,"3_104_16",3,104,16,1973,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"10","sale_status",23838.3704168812,3265856.74711273,0.0495368842335344,35116.7392162659,0.159780374327104,3265856.74711273,0.0495368842335344,35116.7392162659,0.159780374327104,TRUE,0.6750695,0.687501090353472,0.0393155176774213,0.0200373124434675,0.0565364551040769,0.952469059019159,1.38501358765148,0.952469059019159,0.0659746115393781,0,79592.489997688,0.0125665,6284323.78266842,1e-04,"3_104_16",3,104,16,1973,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"11","fb_adv",71841.9117065809,3195522.32809066,0.0484700438169089,6798.98367678864,0.0309352229496857,3195522.32809066,0.0484700438169089,6798.98367678864,0.0309352229496857,TRUE,0.6750695,0.687501090353472,0.0393155176774213,0.0200373124434675,0.0565364551040769,0.952469059019159,1.38501358765148,0.952469059019159,0.0659746115393781,0,79592.489997688,0.0125665,6284323.78266842,1e-04,"3_104_16",3,104,16,1973,5,2460295.87,5234.67206382979,16587.7016079259,11353.0295440961,10004.2944661984,0.155048928448285,0.108394852219844,1.91115973344834,1.29883660215658,0.769919786938256,4,FALSE,1.40819775146277,0.0574226766608214,0.915773356428782,1.89492166101705,0.195265712065044
"12","fb_awareness",55372.3016862944,7866343.73420938,0.119317590781415,16736.9015621476,0.0761525260134957,7866343.73420938,0.119317590781415,16736.9015621476,0.0761525260134957,TRUE,0.6750695,0.687501090353472,0.0393155176774213,0.0200373124434675,0.0565364551040769,0.952469059019159,1.38501358765148,0.952469059019159,0.0659746115393781,0,79592.489997688,0.0125665,6284323.78266842,1e-04,"3_104_16",3,104,16,1973,5,4327114.51,9206.62661702128,15059.9982568996,5853.37163987829,16321.4877030231,0.272696660685987,0.266833111784136,1.77279783160184,1.81791901185656,0.550079510406102,4,FALSE,1.73058218008161,0.0337038762455487,1.44482264491899,2.01952753857641,0.57328334298929
