"","email_sms_campaign_alphas","email_sms_campaign_gammas","email_sms_campaign_thetas","facebook_cost_alphas","facebook_cost_gammas","facebook_cost_thetas","google_ads_cost_alphas","google_ads_cost_gammas","google_ads_cost_thetas","influencer_cost_alphas","influencer_cost_gammas","influencer_cost_thetas","organic_impressions_alphas","organic_impressions_gammas","organic_impressions_thetas","other_cost_alphas","other_cost_gammas","other_cost_thetas","tiktok_cost_alphas","tiktok_cost_gammas","tiktok_cost_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"1",2.9837375,0.7756479,0.00570567,0.630961,0.8603598,0.0358836,2.191045,0.6616081,0.2674248,0.7288195,0.7303453,0.2949852,1.4779375,0.649839,0.2758191,1.59107,0.3494011,0.3653815,2.0015325,0.6471153,0.072621,0.642341,0.683516224764822,0.757750908603826,0.622907251646839,0.0544056955803505,0.626971710624356,1.02855317467481,0.626971710624356,0.0357669666188411,0,45349.633945353,0.00658135,6788164.2892316,1e-04,0,0.0630578994750977,102.23217010498,"1_72_12",1,72,12,1361,TRUE,TRUE,6,0.02152759596303,1,FALSE
"2",2.91246,0.7608338,0.01078941,0.63413,0.855611,0.0381897,2.174895,0.6540698,0.2675889,0.73076225,0.7898061,0.2877597,1.5246525,0.5392005,0.2529072,2.0363675,0.5771825,0.4919185,2.035635,0.6553655,0.0704622,0.6418319,0.68738592498039,0.755504528489421,0.617485191674805,0.0540720588017429,0.629871962505275,1.03592135261398,0.629871962505275,0.0344670174788762,0,42655.0700875051,0.00618436,6788164.2892316,1e-04,0,0.0704021453857422,115.84876203537,"1_81_17",1,81,17,1537,TRUE,TRUE,5,0.0229113341687177,1,FALSE
"3",2.83049,0.734112,0.0326979,0.67417225,0.8786284,0.00777198,2.173995,0.6761247,0.2683596,0.7359675,0.7423573,0.2748915,1.38055,0.902693,0.1944261,1.892435,0.6802645,0.5103125,2.569845,0.6486966,0.0706215,0.6403796,0.675686328882372,0.766807371440613,0.620477795384093,0.0545696965939887,0.640604600873794,1.035469683314,0.640604600873794,0.0312991642275949,0,50140.9878154592,0.00728726,6788164.2892316,1e-04,0,0.0700039863586426,118.588234186172,"1_83_15",1,83,15,1573,TRUE,TRUE,5,0.0223376922595051,1,FALSE
"4",2.9837375,0.7756479,0.00570567,0.630961,0.8603598,0.0358836,2.191045,0.6616081,0.2674248,0.72532325,0.601294,0.2971197,1.4192275,0.6255448,0.2552847,1.50164,0.30738948,0.3653815,2.0015325,0.6471153,0.072621,0.642341,0.68346963050354,0.758109535513009,0.622281143528074,0.0544097003668464,0.626507452525416,1.02940670262846,0.626507452525416,0.035421143652166,0,45349.633945353,0.00658135,6788164.2892316,1e-04,0,0.0755198001861572,120.666624069214,"1_85_5",1,85,5,1601,TRUE,TRUE,5,0.0216508822824245,1,FALSE
"5",2.9219025,0.7687333,0.01931034,0.6443565,0.8707373,0.02889993,2.184415,0.6599029,0.2680455,0.727496,0.776196,0.2930823,1.6324375,0.5962925,0.2560707,1.66941,0.4057721,0.393869,2.01246,0.6574018,0.0761217,0.6418634,0.683617151957711,0.755344183880099,0.62193407037866,0.0543970198560243,0.630078469439133,1.02987953762844,0.630078469439133,0.0354985120155196,0,46853.8764758356,0.00680297,6788164.2892316,1e-04,0,0.0713059902191162,120.882833003998,"1_85_8",1,85,8,1604,TRUE,TRUE,6,0.0217654395780128,1,FALSE
"6",2.77677,0.751556,0.0071232,0.659776,0.9133981,0.0547878,2.169755,0.6384346,0.2747889,0.70493575,0.7547214,0.2992203,1.4033175,0.9610128,0.1923018,2.1789775,0.675179,0.5305325,2.772745,0.6546662,0.0729288,0.6383279,0.65460719527787,0.794811861871105,0.623627118057441,0.0551997027576887,0.643642734893189,1.03108414937844,0.643642734893189,0.0308061466776142,0,54859.783465861,0.00798248,6788164.2892316,1e-04,0,0.0667541027069092,120.955226182938,"1_85_9",1,85,9,1605,TRUE,TRUE,3,0.0212851826656831,1,FALSE
"7",2.7859525,0.7372235,0.0337278,0.66716275,0.8574583,0.0347943,2.1836025,0.6522792,0.2688225,0.7238915,0.7624396,0.2844951,1.4774425,0.9946534,0.02532327,2.1327425,0.6212629,0.4724605,2.5494325,0.6872162,0.0747312,0.6406652,0.675456471020091,0.764795357603715,0.621082399815635,0.054589031351034,0.643362271755869,1.03464456809647,0.643362271755869,0.0307282850190296,0,49999.6044930607,0.00726643,6788164.2892316,1e-04,0,0.0651819705963135,121.387621164322,"1_85_15",1,85,15,1611,TRUE,TRUE,1,0.0220710781123634,1,FALSE
"8",2.7859525,0.7372235,0.0337278,0.66716275,0.8450907,0.0486147,2.2110025,0.648852,0.2680737,0.720395,0.7624396,0.2844951,1.4774425,0.9946534,0.02532327,2.1327425,0.6212629,0.4724605,2.5494325,0.6872162,0.0747312,0.6406652,0.675444258306278,0.764444807459389,0.62062984945258,0.0545900584458394,0.643841528382049,1.03526223411926,0.643841528382049,0.0307139918215703,0,49999.6044930607,0.00726643,6788164.2892316,1e-04,0,0.06784987449646,123.614042043686,"1_87_7",1,87,7,1641,TRUE,TRUE,1,0.0222080237199356,1,FALSE
"9",2.83049,0.734112,0.0335217,0.6685645,0.8616919,0.02938989,2.1816825,0.6570483,0.2687298,0.72630675,0.758423,0.2825745,1.458065,0.9762609,0.0591438,2.08468,0.6802645,0.5103125,2.569845,0.6486966,0.0706215,0.6403796,0.675040623181445,0.766489595263811,0.620408002247416,0.0546239934771274,0.641040934512532,1.03556488901482,0.641040934512532,0.0308507820878616,0,50140.9878154592,0.00728726,6788164.2892316,1e-04,0,0.0646219253540039,125.275982141495,"1_88_10",1,88,10,1663,TRUE,TRUE,1,0.0222954235771465,1,FALSE
"10",2.7859525,0.7372235,0.0337278,0.66716275,0.8450907,0.0486147,2.2110025,0.648852,0.2680737,0.720395,0.7624396,0.2844951,1.4774425,0.9946534,0.02532327,2.1327425,0.6212629,0.4724605,2.5494325,0.7126962,0.0747312,0.6406652,0.675508294157169,0.76427760544761,0.622176926367044,0.0545846727865522,0.644069993951176,1.03314917052387,0.644069993951176,0.0306847639163739,0,49999.6044930607,0.00726643,6788164.2892316,1e-04,0,0.0655121803283691,125.856642007828,"1_88_18",1,88,18,1671,TRUE,TRUE,2,0.0217291513436651,1,FALSE
