"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","facebook_cost","google_ads_cost","tiktok_cost","influencer_cost","other_cost","cluster","top_sol"
"1","1_100_10",0,0.0323722556164086,0.627505232447712,1.02826414867125,0.0545252738324107,0.608750524366569,0.503513937258975,0.21360707349898,0.553588928959629,0,1,FALSE
"2","1_100_16",0,0.0355259600613245,0.624836746398443,1.03373725721652,0.0541059409947452,0.637456824178642,0.51570593728733,0.255395138663058,0.53182101456125,0,1,FALSE
"3","1_100_3",0,0.0307502759402902,0.685921977252717,1.05549607194343,0.0564788932412768,0.606068645161886,0.506998472725268,0.168940696855446,0.521227507133116,0,1,FALSE
"4","1_100_5",0,0.0308434217884847,0.651975636485144,1.03821677675621,0.0548465971994495,0.530673287915827,0.458099616390408,0.150570624443415,0.489601308328631,0,1,FALSE
"5","1_100_7",0,0.0332451606919168,0.629991665521144,1.03465650348889,0.0547531772450379,0.599639187606788,0.499220178727738,0.206808689954678,0.589567933883229,0,1,FALSE
"6","1_101_1",0,0.0351318699561242,0.626546366860598,1.02866145966832,0.0544226177200748,0.678057165562492,0.516877819052338,0.250393405720817,0.586861424863242,0,1,FALSE
"7","1_101_15",0,0.0311015777128733,0.642475003915804,1.03506806024507,0.0549055140893622,0.570684260619077,0.466004566553327,0.176759563233856,0.490688663058442,0,1,FALSE
"8","1_101_18",0,0.031052621042626,0.631870959441129,1.02856834643529,0.0544771277395428,0.617804743931583,0.512747023998498,0.181927538440585,0.584715908328471,0,1,FALSE
"9","1_101_3",0,0.0313099933304623,0.633319990703299,1.03130626772112,0.0545320164833824,0.608555709078941,0.515022537962982,0.198277366103461,0.537144834339052,0,1,FALSE
"10","1_102_6",0,0.0334672252375906,0.625582364758706,1.0237121730244,0.0544918539571966,0.653000593967821,0.504762731659431,0.221936363735268,0.545522960373889,0,1,FALSE
"11","1_102_8",0,0.033204623044879,0.629336876097738,1.03051827742682,0.0542651492282933,0.639125560907476,0.544853591754173,0.23185190313517,0.570920932483171,0,1,FALSE
"12","1_102_9",0,0.0325921036595237,0.630972904053541,1.01643755221473,0.0544824226303634,0.621572930244752,0.485326210626825,0.190716490727824,0.512815340538304,0,1,FALSE
"13","1_103_10",0,0.0326113213414575,0.631636869835426,1.03435482379016,0.0549563270430783,0.619464581763169,0.485741783432245,0.208042298950437,0.562411761598088,0,1,FALSE
"14","1_103_17",0,0.033473383323561,0.625581476589619,1.02371836376579,0.0544912708050674,0.652954176483039,0.504646904092786,0.221939169074546,0.545527336786042,0,1,FALSE
"15","1_104_1",0,0.0309477368639403,0.630270502448329,1.01602811504543,0.0544522988994219,0.614458314991907,0.502662967989017,0.189273656419577,0.542660391876746,0,1,FALSE
"16","1_104_14",0,0.0322852769234517,0.631062039719039,1.01854418963605,0.0546266279043616,0.621534998971977,0.483175693505636,0.188225250399866,0.535669965706548,0,1,FALSE
"17","1_104_2",0,0.0322975044422841,0.631852204013217,1.02947459846909,0.0543181078328181,0.66973127708664,0.521653616585551,0.20960382919865,0.579429776013668,0,1,FALSE
"18","1_104_4",0,0.0346782317262627,0.624615321416932,1.02807458290291,0.0542370404216792,0.641467251143946,0.517941891798146,0.249459366533054,0.5557320463113,0,1,FALSE
"19","1_104_6",0,0.0313100677935814,0.633320039628095,1.03130629235828,0.0545320163587157,0.608553485758562,0.515022602340375,0.198277450696279,0.537144628068784,0,1,FALSE
"20","1_105_12",0,0.0309364506286738,0.629247678877024,1.01450752184082,0.0544972315192234,0.611183264993784,0.502722955930362,0.189838138089695,0.5427558008818,0,1,TRUE
"21","1_105_15",0,0.0349338748011746,0.625819523029719,1.02818334664712,0.0542802167492681,0.640557918601988,0.513998477336423,0.250774599675385,0.553233403266864,0,1,FALSE
"22","1_105_3",0,0.0310250518588188,0.639478318278204,1.0416440865644,0.0541925509624496,0.603224211901016,0.496363464752178,0.190116429936172,0.53500071087374,0,1,FALSE
"23","1_106_16",0,0.0348440650165563,0.626725249277682,1.03048614640529,0.0542677722708801,0.588616995535963,0.450638844965132,0.214560278604405,0.555678005383218,0,1,FALSE
