"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",21798.8470946932,11248205.1008617,0.154481589323935,21798.8470946932,0.0824167788027009,11248205.1008617,0.154481589323935,21798.8470946932,0.0824167788027009,TRUE,0.642341,0.683516224764822,0.757750908603826,0.622907251646839,0.0544056955803505,0.626971710624356,1.02855317467481,0.626971710624356,0.0357669666188411,0,45349.633945353,0.00658135,6788164.2892316,1e-04,"1_72_12",1,72,12,1361,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"2","trend",0,0,0,0,0,0,0,0,0,TRUE,0.642341,0.683516224764822,0.757750908603826,0.622907251646839,0.0544056955803505,0.626971710624356,1.02855317467481,0.626971710624356,0.0357669666188411,0,45349.633945353,0.00658135,6788164.2892316,1e-04,"1_72_12",1,72,12,1361,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"3","season",0.196881056994222,-691282.617043829,-0.00949399805527719,-1339.69499427099,-0.00506510025627901,-691282.617043829,-0.00949399805527719,-1339.69499427099,-0.00506510025627901,FALSE,0.642341,0.683516224764822,0.757750908603826,0.622907251646839,0.0544056955803505,0.626971710624356,1.02855317467481,0.626971710624356,0.0357669666188411,0,45349.633945353,0.00658135,6788164.2892316,1e-04,"1_72_12",1,72,12,1361,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"4","weekday",0.54606145083515,-13726.1004457716,-0.000188512726525615,-26.6009698561465,-0.000100572577946338,-13726.1004457716,-0.000188512726525615,-26.6009698561465,-0.000100572577946338,FALSE,0.642341,0.683516224764822,0.757750908603826,0.622907251646839,0.0544056955803505,0.626971710624356,1.02855317467481,0.626971710624356,0.0357669666188411,0,45349.633945353,0.00658135,6788164.2892316,1e-04,"1_72_12",1,72,12,1361,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"5","holiday",0.450332495648738,210845.01702706,0.00289572185422519,13177.8135641913,0.0498224947817346,210845.01702706,0.00289572185422519,13177.8135641913,0.0498224947817346,TRUE,0.642341,0.683516224764822,0.757750908603826,0.622907251646839,0.0544056955803505,0.626971710624356,1.02855317467481,0.626971710624356,0.0357669666188411,0,45349.633945353,0.00658135,6788164.2892316,1e-04,"1_72_12",1,72,12,1361,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"6","print_launch",-466.309060416516,-1867101.47790773,-0.0256425626266504,0,0,-1867101.47790773,-0.0256425626266504,0,0,FALSE,0.642341,0.683516224764822,0.757750908603826,0.622907251646839,0.0544056955803505,0.626971710624356,1.02855317467481,0.626971710624356,0.0357669666188411,0,45349.633945353,0.00658135,6788164.2892316,1e-04,"1_72_12",1,72,12,1361,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"7","product_launch",-114.778607272775,-250561.699676469,-0.00344118632640884,0,0,-250561.699676469,-0.00344118632640884,0,0,FALSE,0.642341,0.683516224764822,0.757750908603826,0.622907251646839,0.0544056955803505,0.626971710624356,1.02855317467481,0.626971710624356,0.0357669666188411,0,45349.633945353,0.00658135,6788164.2892316,1e-04,"1_72_12",1,72,12,1361,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"8","solidcolor_launch",235.312540717975,382147.566125991,0.00524837188174086,3412.03184041063,0.0129001626662795,382147.566125991,0.00524837188174086,3412.03184041063,0.0129001626662795,TRUE,0.642341,0.683516224764822,0.757750908603826,0.622907251646839,0.0544056955803505,0.626971710624356,1.02855317467481,0.626971710624356,0.0357669666188411,0,45349.633945353,0.00658135,6788164.2892316,1e-04,"1_72_12",1,72,12,1361,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"9","mb_status",57971.9547092995,985523.230058091,0.0135350656864684,57971.9547092995,0.219179562445744,985523.230058091,0.0135350656864684,57971.9547092995,0.219179562445744,TRUE,0.642341,0.683516224764822,0.757750908603826,0.622907251646839,0.0544056955803505,0.626971710624356,1.02855317467481,0.626971710624356,0.0357669666188411,0,45349.633945353,0.00658135,6788164.2892316,1e-04,"1_72_12",1,72,12,1361,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"10","sale_status",36606.8808505787,4456887.74355796,0.0612103972046576,56416.3005513665,0.21329796677828,4456887.74355796,0.0612103972046576,56416.3005513665,0.21329796677828,TRUE,0.642341,0.683516224764822,0.757750908603826,0.622907251646839,0.0544056955803505,0.626971710624356,1.02855317467481,0.626971710624356,0.0357669666188411,0,45349.633945353,0.00658135,6788164.2892316,1e-04,"1_72_12",1,72,12,1361,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
