"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","fb_adv","fb_awareness","fb_consideration","fb_intent","fb_loyalty","ga_brand","ga_other","ga_nonbrand","ga_shoppmax","tiktok_cost","influencer_cost","other_cost","cluster","top_sol"
"1","2_110_1",0,0.0806661604282108,0.9813259860163,1.38881861212761,0.066711901795909,0.761831750368125,0.12676225187367,0.233993610334672,0.214128453711796,0.455109507051047,0.20091612582903,0.0780648373226647,0.248807441703797,0.371460830855008,0.267801044625581,0.797039442664745,0.283288242847643,11,FALSE
"2","2_115_5",0,0.0845493719545265,0.978549838084734,1.39640621832592,0.067470951594138,0.702143793492022,0.100846304427943,0.196732354891374,0.255147343778702,0.534016130326053,0.0994961377002076,0.207883016873826,0.222679648758108,0.486854664452126,0.267068841281854,0.385617599683783,0.16436971668439,7,FALSE
"3","2_120_6",0,0.0788949633831104,0.979791196750341,1.3830156117479,0.0663109985206983,0.761898049645891,0.126552836418201,0.219337311805177,0.278157435866771,0.429114418568218,0.200818502187474,0.118727774380644,0.242127655310873,0.364226703635311,0.29042676158302,0.718691789298251,0.222130782102266,11,FALSE
"4","2_131_7",0,0.0829805380582824,0.979734927140717,1.3816104948342,0.0662315112375094,0.746901673784738,0.184554367088838,0.199063488385305,0.173191597004345,0.420845110683264,0.218984585706789,0.095758564606386,0.254308598494057,0.39858217130467,0.284505393574473,0.747258257554793,0.140440990231908,11,FALSE
"5","2_134_2",0,0.0816315339316857,0.975271750802257,1.3795826181626,0.0671132622430336,0.738670998048041,0.1588967489413,0.21267678365137,0.181966087053913,0.458919074320565,0.200253326033815,0.102571835979974,0.246222738475159,0.358569767488593,0.280149286244804,0.67287316932775,0.210311280885287,11,FALSE
"6","2_140_4",0,0.0899663530782335,0.972614739837197,1.37154467503488,0.0655132991300705,0.766916122109779,0.197826108406178,0.20880528305459,0.213441655335466,0.414395694933475,0.215165798821487,0.0294726817864661,0.26406576661942,0.395634963249043,0.274348401911552,0.462796894866509,0.294867382777712,16,FALSE
"7","2_185_6",0,0.0843079770872633,0.975339368894991,1.36900156727008,0.065777918543432,0.743327944795852,0.174866941260828,0.264991341857734,0.254019706006377,0.511867464292853,0.203635535061865,0.0845123683166347,0.264142541062535,0.452504090905484,0.294611303598666,0.501998964805811,0.210798674797655,7,FALSE
"8","2_200_2",0,0.090062497141023,0.972579945909164,1.36894388884908,0.065123607031793,0.734187319734983,0.13504245451624,0.192615476833689,0.186579349326805,0.42568830868988,0.201253594928572,0.0815227421924978,0.267545546915238,0.453747791498417,0.298748898286559,0.442933963297021,0.0846903638322165,7,FALSE
"9","2_208_1",0,0.0949825179208108,0.964681963567827,1.3558274598998,0.062970629120136,0.703605789736414,0.151120414200711,0.232037748694662,0.254519434010707,0.381446257000684,0.24279448039842,0.0595812519776479,0.270188598576313,0.494142082501338,0.306990353171995,0.451671289547278,0.0172017733988378,7,FALSE
"10","2_208_5",0,0.0814309235166657,0.979668382019703,1.38017049445629,0.066068106649633,0.762331558022544,0.121013732017042,0.216539340400717,0.309712683230003,0.431928329122614,0.207818634969776,0.0909524088647805,0.25088822605253,0.410809980103222,0.315450940124527,0.609960328044121,0.16045100946045,5,FALSE
"11","2_211_2",0,0.0858030683845839,0.97596999331615,1.37540229961908,0.066591670874301,0.732596832015016,0.144702209288818,0.208280132254058,0.247526429311924,0.418490022085545,0.199529330338513,0.167300926988512,0.243011448599362,0.566015408014957,0.29979915676468,0.878545049940892,0.179912050753785,11,FALSE
"12","2_213_6",0,0.0706170015640766,0.985726593591594,1.40731820795461,0.0726756758454668,0.711272349976069,0.0547582589336258,0.287332141316473,0.231486239421632,0.502275382850324,0.0466085229560325,0.124271844694675,0.231722205751479,0.41011358833251,0.272135766781044,0.605461422838864,0.198884177743168,5,FALSE
"13","2_214_2",0,0.0865807468253663,0.971677359233291,1.36631267682183,0.0641638110211084,0.717255521049664,0.203023702024297,0.211257920162789,0.218442843786606,0.43391654648032,0.221270305703901,0.0486698443060674,0.245993742067599,0.390224683367432,0.273579387586816,0.664926634382503,0.307763511792829,11,FALSE
"14","2_214_3",0,0.0826208498098206,0.980016566301224,1.38667526356869,0.0669769397015215,0.738299524737557,0.0890639173920596,0.321891834328384,0.240375161827755,0.455237450691983,0.191315960170057,0.06865594946935,0.250641196269302,0.375550045807913,0.291869889982412,0.873037880055134,0.221679004224142,11,FALSE
"15","2_220_1",0,0.0855140582936258,0.972276862962333,1.36815002001291,0.0658718293517158,0.736997343255277,0.175990250373687,0.263753445079004,0.214669969135674,0.47033581300877,0.243773359250233,0.20066649201116,0.244497369377271,0.344961374392803,0.290468448381741,0.57713873360769,0.305100257434994,5,TRUE
"16","2_220_4",0,0.0733214907985554,0.984867600662608,1.41446783370423,0.0737362715052419,0.7416533731723,0.0786227959000892,0.250274360984167,0.258134803927188,0.474985140333618,0.014978773338978,0.176059347164154,0.25083571246361,0.418035328892132,0.242328151099371,0.68990309713389,0.226799959464946,5,FALSE
"17","2_221_6",0,0.093407947178671,0.960965127965234,1.34645052540928,0.0606457099799225,0.707030570941099,0.159344020965,0.30561969736791,0.346128238437056,0.31761365328746,0.258272502472735,0.0282343600960985,0.230302786485888,0.588233112907746,0.302770307746636,0.588478823771258,0.318292311922793,16,TRUE
"18","2_222_6",0,0.0909507096909222,0.971780185043765,1.36398951180347,0.0643627396930742,0.70573140377318,0.173446526050699,0.229187898110318,0.104227825473903,0.62595818997779,0.225488199826268,0.0528643170922376,0.245937312795753,0.396606861553546,0.26782586567017,0.665507002058804,0.313968985267286,11,FALSE
"19","2_223_3",0,0.0862821699413795,0.972822872929046,1.36544894031416,0.0641076643581087,0.741639084041187,0.213649352946577,0.208529109434025,0.282582181757958,0.435312199468001,0.248781236941766,0.0533528356906968,0.242101812254077,0.460900765331254,0.304029138947583,0.562083435885982,0.238931191655553,16,FALSE
"20","2_224_1",0,0.0730454165608077,0.986149202973321,1.39281515766217,0.0680538802064743,0.767050017477533,0.105109622327914,0.307072160820479,0.138444417967386,0.43156395606762,0.161201445664818,0.249587033925249,0.241989957216393,0.372951646763352,0.337794203052724,0.834103776245879,0.202853043143887,11,FALSE
"21","2_228_5",0,0.0853228295492519,0.972135791596398,1.36825055080405,0.0658981794404644,0.742617237415479,0.173900254254814,0.400376269377939,0.233634116971644,0.448944195668827,0.244277129086007,0.203955151877632,0.244190081754515,0.349825266706269,0.296374327535758,0.578171726409233,0.317431118392474,14,FALSE
"22","2_229_4",0,0.0938931242026739,0.967916110066778,1.3502249383023,0.0628990704434631,0.717671724218099,0.136631317188594,0.315172708024898,0.265453654308554,0.365306183397702,0.23937875816205,0.0529875468728201,0.30104555520214,0.448275721324452,0.293804187188316,0.536636423463983,0.0253243882790627,7,TRUE
"23","2_231_7",0,0.0900418624238977,0.968892629030703,1.35804710195134,0.0630512261948614,0.718562777451957,0.163712467393759,0.218466788160959,0.20878800806308,0.36444065868717,0.196533576636129,0.0735686246276116,0.242221960069231,0.608451825374887,0.385911041783309,0.570059619148387,0.227254282133809,16,FALSE
"24","2_234_1",0,0.0821602070488138,0.977548592749448,1.37961626750973,0.0664849961807897,0.80017415300442,0.0571510347227719,0.217855044968318,0.0476665580078277,0.41211717286699,0.148969046868738,0.16263850257596,0.250923529847746,0.400216597949382,0.275141177944893,0.483564171832965,0.276616396089309,7,FALSE
"25","2_236_4",0,0.0910786542659799,0.969835289514758,1.36064642795345,0.0641001233896549,0.696238888663431,0.150673737172085,0.20670819794948,0.312798584217207,0.44120285185131,0.181205043393815,0.0522415274562079,0.252322802048634,0.571132874336856,0.38637877538905,0.627469108528838,0.259874861728575,16,FALSE
"26","2_237_2",0,0.0776143940707547,0.976643718870641,1.37947287718466,0.0686225513958211,0.724776688585537,0.138806991663192,0.35132679315051,0.239757885544826,0.4979147685637,0.183677264217798,0.214462357269344,0.226541289832041,0.368362024157681,0.298605967982426,0.527900157893445,0.265292798334363,5,FALSE
"27","2_238_1",0,0.0937395510469384,0.965554629456627,1.35372416376655,0.0621267129455909,0.695813573703425,0.154697389325276,0.191441092366374,0.303786294071501,0.376971183355619,0.23948487637604,0.032848841621314,0.248902353434961,0.483323319918851,0.299348957218198,0.519680192203438,0.0144179600793368,7,FALSE
"28","2_239_2",0,0.0830924874959478,0.975622245159903,1.38219973174187,0.0698400051984621,0.763689899290835,0.153757051630538,0.225858022734214,0.138057165711168,0.494448656296105,0.0743582617278589,0.164330966089287,0.241078108695165,0.444875002753481,0.295692439576887,0.26189235446121,0.198144501069078,7,FALSE
"29","2_240_4",0,0.0868535301670208,0.968882321000062,1.35837403671345,0.0619539859590525,0.673627932932287,0.138906524164574,0.210153889015326,0.222309908949814,0.412590206350284,0.228203784155481,0.0465730675182685,0.243340043794384,0.448485704791761,0.337353636977403,0.784561487987674,0.290159514966336,11,FALSE
"30","2_240_5",0,0.0968907639305711,0.962372617436698,1.35511616646931,0.0618125952964835,0.808403631008619,0.32004666936073,0.220799229452181,0.0725803830108786,0.260798166063373,0.230659575515096,0.0950081398597283,0.23561714869875,0.391296541086513,0.311794699293274,0.447585486611839,0.280808024857199,16,FALSE
"31","2_244_7",0,0.0963825130959764,0.962745173586068,1.35406900565322,0.0618467020694289,0.80467873124277,0.317407616639112,0.220526287330315,0.0771045179967488,0.255319744218193,0.227521663092843,0.0949540746121014,0.234471037320234,0.392158086904842,0.307917989055598,0.450686932946992,0.287671835274131,16,FALSE
"32","2_246_6",0,0.0715457475938404,0.979961282664235,1.392506718493,0.0697907369526737,0.764536129440988,0.110644101265426,0.241181819085845,0.210489077631856,0.474093290175816,0.0966376272573401,0.21390162817752,0.25316755579894,0.412695382694121,0.266502070615881,0.693581384455268,0.19205724302345,5,FALSE
"33","2_249_2",0,0.0883492989034803,0.968959862422049,1.36203299590258,0.0617941539398117,0.701754031181082,0.216189344716441,0.192438314000409,0.167124169619865,0.354559375384517,0.237873132410521,0.0349315534717468,0.242117563084947,0.384303410082717,0.313219023342321,0.79632381187478,0.219264660336956,11,FALSE
"34","2_251_1",0,0.0754209043096174,0.981345973275059,1.39826652752623,0.071341578322376,0.743915961485203,0.0831643328418123,0.224327701883674,0.228533306686897,0.467485115129981,0.0675125474476703,0.212956024549705,0.255104510590974,0.424254575008589,0.249420043449562,0.615012239289588,0.197430580961688,5,FALSE
"35","2_251_6",0,0.0934435291531157,0.960853262773963,1.34677165759953,0.060633400323057,0.706804288464003,0.159194131761392,0.305567510605773,0.345252975437966,0.318245129710403,0.258347301696071,0.0281784094271526,0.230610745313465,0.588084964386163,0.30285407617727,0.587978620781525,0.31804591161403,16,FALSE
"36","2_254_1",0,0.0908594675509192,0.967105593182155,1.35206176959544,0.0616029900665052,0.719051320455143,0.191756718285663,0.201846134150948,0.102464143403822,0.389687629159111,0.31526256021086,0.0827896410230202,0.190009776288263,0.367052039678441,0.302849223210605,0.730456115500789,0.203469005235275,11,TRUE
"37","2_256_1",0,0.0939586492995619,0.96088434087689,1.34782663986964,0.0604082885716791,0.708709464776942,0.215249812471008,0.21614967476581,0.379981983705368,0.316049142273089,0.25492629445882,0.0194829245392759,0.231600664013062,0.566454079384169,0.307153828555314,0.582977212136952,0.300841707127406,16,FALSE
"38","2_257_5",0,0.0923544996841514,0.968208233831427,1.35716378021364,0.0619494565275836,0.66301280093426,0.0887650476546945,0.237486814727162,0.117907803032151,0.406202222288812,0.231227487094474,0.0549281840583587,0.247532362616403,0.470785526977638,0.34171998139883,0.664470994181128,0.323912178301031,11,FALSE
