"","email_sms_campaign_alphas","email_sms_campaign_gammas","email_sms_campaign_thetas","fb_adv_alphas","fb_adv_gammas","fb_adv_thetas","fb_awareness_alphas","fb_awareness_gammas","fb_awareness_thetas","fb_consideration_alphas","fb_consideration_gammas","fb_consideration_thetas","fb_intent_alphas","fb_intent_gammas","fb_intent_thetas","fb_loyalty_alphas","fb_loyalty_gammas","fb_loyalty_thetas","ga_brand_alphas","ga_brand_gammas","ga_brand_thetas","ga_nonbrand_alphas","ga_nonbrand_gammas","ga_nonbrand_thetas","ga_other_alphas","ga_other_gammas","ga_other_thetas","ga_shoppmax_alphas","ga_shoppmax_gammas","ga_shoppmax_thetas","influencer_cost_alphas","influencer_cost_gammas","influencer_cost_thetas","organic_impressions_alphas","organic_impressions_gammas","organic_impressions_thetas","other_cost_alphas","other_cost_gammas","other_cost_thetas","tiktok_cost_alphas","tiktok_cost_gammas","tiktok_cost_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"1",2.311815,0.9837236,0.1471032,2.396655,0.7659102,0.5225235,1.0957,0.8119142,0.4506855,1.93015,0.4921731,0.569443,0.69968675,0.5987418,0.628899,2.3723,0.8040805,0.4608945,2.8389625,0.9015926,0.4164885,2.7882975,0.3545678,0.795445,2.553775,0.8397014,0.4181405,2.430585,0.6198447,0.798899,0.66682975,0.9372541,0.0698304,1.9636175,0.5304869,0.2054712,1.2054525,0.9305229,0.5051525,1.3553875,0.8485459,0.009318,0.6710192,0.572620139420481,-0.00590026792990539,0.0349448176039928,0.066711901795909,0.9813259860163,1.38881861212761,0.9813259860163,0.0806661604282108,0,169993.501524172,0.0269531,6284323.78266842,1e-04,1,0.256477832794189,34.1869261264801,"2_110_1",2,110,1,764,FALSE,TRUE,4,0.204550277969,11,FALSE
"2",2.568175,0.9807738,0.1508679,2.12413,0.8047042,0.5643105,1.005645,0.7940096,0.5277295,1.81658,0.5325127,0.596105,0.74932325,0.6045098,0.588207,2.4411,0.7978757,0.5684915,2.94479,0.9576584,0.3427479,2.865275,0.4669892,0.795484,2.1616575,0.4095843,0.384632,2.35202,0.6624103,0.6571575,1.1894125,0.9860273,0.1141515,1.1805975,0.5390465,0.0587295,1.4252775,0.7264624,0.5228845,1.2899475,0.7861822,0.0911832,0.6729155,0.56169112716716,-0.00113240819195437,0.0245705804721102,0.067470951594138,0.978549838084734,1.39640621832592,0.978549838084734,0.0845493719545265,0,207711.382864289,0.0329556,6284323.78266842,1e-04,1,0.191421031951904,35.551863193512,"2_115_5",2,115,5,803,FALSE,TRUE,4,0.214629709400597,7,FALSE
"3",2.3208875,0.9780816,0.147021,2.3697,0.7729018,0.5308635,1.09205,0.8118197,0.45279,1.9138775,0.4946448,0.5770215,0.622816,0.568422,0.5854515,2.4829575,0.7911949,0.4382085,2.9434875,0.802754,0.459979,2.718715,0.3858585,0.7805,2.39577,0.6219125,0.3167702,2.4541675,0.6918915,0.7486305,0.953395,0.7383015,0.148296,2.051515,0.5287803,0.1802664,1.23051,0.9046761,0.507606,1.351975,0.8426288,0.01298475,0.6710636,0.577741359349517,-0.00275628178730325,0.0429926874264825,0.0663109985206983,0.979791196750341,1.3830156117479,0.979791196750341,0.0788949633831104,0,164768.608840406,0.0261216,6284323.78266842,1e-04,1,0.159966945648193,36.7250711917877,"2_120_6",2,120,6,839,FALSE,TRUE,3,0.196852133927341,11,FALSE
"4",2.3457125,0.9674759,0.1533099,2.372145,0.7708116,0.540249,0.9705475,0.8488784,0.5575325,2.5393725,0.3954947,0.5531755,0.93022,0.571775,0.5463165,2.5026175,0.7957148,0.4682325,2.875495,0.8252219,0.4469155,2.6417425,0.4069131,0.7491805,2.4460425,0.6541377,0.3592915,2.5003,0.7127417,0.6967115,0.898405,0.7581234,0.1370616,1.8429025,0.506626,0.1384638,1.379465,0.8268648,0.5134855,1.328255,0.8368713,0.02368992,0.6715025,0.578753079158446,-0.00264110809627494,0.0449363011527136,0.0662315112375094,0.979734927140717,1.3816104948342,0.979734927140717,0.0829805380582824,0,162919.317298816,0.0258273,6284323.78266842,1e-04,1,0.179012060165405,39.3082811832428,"2_131_7",2,131,7,917,FALSE,TRUE,4,0.195018965023275,11,FALSE
"5",2.4024325,0.9274191,0.1525611,2.35362,0.7810064,0.5320055,0.99933,0.8305937,0.466676,1.8638025,0.5172989,0.56762,0.6247335,0.588036,0.6343985,2.4556375,0.7913825,0.4259495,2.861755,0.7777766,0.4492625,2.783415,0.4667155,0.7374195,2.4491225,0.6119949,0.36722,2.58647,0.7088413,0.7196705,1.081215,0.6204523,0.2287527,2.7986025,0.5760961,0.1168701,1.246115,0.7601303,0.512994,1.2318125,0.8428185,0.0212277,0.6712919,0.567462158085397,0.00647313517608517,0.0477378578230923,0.0671132622430336,0.975271750802257,1.3795826181626,0.975271750802257,0.0816315339316857,0,187334.615582368,0.0297128,6284323.78266842,1e-04,1,0.218992233276367,40.1857662200928,"2_134_2",2,134,2,933,FALSE,TRUE,2,0.192322317327108,11,FALSE
"6",2.3457125,0.9674759,0.1533099,2.372145,0.7708116,0.540249,0.9705475,0.8488784,0.5575325,2.5393725,0.3954947,0.5531755,0.93022,0.571775,0.5463165,2.5026175,0.7957148,0.4682325,2.875495,0.8252219,0.4469155,2.6417425,0.4069131,0.7491805,2.4460425,0.6541377,0.7034315,2.2924575,0.555745,0.7721415,1.5226875,0.6693207,0.2406642,2.77527,0.5931838,0.1030737,1.2547525,0.6932222,0.5134855,1.328255,0.8368713,0.02368992,0.6715025,0.587839516764914,0.0118792506436911,0.0588019734469082,0.0655132991300705,0.972614739837197,1.37154467503488,0.972614739837197,0.0899663530782335,0,162919.317298816,0.0258273,6284323.78266842,1e-04,1,0.152009010314941,41.6779720783234,"2_140_4",2,140,4,977,FALSE,TRUE,4,0.181763368614577,16,FALSE
"7",2.387545,0.9804434,0.1483503,2.350515,0.7978316,0.5522375,0.9581025,0.8515258,0.61196,1.4727375,0.5991884,0.605569,1.0455275,0.36208846,0.4910445,2.4663875,0.613005,0.508047,2.8891,0.8383434,0.475881,2.7676225,0.31750896,0.715053,2.530245,0.7046812,0.4139015,2.449575,0.7139401,0.664628,1.415415,0.6733856,0.218649,2.6293475,0.5657263,0.1009722,1.285955,0.7391457,0.516141,1.23754,0.8382279,0.02773401,0.6718154,0.583411914478833,0.00978702083350425,0.0552677454047659,0.065777918543432,0.975339368894991,1.36900156727008,0.975339368894991,0.0843079770872633,0,162409.709605907,0.0257462,6284323.78266842,1e-04,1,0.175034999847412,53.4188270568848,"2_185_6",2,185,6,1294,FALSE,TRUE,3,0.178330452402997,7,FALSE
"8",2.5751525,0.9992454,0.1410267,2.350455,0.7808923,0.535128,1.00764,0.8338725,0.5321745,2.12787,0.490358,0.54855,1.10534,0.5615662,0.5136225,2.562615,0.7820333,0.5171745,2.9259725,0.8048589,0.439988,2.735705,0.3760333,0.689511,2.842335,0.529754,0.4244505,2.625095,0.6544933,0.599048,1.5100825,0.6169173,0.2135565,2.85633,0.6055094,0.1139964,1.555895,0.6599428,0.5322325,1.271355,0.8217513,0.0491139,0.6719852,0.59165853215705,0.0153821014306811,0.055347350159242,0.065123607031793,0.972579945909164,1.36894388884908,0.972579945909164,0.090062497141023,0,163561.510963615,0.0259295,6284323.78266842,1e-04,1,0.205818176269531,57.1607050895691,"2_200_2",2,200,2,1395,FALSE,TRUE,4,0.17832141317171,7,FALSE
"9",2.444655,0.9607685,0.1499529,2.0663325,0.8065487,0.543371,1.0846225,0.7548292,0.437231,1.7063875,0.5248295,0.5679815,1.258165,0.5007138,0.4469015,2.7255325,0.6674846,0.464567,2.8813625,0.8537259,0.435717,2.75569,0.3707462,0.668102,2.7810475,0.630694,0.4409295,2.5183475,0.6707641,0.573903,1.6179175,0.639304,0.2116722,2.8497425,0.6085978,0.02362353,1.9139525,0.5510634,0.5703565,1.3923825,0.81919,0.0538878,0.6733511,0.618211664133404,0.027042345890359,0.0804377105038833,0.062970629120136,0.964681963567827,1.3558274598998,0.964681963567827,0.0949825179208108,0,134393.225517104,0.0212876,6284323.78266842,1e-04,1,0.17297101020813,59.1161861419678,"2_208_1",2,208,1,1450,FALSE,TRUE,4,0.161041035278492,7,FALSE
"10",2.33921,0.9802467,0.1469529,2.3645675,0.7753504,0.5361875,1.0945275,0.8133023,0.457584,1.90134,0.4914514,0.5906635,0.6313025,0.5671116,0.5801715,2.48759,0.7763934,0.4415725,2.941465,0.7995851,0.451955,2.725195,0.33000179,0.7706625,2.3809425,0.8039993,0.3350539,2.2923975,0.8856739,0.7096735,1.118485,0.7000045,0.1551924,1.9892575,0.4931181,0.1928427,1.4989675,0.6883649,0.520553,1.2610775,0.8482519,0.0192096,0.6710903,0.580829093004917,-0.00250491083285143,0.0469261172187252,0.066068106649633,0.979668382019703,1.38017049445629,0.979668382019703,0.0814309235166657,0,163274.346086107,0.0258838,6284323.78266842,1e-04,1,0.149133920669556,59.1036450862885,"2_208_5",2,208,5,1454,FALSE,TRUE,3,0.193099561867772,5,FALSE
