"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",39798.2876103876,18705195.1768822,0.294458531827015,39798.2876103876,0.234166316819018,18705195.1768822,0.294458531827015,39798.2876103876,0.234166316819018,TRUE,0.6710192,0.572620139420481,-0.00590026792990539,0.0349448176039928,0.066711901795909,0.9813259860163,1.38881861212761,0.9813259860163,0.0806661604282108,0,169993.501524172,0.0269531,6284323.78266842,1e-04,"2_110_1",2,110,1,764,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,FALSE,NA,NA,NA,NA,NA
"2","trend",0,0,0,0,0,0,0,0,0,TRUE,0.6710192,0.572620139420481,-0.00590026792990539,0.0349448176039928,0.066711901795909,0.9813259860163,1.38881861212761,0.9813259860163,0.0806661604282108,0,169993.501524172,0.0269531,6284323.78266842,1e-04,"2_110_1",2,110,1,764,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,FALSE,NA,NA,NA,NA,NA
"3","season",0.124823070980665,59701.3651970788,0.00093982319766045,127.024181270381,0.000747388555161672,59701.3651970788,0.00093982319766045,127.024181270381,0.000747388555161672,TRUE,0.6710192,0.572620139420481,-0.00590026792990539,0.0349448176039928,0.066711901795909,0.9813259860163,1.38881861212761,0.9813259860163,0.0806661604282108,0,169993.501524172,0.0269531,6284323.78266842,1e-04,"2_110_1",2,110,1,764,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,FALSE,NA,NA,NA,NA,NA
"4","weekday",0.255411150245342,1620.16343480672,2.55047296658317e-05,3.44715624426955,2.02824777066436e-05,1620.16343480672,2.55047296658317e-05,3.44715624426955,2.02824777066436e-05,TRUE,0.6710192,0.572620139420481,-0.00590026792990539,0.0349448176039928,0.066711901795909,0.9813259860163,1.38881861212761,0.9813259860163,0.0806661604282108,0,169993.501524172,0.0269531,6284323.78266842,1e-04,"2_110_1",2,110,1,764,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,FALSE,NA,NA,NA,NA,NA
"5","holiday",0.36996449621978,152725.136254617,0.00240421011218292,10908.9383039012,0.064186327010806,152725.136254617,0.00240421011218292,10908.9383039012,0.064186327010806,TRUE,0.6710192,0.572620139420481,-0.00590026792990539,0.0349448176039928,0.066711901795909,0.9813259860163,1.38881861212761,0.9813259860163,0.0806661604282108,0,169993.501524172,0.0269531,6284323.78266842,1e-04,"2_110_1",2,110,1,764,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,FALSE,NA,NA,NA,NA,NA
"6","mb_status",25124.5956079606,427118.125335331,0.00672372434041138,25124.5956079606,0.147828823005637,427118.125335331,0.00672372434041138,25124.5956079606,0.147828823005637,TRUE,0.6710192,0.572620139420481,-0.00590026792990539,0.0349448176039928,0.066711901795909,0.9813259860163,1.38881861212761,0.9813259860163,0.0806661604282108,0,169993.501524172,0.0269531,6284323.78266842,1e-04,"2_110_1",2,110,1,764,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,FALSE,NA,NA,NA,NA,NA
"7","fb_adv",66839.2510530077,3076736.53515905,0.0484342084856277,6546.24794714691,0.0385170031880303,3076736.53515905,0.0484342084856277,6546.24794714691,0.0385170031880303,TRUE,0.6710192,0.572620139420481,-0.00590026792990539,0.0349448176039928,0.066711901795909,0.9813259860163,1.38881861212761,0.9813259860163,0.0806661604282108,0,169993.501524172,0.0269531,6284323.78266842,1e-04,"2_110_1",2,110,1,764,4,2460295.87,5234.67206382979,16542.5239077103,11307.8518438805,10193.7041890026,0.155048928448285,0.119230616658356,1.947343418022,1.25055550134263,0.799644637064387,11,FALSE,1.19351504636084,0.0131980368567677,1.08480708094054,1.30407195682566,0.263449061212215
"8","fb_awareness",82921.9891069333,6743407.43889444,0.10615520635798,14347.6754019031,0.0844192679009021,6743407.43889444,0.10615520635798,14347.6754019031,0.0844192679009021,TRUE,0.6710192,0.572620139420481,-0.00590026792990539,0.0349448176039928,0.066711901795909,0.9813259860163,1.38881861212761,0.9813259860163,0.0806661604282108,0,169993.501524172,0.0269531,6284323.78266842,1e-04,"2_110_1",2,110,1,764,4,4327114.51,9206.62661702127,14265.2217141011,5058.59509707979,13280.8301754235,0.272696660685987,0.261322546838208,1.44252946577303,1.5584074383311,0.641680715455837,11,FALSE,1.59563988051846,0.0224818834511161,1.41017267852415,1.78367424076938,0.487910013677943
"9","fb_consideration",24607.532238506,1306363.45605662,0.0205648677634923,2779.49671501409,0.0163540832393886,1306363.45605662,0.0205648677634923,2779.49671501409,0.0163540832393886,TRUE,0.6710192,0.572620139420481,-0.00590026792990539,0.0349448176039928,0.066711901795909,0.9813259860163,1.38881861212761,0.9813259860163,0.0806661604282108,0,169993.501524172,0.0269531,6284323.78266842,1e-04,"2_110_1",2,110,1,764,4,1107718.01,2356.84682978724,3544.99305603295,1188.14622624571,1116.47429417119,0.0698088764719857,0.0506245883148131,0.473715253813069,1.17932853331203,0.847940138607177,11,FALSE,1.16612009889798,0.0520937223132363,0.730297040482617,1.5957532959369,0.454745516822758
"10","fb_intent",5679.1063046509,931784.720466497,0.0146682222865286,1982.52068184361,0.0116648125826317,931784.720466497,0.0146682222865286,1982.52068184361,0.0116648125826317,TRUE,0.6710192,0.572620139420481,-0.00590026792990539,0.0349448176039928,0.066711901795909,0.9813259860163,1.38881861212761,0.9813259860163,0.0806661604282108,0,169993.501524172,0.0269531,6284323.78266842,1e-04,"2_110_1",2,110,1,764,4,566961.5,1206.30106382979,2795.46176033897,1589.16069650918,1941.48711497489,0.0357301632370062,0.0361088008493749,1.60945486428655,1.64347088905772,0.608468337746675,11,FALSE,1.38333922885193,0.107702315212813,0.493914719600809,2.28322134406052,0.803901399540555
