"","solID","dep_var_type","channels","date_min","date_max","periods","constr_low","constr_low_abs","constr_up","constr_up_abs","unconstr_mult","constr_low_unb","constr_low_unb_abs","constr_up_unb","constr_up_unb_abs","histSpendAll","histSpendAllTotal","histSpendAllUnit","histSpendAllUnitTotal","histSpendAllShare","histSpendWindow","histSpendWindowTotal","histSpendWindowUnit","histSpendWindowUnitTotal","histSpendWindowShare","initSpendUnit","initSpendUnitTotal","initSpendShare","initSpendTotal","initResponseUnit","initResponseUnitTotal","initResponseMargUnit","initResponseTotal","initResponseUnitShare","initRoiUnit","initCpaUnit","total_budget_unit","total_budget_unit_delta","optmSpendUnit","optmSpendUnitDelta","optmSpendUnitTotal","optmSpendUnitTotalDelta","optmSpendShareUnit","optmSpendTotal","optmSpendUnitUnbound","optmSpendUnitDeltaUnbound","optmSpendUnitTotalUnbound","optmSpendUnitTotalDeltaUnbound","optmSpendShareUnitUnbound","optmSpendTotalUnbound","optmResponseUnit","optmResponseMargUnit","optmResponseUnitTotal","optmResponseTotal","optmResponseUnitShare","optmRoiUnit","optmCpaUnit","optmResponseUnitLift","optmResponseUnitUnbound","optmResponseMargUnitUnbound","optmResponseUnitTotalUnbound","optmResponseTotalUnbound","optmResponseUnitShareUnbound","optmRoiUnitUnbound","optmCpaUnitUnbound","optmResponseUnitLiftUnbound","optmResponseUnitTotalLift","optmResponseUnitTotalLiftUnbound"
"bing_ads_cost","4_100_3","revenue","bing_ads_cost",2023-04-30,2023-05-21,"4 weeks",0,0,1.5,4140.75,2,0,0,2,5521,649400,47946070,5195.2,383568.56,0.0135443843468297,11042,1019720,2760.5,254930,0.0108284627152552,2760.5,254930,0.0108284627152552,1019720,3520.52897115397,528640.584723585,2.11727684753214,2114562.33889434,0.00665958890196593,1.2753229382916,0.784115120943077,325000,0.274859765425803,4140.75,0.5,325000.000000001,0.274859765425808,0.0127407692307692,1300000,5521,1,324999.999999997,0.274859765425792,0.0169876923076925,1299999.99999999,6827.46345502741,2.63371355476374,630883.489044002,2523533.95617601,0.0108220671068334,1.64884705790676,0.606484388715542,0.939328865340791,10686.2851088462,2.92390126857572,666164.35549106,2664657.42196424,0.0160415144112129,1.93557056852856,0.516643524271093,2.03542030087127,0.193407217067674,0.260146070395603
"cj_cost","4_100_3","revenue","cj_cost",2023-04-30,2023-05-21,"4 weeks",0,0,1.5,2679,2,0,0,2,3572,112323,47946070,898.584,383568.56,0.00234269461501224,7144,1019720,1786,254930,0.0070058447416938,1786,254930,0.0070058447416938,1019720,7107.75354763222,528640.584723585,10.3855296494248,2114562.33889434,0.013445342172033,3.97970523383663,0.251274891290366,325000,0.274859765425803,2679,0.5,325000.000000001,0.274859765425808,0.00824307692307689,1300000,3572,1,324999.999999997,0.274859765425792,0.0109907692307693,1299999.99999999,20378.3934534614,19.4464859118889,630883.489044002,2523533.95617601,0.0323013580278371,7.6067164813219,0.131462767470758,1.86706528538119,41524.1691274823,27.4925283711127,666164.35549106,2664657.42196424,0.0623332197005242,11.6249073705158,0.0860221908121435,4.84209467157385,0.193407217067674,0.260146070395603
"dm_cost","4_100_3","revenue","dm_cost",2023-04-30,2023-05-21,"4 weeks",0,0,1.5,360,2,0,0,2,480,30000,47946070,240,383568.56,0.000625703003395273,0,1019720,0,254930,0,0,254930,0,1019720,5.36524917207476e-52,528640.584723585,0.00172864139012529,2114562.33889434,1.01491435336546e-57,Inf,0,325000,0.274859765425803,0,NA,325000.000000001,0.274859765425808,0,1300000,4.11459755156329e-18,Inf,324999.999999997,0.274859765425792,1.26603001586564e-23,1299999.99999999,5.36524917207476e-52,0.00172864139012529,630883.489044002,2523533.95617601,8.50434234727698e-58,Inf,0,0,1.697773358574e-34,0.00172864139012529,666164.35549106,2664657.42196424,2.54858030841727e-40,4.1262197269547e-17,24235258085444604,316438865022454272,0.193407217067674,0.260146070395603
"facebook_cost","4_100_3","revenue","facebook_cost",2023-04-30,2023-05-21,"4 weeks",0,0,1.5,199111.875,2,0,0,2,265482.5,31632918,47946070,253063.344,383568.56,0.65976039329188,530965,1019720,132741.25,254930,0.520696857961009,132741.25,254930,0.520696857961009,1019720,339722.415635096,528640.584723585,0.910900433606002,2114562.33889434,0.64263400399485,2.55928293303774,0.390734446391611,325000,0.274859765425803,183999.891458975,0.386154578617992,325000.000000001,0.274859765425808,0.566153512181461,1300000,144753.533251765,0.0904939741923858,324999.999999997,0.274859765425792,0.445395486928512,1299999.99999999,380466.878467222,0.697969160799403,630883.489044002,2523533.95617601,0.603069956774041,2.06775599404118,0.483616056672926,0.119934572924651,350289.619196787,0.849934965313878,666164.35549106,2664657.42196424,0.525830624694072,2.41990375867054,0.413239574680187,0.0311054056940467,0.193407217067674,0.260146070395603
"fig_cost","4_100_3","revenue","fig_cost",2023-04-30,2023-05-21,"4 weeks",0,0,1.5,2446.5,2,0,0,2,3262,28351,47946070,226.808,383568.56,0.000591310194975313,6524,1019720,1631,254930,0.00639783469972149,1631,254930,0.00639783469972149,1019720,0,528640.584723585,0,2114562.33889434,0,0,Inf,325000,0.274859765425803,0,-1,325000.000000001,0.274859765425808,0,1300000,0,-1,324999.999999997,0.274859765425792,0,1299999.99999999,0,0,630883.489044002,2523533.95617601,0,NA,NA,NA,0,0,666164.35549106,2664657.42196424,0,NA,NA,NA,0.193407217067674,0.260146070395603
"google_ads_cost","4_100_3","revenue","google_ads_cost",2023-04-30,2023-05-21,"4 weeks",0,0,1.5,93970.5,2,0,0,2,125294,8621550,47946070,68972.4,383568.56,0.179817657630751,250588,1019720,62647,254930,0.245741968383478,62647,254930,0.245741968383478,1019720,107441.882622769,528640.584723585,1.45068375390838,2114562.33889434,0.203241835242271,1.71503635645392,0.583078018280407,325000,0.274859765425803,93970.5,0.5,325000.000000001,0.274859765425808,0.289139999999999,1300000,125294,1,324999.999999997,0.274859765425792,0.385520000000004,1299999.99999999,147652.634590201,1.1285455126781,630883.489044002,2523533.95617601,0.234041050612917,1.57126581842388,0.636429551432036,0.374255839397504,178932.486668303,0.880676227418007,666164.35549106,2664657.42196424,0.268601112012971,1.4281009997949,0.70023058603251,0.665388601729361,0.193407217067674,0.260146070395603
"influencer_cost","4_100_3","revenue","influencer_cost",2023-04-30,2023-05-21,"4 weeks",0,0,1.5,22115.625,2,0,0,2,29487.5,4018693,47946070,32149.544,383568.56,0.0838169426607853,58975,1019720,14743.75,254930,0.0578345035892206,14743.75,254930,0.0578345035892206,1019720,30236.2160259563,528640.584723585,1.62340269259585,2114562.33889434,0.0571961686251656,2.05078192630479,0.48761888681253,325000,0.274859765425803,22115.625,0.5,325000.000000001,0.274859765425808,0.0680480769230767,1300000,29487.5,1,324999.999999997,0.274859765425792,0.0907307692307701,1299999.99999999,41320.1078494512,1.39199162535078,630883.489044002,2523533.95617601,0.0654956241002042,1.86836717702761,0.53522670077672,0.366576684528907,50868.590185,1.20499831390043,666164.35549106,2664657.42196424,0.0763604203162484,1.72508995964392,0.579679914319607,0.682372891546079,0.193407217067674,0.260146070395603
"linkby_cost","4_100_3","revenue","linkby_cost",2023-04-30,2023-05-21,"4 weeks",0,0,1.5,983.25,2,0,0,2,1311,5208,47946070,41.664,383568.56,0.000108622041389419,2622,1019720,655.5,254930,0.00257129408072804,655.5,254930,0.00257129408072804,1019720,0,528640.584723585,0,2114562.33889434,0,0,Inf,325000,0.274859765425803,0,-1,325000.000000001,0.274859765425808,0,1300000,0,-1,324999.999999997,0.274859765425792,0,1299999.99999999,0,0,630883.489044002,2523533.95617601,0,NA,NA,NA,0,0,666164.35549106,2664657.42196424,0,NA,NA,NA,0.193407217067674,0.260146070395603
"mntn_cost","4_100_3","revenue","mntn_cost",2023-04-30,2023-05-21,"4 weeks",0,0,1.5,1159.944,2,0,0,2,1546.592,96662,47946070,773.296,383568.56,0.00201605679047313,0,1019720,0,254930,0,0,254930,0,1019720,3.50528558769706e-56,528640.584723585,0.00212102969733276,2114562.33889434,6.63075384106178e-62,Inf,0,325000,0.274859765425803,0,NA,325000.000000001,0.274859765425808,0,1300000,1546.592,Inf,324999.999999997,0.274859765425792,0.00475874461538466,1299999.99999999,3.50528558769706e-56,0.00212102969733276,630883.489044002,2523533.95617601,5.55615362990198e-62,Inf,0,0,2142.39247925818,2.4371574754332,666164.35549106,2664657.42196424,0.00321601187694729,1.38523442463053,0.721899472189856,6.11189138704592e+58,0.193407217067674,0.260146070395603
"sms_cost","4_100_3","revenue","sms_cost",2023-04-30,2023-05-21,"4 weeks",0,0,1.5,11356.125,2,0,0,2,15141.5,825319,47946070,6602.552,383568.56,0.0172134859019728,30283,1019720,7570.75,254930,0.0296973679049151,7570.75,254930,0.0296973679049151,1019720,0,528640.584723585,0,2114562.33889434,0,0,Inf,325000,0.274859765425803,0,-1,325000.000000001,0.274859765425808,0,1300000,0,-1,324999.999999997,0.274859765425792,0,1299999.99999999,0,0,630883.489044002,2523533.95617601,0,NA,NA,NA,0,0,666164.35549106,2664657.42196424,0,NA,NA,NA,0.193407217067674,0.260146070395603
